交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/6/4,TXO,201906W1,9500,買權,-,-,-,-,0,925,0,-,-,-,-,,一般
2019/6/4,TXO,201906W1,9500,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906W1,9500,賣權,0.1,0.1,0.1,0.1,84,0.1,1692,0.1,0.7,2.6,0.1,,一般
2019/6/4,TXO,201906W1,9500,賣權,0.5,0.5,0.5,0.5,5,-,-,0.1,0.4,2.6,0.1,,盤後
2019/6/4,TXO,201906W1,9600,買權,-,-,-,-,0,825,1,-,-,-,-,,一般
2019/6/4,TXO,201906W1,9600,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906W1,9600,賣權,0.2,0.2,0.2,0.2,21,0.2,3853,0.1,0.8,3.9,0.2,,一般
2019/6/4,TXO,201906W1,9600,賣權,0.4,0.8,0.4,0.8,32,-,-,0.1,0.7,3.9,0.3,,盤後
2019/6/4,TXO,201906W1,9700,買權,-,-,-,-,0,725,13,-,-,-,-,,一般
2019/6/4,TXO,201906W1,9700,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906W1,9700,賣權,0.2,0.2,0.1,0.2,133,0.2,5354,0.1,0.8,5.6,0.1,,一般
2019/6/4,TXO,201906W1,9700,賣權,0.4,0.6,0.4,0.6,3,-,-,0.4,0.7,5.6,0.4,,盤後
2019/6/4,TXO,201906W1,9800,買權,-,-,-,-,0,625,1,-,-,-,-,,一般
2019/6/4,TXO,201906W1,9800,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906W1,9800,賣權,0.4,0.4,0.2,0.2,879,0.2,6497,0.1,0.4,9.3,0.2,,一般
2019/6/4,TXO,201906W1,9800,賣權,0.5,0.7,0.4,0.5,114,-,-,0.5,0.7,9.3,0.4,,盤後
2019/6/4,TXO,201906W1,9900,買權,-,-,-,-,0,525,72,-,-,-,-,,一般
2019/6/4,TXO,201906W1,9900,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906W1,9900,賣權,0.5,0.5,0.1,0.1,1307,0.3,8569,0.1,0.3,55,0.1,,一般
2019/6/4,TXO,201906W1,9900,賣權,0.8,1,0.5,0.9,146,-,-,0.5,0.8,55,0.1,,盤後
2019/6/4,TXO,201906W1,10000,買權,435,435,435,435,1,426,75,379,489,495,262,,一般
2019/6/4,TXO,201906W1,10000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906W1,10000,賣權,0.8,0.8,0.2,0.4,2020,0.4,8336,0.2,0.4,26.5,0.2,,一般
2019/6/4,TXO,201906W1,10000,賣權,1.4,1.4,0.7,1.3,594,-,-,0.9,1.3,26.5,0.7,,盤後
2019/6/4,TXO,201906W1,10050,買權,-,-,-,-,0,376,35,-,-,-,-,,一般
2019/6/4,TXO,201906W1,10050,買權,426,456,426,429,24,-,-,142,440,456,220,,盤後
2019/6/4,TXO,201906W1,10050,賣權,1,1.1,0.4,0.5,1988,0.5,6852,0.3,0.6,34.5,0.4,,一般
2019/6/4,TXO,201906W1,10050,賣權,2.1,2.1,1.2,1.6,291,-,-,1.4,1.6,34.5,1.2,,盤後
2019/6/4,TXO,201906W1,10100,買權,345,345,343,343,3,327,174,311,390,410,178,,一般
2019/6/4,TXO,201906W1,10100,買權,371,410,371,380,31,-,-,315,455,410,178,,盤後
2019/6/4,TXO,201906W1,10100,賣權,1.2,1.5,0.4,0.6,2687,0.6,9848,0.4,0.6,46,0.4,,一般
2019/6/4,TXO,201906W1,10100,賣權,2.2,2.5,1.6,2.1,529,-,-,1.8,2.1,46,1.6,,盤後
2019/6/4,TXO,201906W1,10150,買權,338,338,298,298,34,277,427,266,308,366,139,,一般
2019/6/4,TXO,201906W1,10150,買權,342,366,326,332,33,-,-,235,-,366,139,,盤後
2019/6/4,TXO,201906W1,10150,賣權,1.3,2,0.6,0.8,3072,0.8,7721,0.7,0.8,59,0.6,,一般
2019/6/4,TXO,201906W1,10150,賣權,2.9,3.4,1.8,2.5,1560,-,-,1.8,2.5,59,1.8,,盤後
2019/6/4,TXO,201906W1,10200,買權,278,295,228,228,104,228,1624,223,243,313,101,,一般
2019/6/4,TXO,201906W1,10200,買權,276,313,276,286,168,-,-,260,320,313,101,,盤後
2019/6/4,TXO,201906W1,10200,賣權,2.8,3.2,0.9,1.2,7687,1.2,12776,1.1,1.2,77,0.9,,一般
2019/6/4,TXO,201906W1,10200,賣權,3.9,5,2.8,3.1,2417,-,-,3,3.5,77,2.8,,盤後
2019/6/4,TXO,201906W1,10250,買權,238,249,179,188,1018,188,2160,184,188,266,73,,一般
2019/6/4,TXO,201906W1,10250,買權,242,266,215,215,219,-,-,225,261,266,73,,盤後
2019/6/4,TXO,201906W1,10250,賣權,3.7,5.4,1.5,2,10945,2,17275,1.7,2.1,99,1.5,,一般
2019/6/4,TXO,201906W1,10250,賣權,5.9,7,4,5.2,2563,-,-,5.2,5.4,99,4,,盤後
2019/6/4,TXO,201906W1,10300,買權,166,207,131,140,2466,140,4694,136,140,222,48,,一般
2019/6/4,TXO,201906W1,10300,買權,196,222,168,179,671,-,-,172,214,222,48,,盤後
2019/6/4,TXO,201906W1,10300,賣權,5.6,9.4,2.8,4.5,15644,4.5,17707,4.2,4.6,126,2.8,,一般
2019/6/4,TXO,201906W1,10300,賣權,8.3,11,6,8.1,5565,-,-,8.1,8.5,126,6,,盤後
2019/6/4,TXO,201906W1,10350,買權,146,160,86,95,13664,95,8535,91,94,175,30,,一般
2019/6/4,TXO,201906W1,10350,買權,147,175,128,138,1935,-,-,135,139,175,30,,盤後
2019/6/4,TXO,201906W1,10350,賣權,10,16.5,5.5,8.4,24752,8.4,23758,8.5,8.8,159,5.5,,一般
2019/6/4,TXO,201906W1,10350,賣權,13,20,8.8,9.9,8480,-,-,10,11,159,8.8,,盤後
2019/6/4,TXO,201906W1,10400,買權,97,116,49,55,24692,55,17210,54,56,131,18,,一般
2019/6/4,TXO,201906W1,10400,買權,107,130,80,100,6127,-,-,96,99,131,18,,盤後
2019/6/4,TXO,201906W1,10400,賣權,17,29.5,11.5,19.5,39879,19.5,21002,19.5,20,190,11.5,,一般
2019/6/4,TXO,201906W1,10400,賣權,21.5,28,14,18,13275,-,-,17.5,18,190,14,,盤後
2019/6/4,TXO,201906W1,10450,買權,63,75,21,25.5,62009,25.5,27695,24.5,25,94,9.7,,一般
2019/6/4,TXO,201906W1,10450,買權,67,90,50,59,16641,-,-,58,59,94,9.7,,盤後
2019/6/4,TXO,201906W1,10450,賣權,29,51,21.5,39.5,44959,39.5,16418,39,40,211,21.5,,一般
2019/6/4,TXO,201906W1,10450,賣權,34,44.5,23,27,17306,-,-,26,27,211,23,,盤後
2019/6/4,TXO,201906W1,10500,買權,33.5,41.5,6.3,8.1,63187,8.1,31140,7.8,8.1,63,5,,一般
2019/6/4,TXO,201906W1,10500,買權,38.5,55,23.5,32,24740,-,-,31.5,32,63,5,,盤後
2019/6/4,TXO,201906W1,10500,賣權,52,84,37.5,73,35650,75,9201,72,75,256,37.5,,一般
2019/6/4,TXO,201906W1,10500,賣權,54,72,38.5,51,16267,-,-,50,52,256,38.5,,盤後
2019/6/4,TXO,201906W1,10550,買權,15,18.5,1.6,2.3,45447,2.3,24562,2.3,2.4,38,1.6,,一般
2019/6/4,TXO,201906W1,10550,買權,19.5,29,11,16.5,18043,-,-,15.5,16.5,38,3.2,,盤後
2019/6/4,TXO,201906W1,10550,賣權,80,128,65,116,11232,125,3908,116,118,288,63,,一般
2019/6/4,TXO,201906W1,10550,賣權,83,103,63,88,9131,-,-,88,90,288,63,,盤後
2019/6/4,TXO,201906W1,10600,買權,5.9,6.6,0.6,0.8,22084,0.8,18857,0.6,0.8,21,0.6,,一般
2019/6/4,TXO,201906W1,10600,買權,8,13.5,6,6.4,6989,-,-,6.3,7,21,1.7,,盤後
2019/6/4,TXO,201906W1,10600,賣權,123,174,104,165,3452,175,1343,164,168,351,98,,一般
2019/6/4,TXO,201906W1,10600,賣權,120,149,98,126,2601,-,-,123,134,351,98,,盤後
2019/6/4,TXO,201906W1,10650,買權,2.8,2.8,0.2,0.4,4304,0.4,11426,0.3,0.8,11,0.2,,一般
2019/6/4,TXO,201906W1,10650,買權,3,6.2,2.4,3.4,2144,-,-,3,3.4,11,1.2,,盤後
2019/6/4,TXO,201906W1,10650,賣權,167,223,149,214,906,224,452,211,219,272,141,,一般
2019/6/4,TXO,201906W1,10650,賣權,165,189,141,142,575,-,-,150,181,272,141,,盤後
2019/6/4,TXO,201906W1,10700,買權,1,1,0.2,0.2,2116,0.2,9395,0.2,0.3,5.3,0.2,,一般
2019/6/4,TXO,201906W1,10700,買權,1.3,2.5,1,1.5,1271,-,-,1.1,1.5,5.3,0.2,,盤後
2019/6/4,TXO,201906W1,10700,賣權,227,276,203,276,174,274,253,260,269,320,187,,一般
2019/6/4,TXO,201906W1,10700,賣權,226,239,187,239,163,-,-,201,250,320,187,,盤後
2019/6/4,TXO,201906W1,10750,買權,0.4,0.4,0.1,0.2,1719,0.2,1945,0.1,0.3,1.1,0.1,,一般
2019/6/4,TXO,201906W1,10750,買權,0.5,1,0.5,0.7,530,-,-,0.7,0.8,1.1,0.5,,盤後
2019/6/4,TXO,201906W1,10750,賣權,263,263,263,263,4,324,15,282,372,282,263,,一般
2019/6/4,TXO,201906W1,10750,賣權,282,282,276,276,11,-,-,88,-,282,276,,盤後
2019/6/4,TXO,201906W1,10800,買權,0.3,0.3,0.1,0.1,54,0.1,5135,0.1,0.3,1.6,0.1,,一般
2019/6/4,TXO,201906W1,10800,買權,0.4,0.6,0.3,0.6,29,-,-,0.6,545,1.6,0.3,,盤後
2019/6/4,TXO,201906W1,10800,賣權,-,-,-,-,0,374,1,-,-,-,-,,一般
2019/6/4,TXO,201906W1,10800,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906W1,10900,買權,0.2,0.6,0.1,0.1,287,0.1,1418,-,0.5,0.9,0.1,,一般
2019/6/4,TXO,201906W1,10900,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906W1,10900,賣權,-,-,-,-,0,470,2,-,-,-,-,,一般
2019/6/4,TXO,201906W1,10900,賣權,410,415,394,415,8,-,-,126,-,625,394,,盤後
2019/6/4,TXO,201906W1,11000,買權,0.1,0.1,0.1,0.1,300,0.1,1184,-,0.5,0.6,0.1,,一般
2019/6/4,TXO,201906W1,11000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906W1,11000,賣權,-,-,-,-,0,570,0,-,-,-,-,,一般
2019/6/4,TXO,201906W1,11000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906W1,11100,買權,-,-,-,-,0,0.1,797,-,-,-,-,,一般
2019/6/4,TXO,201906W1,11100,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906W1,11100,賣權,-,-,-,-,0,670,0,-,-,-,-,,一般
2019/6/4,TXO,201906W1,11100,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906W1,11200,買權,-,-,-,-,0,0.1,63,-,-,-,-,,一般
2019/6/4,TXO,201906W1,11200,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906W1,11200,賣權,-,-,-,-,0,770,0,-,-,-,-,,一般
2019/6/4,TXO,201906W1,11200,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906W1,11300,買權,-,-,-,-,0,0.1,0,-,-,-,-,,一般
2019/6/4,TXO,201906W1,11300,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906W1,11300,賣權,-,-,-,-,0,870,0,-,-,-,-,,一般
2019/6/4,TXO,201906W1,11300,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906,7400,買權,-,-,-,-,0,3020,3,-,-,-,-,,一般
2019/6/4,TXO,201906,7400,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906,7400,賣權,0.5,0.7,0.5,0.7,67,0.7,7020,0.4,2.9,113,0.1,,一般
2019/6/4,TXO,201906,7400,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906,7600,買權,-,-,-,-,0,2820,8,-,-,-,-,,一般
2019/6/4,TXO,201906,7600,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906,7600,賣權,-,-,-,-,0,0.8,3713,-,-,-,-,,一般
2019/6/4,TXO,201906,7600,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2019/6/4,TXO,201906,7800,買權,-,-,-,-,0,2620,24,-,-,-,-,,一般
2019/6/4,TXO,201906,7800,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
