交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/06/20,TXO,201906W4,9800.0000,買權,-,-,-,-,0,925,0,-,-,-,-,,一般,
2019/06/20,TXO,201906W4,9800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/20,TXO,201906W4,9800.0000,賣權,0.5,0.5,0.4,0.4,2219,0.4,2360,0.1,0.5,1.2,0.4,,一般,
2019/06/20,TXO,201906W4,9800.0000,賣權,1,1,0.9,0.9,94,-,-,0.7,0.9,1.2,0.9,,盤後,
2019/06/20,TXO,201906W4,9900.0000,買權,-,-,-,-,0,825,0,-,-,-,-,,一般,
2019/06/20,TXO,201906W4,9900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/20,TXO,201906W4,9900.0000,賣權,0.6,0.6,0.5,0.6,164,0.6,238,0.3,0.6,1.6,0.5,,一般,
2019/06/20,TXO,201906W4,9900.0000,賣權,1.2,1.2,1.2,1.2,20,-,-,0.8,0.9,1.6,1.2,,盤後,
2019/06/20,TXO,201906W4,10000.0000,買權,690,720,690,720,4,730,17,670,780,720,685,,一般,
2019/06/20,TXO,201906W4,10000.0000,買權,690,690,685,685,17,-,-,412,1770,690,685,,盤後,
2019/06/20,TXO,201906W4,10000.0000,賣權,0.8,0.9,0.6,0.7,310,0.7,2286,0.5,0.8,2.1,0.5,,一般,
2019/06/20,TXO,201906W4,10000.0000,賣權,1.6,1.7,1,1.2,201,-,-,1.2,1.3,2.1,0.5,,盤後,
2019/06/20,TXO,201906W4,10100.0000,買權,615,615,600,600,4,630,3,575,680,615,525,,一般,
2019/06/20,TXO,201906W4,10100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/20,TXO,201906W4,10100.0000,賣權,1.2,1.2,0.8,1.1,1727,1.1,2247,0.7,1,3,0.8,,一般,
2019/06/20,TXO,201906W4,10100.0000,賣權,2.1,2.3,1.2,1.6,142,-,-,1.3,1.6,3,1.2,,盤後,
2019/06/20,TXO,201906W4,10200.0000,買權,-,-,-,-,0,530,1,-,-,-,-,,一般,
2019/06/20,TXO,201906W4,10200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/20,TXO,201906W4,10200.0000,賣權,1.8,1.8,1.1,1.3,1314,1.3,2466,0.2,1.4,5.1,1.1,,一般,
