交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/06/17,TXO,201906  ,7400.0000,買權,-,-,-,-,0,3140,3,-,-,-,-,,一般,
2019/06/17,TXO,201906  ,7400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/17,TXO,201906  ,7400.0000,賣權,0.9,5,0.9,5,28,0.1,7112,-,0.2,113,0.1,,一般,
2019/06/17,TXO,201906  ,7400.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/17,TXO,201906  ,7600.0000,買權,-,-,-,-,0,2940,8,-,-,-,-,,一般,
2019/06/17,TXO,201906  ,7600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/17,TXO,201906  ,7600.0000,賣權,-,-,-,-,0,0.1,3712,-,-,-,-,,一般,
2019/06/17,TXO,201906  ,7600.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/17,TXO,201906  ,7800.0000,買權,-,-,-,-,0,2740,24,-,-,-,-,,一般,
2019/06/17,TXO,201906  ,7800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/17,TXO,201906  ,7800.0000,賣權,-,-,-,-,0,0.1,2966,-,-,-,-,,一般,
2019/06/17,TXO,201906  ,7800.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/17,TXO,201906  ,8000.0000,買權,-,-,-,-,0,2540,17,-,-,-,-,,一般,
2019/06/17,TXO,201906  ,8000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/17,TXO,201906  ,8000.0000,賣權,-,-,-,-,0,0.1,4114,-,-,-,-,,一般,
2019/06/17,TXO,201906  ,8000.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/17,TXO,201906  ,8200.0000,買權,-,-,-,-,0,2340,18,-,-,-,-,,一般,
2019/06/17,TXO,201906  ,8200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/17,TXO,201906  ,8200.0000,賣權,-,-,-,-,0,0.1,3064,-,-,-,-,,一般,
2019/06/17,TXO,201906  ,8200.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/17,TXO,201906  ,8400.0000,買權,-,-,-,-,0,2140,19,-,-,-,-,,一般,
2019/06/17,TXO,201906  ,8400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/17,TXO,201906  ,8400.0000,賣權,-,-,-,-,0,0.1,2904,-,-,-,-,,一般,
2019/06/17,TXO,201906  ,8400.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/17,TXO,201906  ,8600.0000,買權,-,-,-,-,0,1950,69,-,-,-,-,,一般,
2019/06/17,TXO,201906  ,8600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/17,TXO,201906  ,8600.0000,賣權,0.1,0.2,0.1,0.2,110,0.2,4051,0.1,0.2,381,0.1,,一般,
2019/06/17,TXO,201906  ,8600.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/17,TXO,201906  ,8700.0000,買權,-,-,-,-,0,1850,0,-,-,-,-,,一般,
2019/06/17,TXO,201906  ,8700.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/17,TXO,201906  ,8700.0000,賣權,0.1,0.1,0.1,0.1,13,0.2,575,0.1,0.2,4.3,0.1,,一般,
2019/06/17,TXO,201906  ,8700.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/17,TXO,201906  ,8800.0000,買權,-,-,-,-,0,1750,58,-,-,-,-,,一般,
2019/06/17,TXO,201906  ,8800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/17,TXO,201906  ,8800.0000,賣權,0.1,0.1,0.1,0.1,88,0.2,5322,0.1,0.2,361,0.1,,一般,
2019/06/17,TXO,201906  ,8800.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/17,TXO,201906  ,8900.0000,買權,-,-,-,-,0,1650,0,-,-,-,-,,一般,
2019/06/17,TXO,201906  ,8900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/17,TXO,201906  ,8900.0000,賣權,0.1,0.1,0.1,0.1,88,0.2,1926,0.1,0.2,23,0.1,,一般,
2019/06/17,TXO,201906  ,8900.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/17,TXO,201906  ,9000.0000,買權,1560,1560,1550,1550,6,1550,48,1500,1610,1970,700,,一般,
2019/06/17,TXO,201906  ,9000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/17,TXO,201906  ,9000.0000,賣權,0.1,0.1,0.1,0.1,50,0.2,7985,0.1,0.2,431,0.1,,一般,
2019/06/17,TXO,201906  ,9000.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/17,TXO,201906  ,9100.0000,買權,-,-,-,-,0,1450,22,-,-,-,-,,一般,
2019/06/17,TXO,201906  ,9100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/17,TXO,201906  ,9100.0000,賣權,4.5,4.5,1.8,1.8,6,0.2,1572,0.1,0.2,29,0.1,,一般,
2019/06/17,TXO,201906  ,9100.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/17,TXO,201906  ,9200.0000,買權,-,-,-,-,0,1350,287,-,-,-,-,,一般,
2019/06/17,TXO,201906  ,9200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/17,TXO,201906  ,9200.0000,賣權,0.3,0.3,0.2,0.2,57,0.2,5683,0.1,0.2,470,0.2,,一般,
2019/06/17,TXO,201906  ,9200.0000,賣權,0.2,0.2,0.2,0.2,125,-,-,-,1,470,0.2,,盤後,
2019/06/17,TXO,201906  ,9300.0000,買權,-,-,-,-,0,1250,17,-,-,-,-,,一般,
2019/06/17,TXO,201906  ,9300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/17,TXO,201906  ,9300.0000,賣權,0.2,0.2,0.1,0.1,52,0.2,4773,0.1,0.2,33,0.1,,一般,
2019/06/17,TXO,201906  ,9300.0000,賣權,0.8,0.8,0.8,0.8,1,-,-,0.3,0.8,33,0.1,,盤後,
2019/06/17,TXO,201906  ,9400.0000,買權,-,-,-,-,0,1150,88,-,-,-,-,,一般,
2019/06/17,TXO,201906  ,9400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
