交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/07/23,TXO,201907W4,10000.0000,買權,-,-,-,-,0,945,0,-,-,-,-,,一般,
2019/07/23,TXO,201907W4,10000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/23,TXO,201907W4,10000.0000,賣權,0.2,0.2,0.1,0.2,22,0.2,294,-,0.2,0.9,0.1,,一般,
2019/07/23,TXO,201907W4,10000.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/23,TXO,201907W4,10100.0000,買權,-,-,-,-,0,845,0,-,-,-,-,,一般,
2019/07/23,TXO,201907W4,10100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/23,TXO,201907W4,10100.0000,賣權,0.1,0.1,0.1,0.1,25,0.2,1405,-,0.2,1.2,0.1,,一般,
2019/07/23,TXO,201907W4,10100.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/23,TXO,201907W4,10200.0000,買權,-,-,-,-,0,745,0,-,-,-,-,,一般,
2019/07/23,TXO,201907W4,10200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/23,TXO,201907W4,10200.0000,賣權,0.2,0.2,0.1,0.1,288,0.2,762,0.1,0.2,1.6,0.1,,一般,
2019/07/23,TXO,201907W4,10200.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/23,TXO,201907W4,10300.0000,買權,-,-,-,-,0,645,2,-,-,-,-,,一般,
2019/07/23,TXO,201907W4,10300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/23,TXO,201907W4,10300.0000,賣權,0.5,0.5,0.2,0.2,795,0.2,5996,0.1,0.2,2.6,0.2,,一般,
2019/07/23,TXO,201907W4,10300.0000,賣權,0.4,0.5,0.3,0.5,51,-,-,0.3,0.5,2.6,0.2,,盤後,
2019/07/23,TXO,201907W4,10400.0000,買權,-,-,-,-,0,545,2,-,-,-,-,,一般,
2019/07/23,TXO,201907W4,10400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/23,TXO,201907W4,10400.0000,賣權,0.2,0.3,0.1,0.2,373,0.2,5393,0.1,0.2,4.4,0.1,,一般,
2019/07/23,TXO,201907W4,10400.0000,賣權,0.6,0.7,0.4,0.4,80,-,-,0.4,0.5,4.4,0.3,,盤後,
2019/07/23,TXO,201907W4,10500.0000,買權,440,440,440,440,1,445,50,431,474,443,290,,一般,
2019/07/23,TXO,201907W4,10500.0000,買權,443,443,442,442,2,-,-,324,555,443,290,,盤後,
2019/07/23,TXO,201907W4,10500.0000,賣權,0.5,0.6,0.2,0.2,1036,0.2,8804,0.1,0.2,8.6,0.2,,一般,
2019/07/23,TXO,201907W4,10500.0000,賣權,1.1,1.1,0.5,0.5,345,-,-,0.5,0.6,8.6,0.5,,盤後,
2019/07/23,TXO,201907W4,10550.0000,買權,-,-,-,-,0,395,33,-,-,-,-,,一般,
2019/07/23,TXO,201907W4,10550.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/23,TXO,201907W4,10550.0000,賣權,0.4,0.5,0.2,0.3,838,0.3,4434,0.2,0.3,11.5,0.2,,一般,
2019/07/23,TXO,201907W4,10550.0000,賣權,1.1,1.2,0.5,0.7,197,-,-,0.5,1,11.5,0.5,,盤後,
2019/07/23,TXO,201907W4,10600.0000,買權,344,344,340,344,46,345,194,289,347,344,179,,一般,
2019/07/23,TXO,201907W4,10600.0000,買權,328,339,328,339,12,-,-,226,995,339,179,,盤後,
2019/07/23,TXO,201907W4,10600.0000,賣權,0.7,0.8,0.2,0.4,3352,0.4,12238,0.3,0.4,18,0.2,,一般,
2019/07/23,TXO,201907W4,10600.0000,賣權,1.3,1.6,0.5,0.6,571,-,-,0.5,0.7,18,0.5,,盤後,
2019/07/23,TXO,201907W4,10650.0000,買權,310,325,284,293,59,295,341,239,340,325,135,,一般,
2019/07/23,TXO,201907W4,10650.0000,買權,279,298,279,298,30,-,-,270,695,298,135,,盤後,
2019/07/23,TXO,201907W4,10650.0000,賣權,1,1,0.3,0.4,4049,0.4,10583,0.4,0.6,26,0.3,,一般,
2019/07/23,TXO,201907W4,10650.0000,賣權,1.4,2,1,1.2,1004,-,-,1.2,1.3,26,1,,盤後,
2019/07/23,TXO,201907W4,10700.0000,買權,265,276,231,245,205,245,988,241,246,276,97,,一般,
2019/07/23,TXO,201907W4,10700.0000,買權,233,252,231,248,80,-,-,241,255,252,97,,盤後,
2019/07/23,TXO,201907W4,10700.0000,賣權,1,1.4,0.5,0.6,8016,0.6,12951,0.6,0.7,38,0.5,,一般,
2019/07/23,TXO,201907W4,10700.0000,賣權,2.6,2.8,1.1,1.7,2264,-,-,1.1,1.7,38,1.1,,盤後,
2019/07/23,TXO,201907W4,10750.0000,買權,210,225,183,196,1035,196,3002,191,198,225,64,,一般,
2019/07/23,TXO,201907W4,10750.0000,買權,181,208,181,208,349,-,-,194,207,208,64,,盤後,
2019/07/23,TXO,201907W4,10750.0000,賣權,1.6,1.9,0.9,0.9,7838,0.9,15323,0.9,1,60,0.9,,一般,
2019/07/23,TXO,201907W4,10750.0000,賣權,3.9,4.3,1.3,2.1,3119,-,-,1.4,2.1,60,1.3,,盤後,
2019/07/23,TXO,201907W4,10800.0000,買權,167,178,131,147,2079,147,4270,146,150,178,40,,一般,
2019/07/23,TXO,201907W4,10800.0000,買權,131,155,131,150,797,-,-,150,154,155,40,,盤後,
2019/07/23,TXO,201907W4,10800.0000,賣權,2.7,3.3,1.4,1.9,19427,1.9,19056,1.7,1.9,82,1.4,,一般,
2019/07/23,TXO,201907W4,10800.0000,賣權,6,7.2,3.1,3.1,5220,-,-,3.1,3.3,82,3.1,,盤後,
2019/07/23,TXO,201907W4,10850.0000,買權,113,131,85,98,15635,98,8162,97,98,131,22,,一般,
2019/07/23,TXO,201907W4,10850.0000,買權,91,107,89,106,7531,-,-,105,106,107,22,,盤後,
2019/07/23,TXO,201907W4,10850.0000,賣權,5.3,6.8,2.6,3.8,32011,3.8,21026,3.8,3.9,113,2.6,,一般,
2019/07/23,TXO,201907W4,10850.0000,賣權,11.5,13,6.1,6.4,6442,-,-,6.4,7,113,6.1,,盤後,
2019/07/23,TXO,201907W4,10900.0000,買權,73,85,44,54,31703,54,17791,54,55,85,11,,一般,
2019/07/23,TXO,201907W4,10900.0000,買權,51,66,49.5,65,10002,-,-,64,65,66,11,,盤後,
2019/07/23,TXO,201907W4,10900.0000,賣權,10,16,6.4,9.8,39486,9.8,24128,9.7,10,152,6.4,,一般,
2019/07/23,TXO,201907W4,10900.0000,賣權,20,24,12,14,10762,-,-,13.5,14,152,12,,盤後,
2019/07/23,TXO,201907W4,10950.0000,買權,34,45,15,20,58386,20,22951,19.5,20,45,5,,一般,
2019/07/23,TXO,201907W4,10950.0000,買權,23,32.5,21.5,32,13377,-,-,32,32.5,32.5,5,,盤後,
2019/07/23,TXO,201907W4,10950.0000,賣權,22.5,37,16,25.5,47374,25.5,21488,25.5,26,196,16,,一般,
2019/07/23,TXO,201907W4,10950.0000,賣權,42,45.5,28.5,30,10367,-,-,30.5,31,196,28.5,,盤後,
2019/07/23,TXO,201907W4,11000.0000,買權,13,18,3.4,5,44585,5,28746,5,5.1,18,2.2,,一般,
2019/07/23,TXO,201907W4,11000.0000,買權,8.2,12.5,7,11,8514,-,-,11,12,12.5,2.2,,盤後,
2019/07/23,TXO,201907W4,11000.0000,賣權,50,76,40,60,28734,60,5636,60,61,241,40,,一般,
2019/07/23,TXO,201907W4,11000.0000,賣權,78,82,60,61,4701,-,-,60,61,241,60,,盤後,
2019/07/23,TXO,201907W4,11050.0000,買權,3.4,4.9,0.5,1,17915,1,13284,0.6,1,4.9,0.5,,一般,
2019/07/23,TXO,201907W4,11050.0000,買權,2.2,4.8,1.7,3.6,2692,-,-,3.5,3.9,4.9,0.6,,盤後,
2019/07/23,TXO,201907W4,11050.0000,賣權,91,123,78,105,6564,105,2395,106,107,259,78,,一般,
2019/07/23,TXO,201907W4,11050.0000,賣權,126,126,100,108,494,-,-,100,108,259,100,,盤後,
2019/07/23,TXO,201907W4,11100.0000,買權,0.9,1.2,0.1,0.2,4658,0.2,8547,0.1,0.4,2.3,0.1,,一般,
2019/07/23,TXO,201907W4,11100.0000,買權,0.7,1.7,0.6,1.5,590,-,-,0.9,1.5,2.3,0.1,,盤後,
2019/07/23,TXO,201907W4,11100.0000,賣權,141,169,125,156,683,155,286,154,156,324,125,,一般,
2019/07/23,TXO,201907W4,11100.0000,賣權,173,173,154,156,36,-,-,147,162,324,154,,盤後,
2019/07/23,TXO,201907W4,11150.0000,買權,0.5,0.5,0.1,0.1,580,0.2,4279,0.1,0.2,1.4,0.1,,一般,
2019/07/23,TXO,201907W4,11150.0000,買權,0.2,0.8,0.2,0.8,190,-,-,0.5,0.8,1.4,0.2,,盤後,
2019/07/23,TXO,201907W4,11150.0000,賣權,188,217,175,207,181,205,40,205,210,255,175,,一般,
2019/07/23,TXO,201907W4,11150.0000,賣權,204,204,204,204,1,-,-,69,223,255,204,,盤後,
2019/07/23,TXO,201907W4,11200.0000,買權,0.2,0.3,0.1,0.1,398,0.2,602,0.1,0.2,0.9,0.1,,一般,
2019/07/23,TXO,201907W4,11200.0000,買權,0.4,0.7,0.4,0.7,25,-,-,0.3,0.6,0.9,0.2,,盤後,
2019/07/23,TXO,201907W4,11200.0000,賣權,-,-,-,-,0,255,3,-,-,-,-,,一般,
2019/07/23,TXO,201907W4,11200.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/23,TXO,201907W4,11250.0000,買權,0.1,0.2,0.1,0.2,202,0.2,200,0.1,0.2,0.2,0.1,,一般,
2019/07/23,TXO,201907W4,11250.0000,賣權,-,-,-,-,0,305,0,-,-,-,-,,一般,
2019/07/23,TXO,201907W4,11300.0000,買權,0.1,0.1,0.1,0.1,267,0.1,1442,-,0.2,0.7,0.1,,一般,
2019/07/23,TXO,201907W4,11300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/23,TXO,201907W4,11300.0000,賣權,-,-,-,-,0,355,0,-,-,-,-,,一般,
2019/07/23,TXO,201907W4,11300.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
