交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/07/08,TXO,201907W2,9900.0000,買權,-,-,-,-,0,810,0,-,-,-,-,,一般,
2019/07/08,TXO,201907W2,9900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/08,TXO,201907W2,9900.0000,賣權,0.5,0.5,0.3,0.3,349,0.3,594,0.3,0.4,0.7,0.3,,一般,
2019/07/08,TXO,201907W2,9900.0000,賣權,0.4,0.4,0.3,0.3,128,-,-,0.3,1.6,0.7,0.3,,盤後,
2019/07/08,TXO,201907W2,10000.0000,買權,-,-,-,-,0,710,0,-,-,-,-,,一般,
2019/07/08,TXO,201907W2,10000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/08,TXO,201907W2,10000.0000,賣權,0.4,0.5,0.3,0.4,364,0.4,580,0.3,0.6,1,0.3,,一般,
2019/07/08,TXO,201907W2,10000.0000,賣權,0.5,0.5,0.5,0.5,250,-,-,0.5,1.8,1,0.5,,盤後,
2019/07/08,TXO,201907W2,10100.0000,買權,-,-,-,-,0,610,1,-,-,-,-,,一般,
2019/07/08,TXO,201907W2,10100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/08,TXO,201907W2,10100.0000,賣權,0.8,0.8,0.4,0.7,271,0.7,2632,0.6,0.8,3.1,0.4,,一般,
2019/07/08,TXO,201907W2,10100.0000,賣權,1,2,0.9,2,105,-,-,0.6,5,3.1,0.6,,盤後,
2019/07/08,TXO,201907W2,10200.0000,買權,-,-,-,-,0,510,0,-,-,-,-,,一般,
2019/07/08,TXO,201907W2,10200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/08,TXO,201907W2,10200.0000,賣權,1.1,1.1,0.6,0.9,427,0.9,3763,0.8,1,5,0.6,,一般,
2019/07/08,TXO,201907W2,10200.0000,賣權,1.1,1.3,1.1,1.3,68,-,-,1,1.3,5,0.8,,盤後,
2019/07/08,TXO,201907W2,10300.0000,買權,-,-,-,-,0,411,1,-,-,-,-,,一般,
2019/07/08,TXO,201907W2,10300.0000,買權,410,410,410,410,1,-,-,336,995,410,410,,盤後,
2019/07/08,TXO,201907W2,10300.0000,賣權,1.7,1.7,0.9,1.3,2462,1.3,7923,0.9,1.4,6.3,0.9,,一般,
2019/07/08,TXO,201907W2,10300.0000,賣權,1.5,2,1.2,1.9,311,-,-,1.8,1.9,6.3,1.2,,盤後,
2019/07/08,TXO,201907W2,10400.0000,買權,290,327,290,327,22,312,20,282,356,379,282,,一般,
2019/07/08,TXO,201907W2,10400.0000,買權,311,311,282,282,2,-,-,283,349,379,282,,盤後,
2019/07/08,TXO,201907W2,10400.0000,賣權,2.4,2.8,1.2,1.8,4165,1.8,7328,1.6,1.9,11,1.2,,一般,
2019/07/08,TXO,201907W2,10400.0000,賣權,2.1,3.9,2.1,2.9,801,-,-,2.2,2.7,11,1.7,,盤後,
2019/07/08,TXO,201907W2,10450.0000,買權,243,293,243,257,84,262,46,256,264,293,243,,一般,
2019/07/08,TXO,201907W2,10450.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/08,TXO,201907W2,10450.0000,賣權,3.3,4.1,1.6,2.5,3999,2.5,4723,2.1,2.5,6.8,1.6,,一般,
2019/07/08,TXO,201907W2,10450.0000,賣權,2.7,5.7,2.5,2.5,659,-,-,2.5,3,6.8,2.2,,盤後,
2019/07/08,TXO,201907W2,10500.0000,買權,200,252,181,212,402,212,141,210,215,278,181,,一般,
2019/07/08,TXO,201907W2,10500.0000,買權,253,253,205,239,20,-,-,212,246,278,197,,盤後,
2019/07/08,TXO,201907W2,10500.0000,賣權,4.9,6.5,2.2,3.7,6187,3.7,7489,3.2,3.8,21,2.2,,一般,
2019/07/08,TXO,201907W2,10500.0000,賣權,3.9,7.7,2.7,2.7,2307,-,-,2.5,2.7,21,2.7,,盤後,
2019/07/08,TXO,201907W2,10550.0000,買權,154,211,136,166,989,166,403,162,167,242,136,,一般,
2019/07/08,TXO,201907W2,10550.0000,買權,205,205,155,187,188,-,-,161,202,242,153,,盤後,
2019/07/08,TXO,201907W2,10550.0000,賣權,8,11,3.4,5.3,13367,5.3,11069,5.4,5.9,29.5,3.4,,一般,
2019/07/08,TXO,201907W2,10550.0000,賣權,5.6,12.5,5,5,3004,-,-,4.7,5.1,29.5,4.1,,盤後,
2019/07/08,TXO,201907W2,10600.0000,買權,112,163,94,120,3919,120,1735,116,121,195,94,,一般,
2019/07/08,TXO,201907W2,10600.0000,買權,158,159,112,145,730,-,-,135,144,195,112,,盤後,
2019/07/08,TXO,201907W2,10600.0000,賣權,13,19.5,5.8,10.5,22857,10.5,15247,10,10.5,42.5,5.8,,一般,
2019/07/08,TXO,201907W2,10600.0000,賣權,12,20,9,10,6583,-,-,9.2,10,42.5,6.4,,盤後,
2019/07/08,TXO,201907W2,10650.0000,買權,69,120,58,78,14667,78,4905,75,78,150,31.5,,一般,
2019/07/08,TXO,201907W2,10650.0000,買權,120,120,74,100,2423,-,-,96,100,150,31.5,,盤後,
2019/07/08,TXO,201907W2,10650.0000,賣權,22.5,34,10.5,18,31432,18,17710,18,18.5,60,10,,一般,
