交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/06/28,TXO,201907W1,9900.0000,買權,-,-,-,-,0,790,6,-,-,-,-,,一般,
2019/06/28,TXO,201907W1,9900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/28,TXO,201907W1,9900.0000,賣權,1,1.3,0.9,1.3,1094,1.3,1819,0.9,1.3,4.9,0.5,,一般,
2019/06/28,TXO,201907W1,9900.0000,賣權,0.9,1,0.8,0.8,19,-,-,0.8,0.9,4.9,0.5,,盤後,
2019/06/28,TXO,201907W1,10000.0000,買權,-,-,-,-,0,690,0,-,-,-,-,,一般,
2019/06/28,TXO,201907W1,10000.0000,買權,705,705,705,705,20,-,-,427,1790,705,670,,盤後,
2019/06/28,TXO,201907W1,10000.0000,賣權,1.4,1.9,1.2,1.8,1047,1.8,1944,1.8,1.9,3.2,0.7,,一般,
2019/06/28,TXO,201907W1,10000.0000,賣權,1.2,1.5,1.1,1.2,109,-,-,1.1,1.3,3.2,0.7,,盤後,
2019/06/28,TXO,201907W1,10100.0000,買權,-,-,-,-,0,590,2,-,-,-,-,,一般,
2019/06/28,TXO,201907W1,10100.0000,買權,610,610,610,610,2,-,-,328,1690,610,610,,盤後,
2019/06/28,TXO,201907W1,10100.0000,賣權,1.6,2.7,1.6,2.4,1137,2.4,3966,2.4,2.5,4.8,1,,一般,
2019/06/28,TXO,201907W1,10100.0000,賣權,1.9,2.7,1.9,2.3,128,-,-,1.7,2.2,4.8,1,,盤後,
2019/06/28,TXO,201907W1,10200.0000,買權,-,-,-,-,0,491,0,-,-,-,-,,一般,
2019/06/28,TXO,201907W1,10200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/28,TXO,201907W1,10200.0000,賣權,2.7,4.3,2.7,3.6,2072,3.6,5221,3.5,3.8,7.5,1.7,,一般,
2019/06/28,TXO,201907W1,10200.0000,賣權,2.7,4.4,2.6,3.3,406,-,-,3.3,3.5,7.5,1.7,,盤後,
2019/06/28,TXO,201907W1,10300.0000,買權,-,-,-,-,0,396,4,-,-,-,-,,一般,
2019/06/28,TXO,201907W1,10300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/28,TXO,201907W1,10300.0000,賣權,4.5,7.3,4.5,6.6,5852,6.6,7938,6.2,6.9,13,3.1,,一般,
2019/06/28,TXO,201907W1,10300.0000,賣權,4.4,9,4,4.1,1025,-,-,4.1,5.8,13,3.1,,盤後,
2019/06/28,TXO,201907W1,10350.0000,買權,386,387,341,341,38,347,70,347,403,393,313,,一般,
2019/06/28,TXO,201907W1,10350.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/28,TXO,201907W1,10350.0000,賣權,6.1,9.9,6,9.3,2284,9.3,2337,8.7,9.5,10.5,4.6,,一般,
2019/06/28,TXO,201907W1,10350.0000,賣權,5.9,10.5,5.6,6.1,370,-,-,6.1,6.8,10.5,4.6,,盤後,
2019/06/28,TXO,201907W1,10400.0000,買權,332,337,287,287,86,300,176,300,307,347,230,,一般,
2019/06/28,TXO,201907W1,10400.0000,買權,347,347,312,312,38,-,-,86,-,347,230,,盤後,
2019/06/28,TXO,201907W1,10400.0000,賣權,9,13.5,7.9,12,6436,12,7720,11.5,12,24.5,6.5,,一般,
2019/06/28,TXO,201907W1,10400.0000,賣權,7,14,7,8.4,1840,-,-,8,8.4,24.5,6.5,,盤後,
2019/06/28,TXO,201907W1,10450.0000,買權,285,288,237,251,457,251,438,255,261,303,189,,一般,
2019/06/28,TXO,201907W1,10450.0000,買權,296,297,269,269,61,-,-,100,299,303,189,,盤後,
2019/06/28,TXO,201907W1,10450.0000,賣權,11.5,19,11,16.5,6952,16.5,8552,16,17,34.5,9,,一般,
2019/06/28,TXO,201907W1,10450.0000,賣權,9,18,9,11.5,1932,-,-,11,12.5,34.5,9,,盤後,
