交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/07/10,TXO,201907W2,9900.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,
2019/07/10,TXO,201907W2,9900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/10,TXO,201907W2,9900.0000,賣權,-,-,-,-,0,0,575,-,-,-,-,,一般,
2019/07/10,TXO,201907W2,9900.0000,賣權,0.2,0.2,0.2,0.2,3,-,-,0.1,0.2,0.7,0.2,,盤後,
2019/07/10,TXO,201907W2,10000.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,
2019/07/10,TXO,201907W2,10000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/10,TXO,201907W2,10000.0000,賣權,-,-,-,-,0,0,583,-,-,-,-,,一般,
2019/07/10,TXO,201907W2,10000.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/10,TXO,201907W2,10100.0000,買權,-,-,-,-,0,0,1,-,-,-,-,,一般,
2019/07/10,TXO,201907W2,10100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/10,TXO,201907W2,10100.0000,賣權,-,-,-,-,0,0,2492,-,-,-,-,,一般,
2019/07/10,TXO,201907W2,10100.0000,賣權,0.3,0.4,0.3,0.4,25,-,-,0.1,0.4,3.1,0.1,,盤後,
2019/07/10,TXO,201907W2,10200.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,
2019/07/10,TXO,201907W2,10200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/10,TXO,201907W2,10200.0000,賣權,0.1,0.2,0.1,0.1,663,0,3476,-,0.1,5,0.1,,一般,
2019/07/10,TXO,201907W2,10200.0000,賣權,0.4,0.5,0.4,0.5,36,-,-,0.2,0.4,5,0.2,,盤後,
2019/07/10,TXO,201907W2,10300.0000,買權,459,459,459,459,1,0,1,487,605,459,410,,一般,
2019/07/10,TXO,201907W2,10300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/10,TXO,201907W2,10300.0000,賣權,0.2,0.7,0.1,0.1,143,0,7623,-,0.1,6.3,0.1,,一般,
2019/07/10,TXO,201907W2,10300.0000,賣權,0.3,0.5,0.2,0.5,62,-,-,0.3,0.5,6.3,0.2,,盤後,
2019/07/10,TXO,201907W2,10400.0000,買權,383,383,383,383,4,0,21,386,397,383,282,,一般,
2019/07/10,TXO,201907W2,10400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/10,TXO,201907W2,10400.0000,賣權,0.2,0.2,0.1,0.1,565,0,7882,-,0.1,11,0.1,,一般,
2019/07/10,TXO,201907W2,10400.0000,賣權,0.6,0.7,0.4,0.4,330,-,-,0.4,0.5,11,0.3,,盤後,
2019/07/10,TXO,201907W2,10450.0000,買權,303,332,303,332,117,0,53,336,347,332,232,,一般,
2019/07/10,TXO,201907W2,10450.0000,買權,248,273,247,273,41,-,-,67,-,293,232,,盤後,
2019/07/10,TXO,201907W2,10450.0000,賣權,0.3,0.3,0.1,0.1,557,0,5131,-,0.1,6.8,0.1,,一般,
2019/07/10,TXO,201907W2,10450.0000,賣權,0.9,1,0.4,0.5,639,-,-,0.4,0.6,6.8,0.4,,盤後,
2019/07/10,TXO,201907W2,10500.0000,買權,258,292,240,292,399,0,111,289,292,292,181,,一般,
2019/07/10,TXO,201907W2,10500.0000,買權,193,226,190,226,153,-,-,180,1200,278,181,,盤後,
2019/07/10,TXO,201907W2,10500.0000,賣權,0.3,0.4,0.1,0.1,1187,0,7646,-,0.1,21,0.1,,一般,
2019/07/10,TXO,201907W2,10500.0000,賣權,1,1.6,0.2,0.6,1798,-,-,0.4,0.5,21,0.2,,盤後,
2019/07/10,TXO,201907W2,10550.0000,買權,207,242,189,242,874,0,295,242,244,242,131,,一般,
2019/07/10,TXO,201907W2,10550.0000,買權,141,185,136,185,687,-,-,171,198,242,131,,盤後,
2019/07/10,TXO,201907W2,10550.0000,賣權,0.6,0.6,0.1,0.1,1889,0,13815,-,0.1,29.5,0.1,,一般,
2019/07/10,TXO,201907W2,10550.0000,賣權,2,2.8,1,1,2723,-,-,1.1,1.4,29.5,1,,盤後,
2019/07/10,TXO,201907W2,10600.0000,買權,146,192,140,192,2951,0,1730,191,192,195,84,,一般,
2019/07/10,TXO,201907W2,10600.0000,買權,101,136,90,136,2083,-,-,131,137,195,84,,盤後,
2019/07/10,TXO,201907W2,10600.0000,賣權,0.6,0.6,0.1,0.1,6006,0,18837,-,0.1,42.5,0.1,,一般,
2019/07/10,TXO,201907W2,10600.0000,賣權,4.3,6.7,0.2,0.5,7064,-,-,0.7,1.8,42.5,0.2,,盤後,
2019/07/10,TXO,201907W2,10650.0000,買權,90,142,89,141,12869,0,3606,141,142,150,31.5,,一般,
2019/07/10,TXO,201907W2,10650.0000,買權,59,89,48.5,89,7527,-,-,88,89,150,31.5,,盤後,
2019/07/10,TXO,201907W2,10650.0000,賣權,2,2,0.1,0.1,16526,0,21835,-,0.1,60,0.1,,一般,
2019/07/10,TXO,201907W2,10650.0000,賣權,10.5,15,2.3,3.2,13472,-,-,2.6,3.2,60,2.3,,盤後,
2019/07/10,TXO,201907W2,10700.0000,買權,47,93,40.5,92,71147,0,5478,91,92,107,16.5,,一般,
2019/07/10,TXO,201907W2,10700.0000,買權,24.5,44.5,18.5,44,15995,-,-,43.5,44,107,16.5,,盤後,
2019/07/10,TXO,201907W2,10700.0000,賣權,6.1,6.4,0.1,0.1,47151,0,27919,-,0.1,288,0.1,,一般,
2019/07/10,TXO,201907W2,10700.0000,賣權,26.5,35.5,8.4,8.4,22808,-,-,8.3,8.4,288,8.4,,盤後,
2019/07/10,TXO,201907W2,10750.0000,買權,15.5,43,6,42,98213,0,14662,41.5,42,73,4.9,,一般,
2019/07/10,TXO,201907W2,10750.0000,買權,8.3,16,5.8,14.5,17099,-,-,13.5,14.5,73,4.9,,盤後,
2019/07/10,TXO,201907W2,10750.0000,賣權,22,22.5,0.1,0.1,101116,0,38640,0.1,0.2,333,0.1,,一般,
2019/07/10,TXO,201907W2,10750.0000,賣權,60,73,26,26.5,15527,-,-,26,26.5,333,26,,盤後,
2019/07/10,TXO,201907W2,10800.0000,買權,2.7,5,0.1,0.2,65563,0,31688,0.1,0.2,78,0.1,,一般,
2019/07/10,TXO,201907W2,10800.0000,買權,2.7,5,1.6,3.9,5313,-,-,3.5,3.8,78,1.6,,盤後,
2019/07/10,TXO,201907W2,10800.0000,賣權,63,63,7,7.8,71056,0,11756,7.3,7.8,399,7,,一般,
2019/07/10,TXO,201907W2,10800.0000,賣權,104,118,65,69,3128,-,-,68,70,399,51,,盤後,
