交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/06/18,TXO,201906  ,7400.0000,買權,-,-,-,-,0,3150,3,-,-,-,-,,一般,
2019/06/18,TXO,201906  ,7400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/18,TXO,201906  ,7400.0000,賣權,-,-,-,-,0,0.1,7112,-,-,-,-,,一般,
2019/06/18,TXO,201906  ,7400.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/18,TXO,201906  ,7600.0000,買權,-,-,-,-,0,2950,8,-,-,-,-,,一般,
2019/06/18,TXO,201906  ,7600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/18,TXO,201906  ,7600.0000,賣權,-,-,-,-,0,0.1,3712,-,-,-,-,,一般,
2019/06/18,TXO,201906  ,7600.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/18,TXO,201906  ,7800.0000,買權,-,-,-,-,0,2750,24,-,-,-,-,,一般,
2019/06/18,TXO,201906  ,7800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/18,TXO,201906  ,7800.0000,賣權,-,-,-,-,0,0.1,2966,-,-,-,-,,一般,
2019/06/18,TXO,201906  ,7800.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/18,TXO,201906  ,8000.0000,買權,-,-,-,-,0,2550,17,-,-,-,-,,一般,
2019/06/18,TXO,201906  ,8000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/18,TXO,201906  ,8000.0000,賣權,-,-,-,-,0,0.1,4114,-,-,-,-,,一般,
2019/06/18,TXO,201906  ,8000.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/18,TXO,201906  ,8200.0000,買權,-,-,-,-,0,2350,18,-,-,-,-,,一般,
2019/06/18,TXO,201906  ,8200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/18,TXO,201906  ,8200.0000,賣權,-,-,-,-,0,0.1,3064,-,-,-,-,,一般,
2019/06/18,TXO,201906  ,8200.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/18,TXO,201906  ,8400.0000,買權,-,-,-,-,0,2150,19,-,-,-,-,,一般,
2019/06/18,TXO,201906  ,8400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/18,TXO,201906  ,8400.0000,賣權,-,-,-,-,0,0.1,2904,-,-,-,-,,一般,
2019/06/18,TXO,201906  ,8400.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/18,TXO,201906  ,8600.0000,買權,-,-,-,-,0,1950,69,-,-,-,-,,一般,
2019/06/18,TXO,201906  ,8600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/18,TXO,201906  ,8600.0000,賣權,0.1,0.1,0.1,0.1,11,0.1,4053,-,0.1,381,0.1,,一般,
2019/06/18,TXO,201906  ,8600.0000,賣權,4.8,4.8,4.8,4.8,5,-,-,-,4.8,381,0.1,,盤後,
2019/06/18,TXO,201906  ,8700.0000,買權,-,-,-,-,0,1850,0,-,-,-,-,,一般,
2019/06/18,TXO,201906  ,8700.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/18,TXO,201906  ,8700.0000,賣權,-,-,-,-,0,0.1,575,-,-,-,-,,一般,
2019/06/18,TXO,201906  ,8700.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/18,TXO,201906  ,8800.0000,買權,-,-,-,-,0,1750,58,-,-,-,-,,一般,
2019/06/18,TXO,201906  ,8800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/18,TXO,201906  ,8800.0000,賣權,0.1,0.1,0.1,0.1,9,0.1,5313,-,0.2,361,0.1,,一般,
2019/06/18,TXO,201906  ,8800.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/18,TXO,201906  ,8900.0000,買權,-,-,-,-,0,1650,0,-,-,-,-,,一般,
2019/06/18,TXO,201906  ,8900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/18,TXO,201906  ,8900.0000,賣權,0.1,0.1,0.1,0.1,9,0.1,1926,-,0.2,23,0.1,,一般,
2019/06/18,TXO,201906  ,8900.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/18,TXO,201906  ,9000.0000,買權,-,-,-,-,0,1550,48,-,-,-,-,,一般,
2019/06/18,TXO,201906  ,9000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/18,TXO,201906  ,9000.0000,賣權,0.1,0.1,0.1,0.1,9,0.1,7985,-,0.2,431,0.1,,一般,
2019/06/18,TXO,201906  ,9000.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/18,TXO,201906  ,9100.0000,買權,-,-,-,-,0,1450,22,-,-,-,-,,一般,
2019/06/18,TXO,201906  ,9100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/18,TXO,201906  ,9100.0000,賣權,0.1,0.1,0.1,0.1,9,0.1,1572,-,0.2,29,0.1,,一般,
2019/06/18,TXO,201906  ,9100.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/18,TXO,201906  ,9200.0000,買權,1360,1360,1350,1350,14,1350,287,1350,1400,1840,106,,一般,
2019/06/18,TXO,201906  ,9200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/18,TXO,201906  ,9200.0000,賣權,0.2,0.2,0.1,0.1,81,0.1,5640,-,0.2,470,0.1,,一般,
2019/06/18,TXO,201906  ,9200.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
