交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/07/12,TXO,201907  ,8700.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,8700.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,8800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,8800.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,8900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,8900.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,9000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,9000.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,9100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,9100.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,9200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,9200.0000,賣權,0.2,0.2,0.2,0.2,100,-,-,0.2,0.3,66,0.2,,盤後,
2019/07/12,TXO,201907  ,9300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,9300.0000,賣權,0.2,0.2,0.2,0.2,51,-,-,0.3,0.5,70,0.2,,盤後,
2019/07/12,TXO,201907  ,9400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,9400.0000,賣權,0.3,0.3,0.3,0.3,100,-,-,0.1,0.5,73,0.2,,盤後,
2019/07/12,TXO,201907  ,9500.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,9500.0000,賣權,0.3,0.3,0.3,0.3,100,-,-,0.2,0.5,95,0.2,,盤後,
2019/07/12,TXO,201907  ,9600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,9600.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,9700.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,9700.0000,賣權,0.5,0.5,0.5,0.5,5,-,-,0.3,0.5,131,0.4,,盤後,
2019/07/12,TXO,201907  ,9800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,9800.0000,賣權,0.5,0.5,0.3,0.4,11,-,-,0.3,0.7,158,0.3,,盤後,
2019/07/12,TXO,201907  ,9900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,9900.0000,賣權,1,1,0.4,0.4,182,-,-,0.4,0.6,187,0.4,,盤後,
2019/07/12,TXO,201907  ,10000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,10000.0000,賣權,1.1,1.2,0.8,1.1,67,-,-,0.9,1.1,230,0.7,,盤後,
2019/07/12,TXO,201907  ,10100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,10100.0000,賣權,1.4,1.4,1.1,1.3,103,-,-,1.1,1.3,273,0.4,,盤後,
2019/07/12,TXO,201907  ,10200.0000,買權,625,625,615,615,2,-,-,318,1000,635,127,,盤後,
2019/07/12,TXO,201907  ,10200.0000,賣權,1.5,2.2,1.4,1.4,216,-,-,1.4,1.7,328,1.3,,盤後,
2019/07/12,TXO,201907  ,10300.0000,買權,525,525,495,495,4,-,-,470,530,600,84,,盤後,
2019/07/12,TXO,201907  ,10300.0000,賣權,2.7,2.7,1.7,1.7,451,-,-,1.7,1.9,386,1.7,,盤後,
2019/07/12,TXO,201907  ,10400.0000,買權,415,425,381,395,43,-,-,382,480,540,56,,盤後,
2019/07/12,TXO,201907  ,10400.0000,賣權,3.5,3.5,2.5,2.5,572,-,-,2.4,2.9,451,2.3,,盤後,
2019/07/12,TXO,201907  ,10450.0000,買權,375,375,350,350,2,-,-,248,995,375,268,,盤後,
2019/07/12,TXO,201907  ,10450.0000,賣權,3.8,4.8,3.1,3.1,540,-,-,3,3.1,12,3,,盤後,
2019/07/12,TXO,201907  ,10500.0000,買權,317,328,282,286,49,-,-,303,328,435,30.5,,盤後,
2019/07/12,TXO,201907  ,10500.0000,賣權,5.1,5.3,3.8,3.9,1601,-,-,3.8,3.9,520,3.8,,盤後,
2019/07/12,TXO,201907  ,10550.0000,買權,277,277,237,256,48,-,-,253,263,288,167,,盤後,
2019/07/12,TXO,201907  ,10550.0000,賣權,6.5,7.8,5.3,5.6,857,-,-,5.6,6.5,24,5,,盤後,
2019/07/12,TXO,201907  ,10600.0000,買權,221,233,189,207,840,-,-,206,209,379,7.3,,盤後,
