交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/07/11,TXO,201907  ,8700.0000,買權,-,-,-,-,0,2110,0,-,-,-,-,,一般,
2019/07/11,TXO,201907  ,8700.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/11,TXO,201907  ,8700.0000,賣權,0.2,0.2,0.2,0.2,1,0.2,1801,0.1,0.2,15.5,0.2,,一般,
2019/07/11,TXO,201907  ,8700.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/11,TXO,201907  ,8800.0000,買權,-,-,-,-,0,2010,0,-,-,-,-,,一般,
2019/07/11,TXO,201907  ,8800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/11,TXO,201907  ,8800.0000,賣權,-,-,-,-,0,0.2,1371,-,-,-,-,,一般,
2019/07/11,TXO,201907  ,8800.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/11,TXO,201907  ,8900.0000,買權,-,-,-,-,0,1910,0,-,-,-,-,,一般,
2019/07/11,TXO,201907  ,8900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/11,TXO,201907  ,8900.0000,賣權,0.2,0.2,0.2,0.2,1,0.2,1147,0.1,0.2,39,0.2,,一般,
2019/07/11,TXO,201907  ,8900.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/11,TXO,201907  ,9000.0000,買權,-,-,-,-,0,1810,0,-,-,-,-,,一般,
2019/07/11,TXO,201907  ,9000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/11,TXO,201907  ,9000.0000,賣權,0.6,0.6,0.2,0.2,28,0.2,1140,0.1,0.2,44,0.2,,一般,
2019/07/11,TXO,201907  ,9000.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/11,TXO,201907  ,9100.0000,買權,-,-,-,-,0,1710,0,-,-,-,-,,一般,
2019/07/11,TXO,201907  ,9100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/11,TXO,201907  ,9100.0000,賣權,0.2,0.2,0.2,0.2,32,0.2,1333,0.1,0.2,48,0.2,,一般,
2019/07/11,TXO,201907  ,9100.0000,賣權,0.5,0.5,0.3,0.3,21,-,-,0.2,2.8,48,0.3,,盤後,
2019/07/11,TXO,201907  ,9200.0000,買權,-,-,-,-,0,1610,1,-,-,-,-,,一般,
2019/07/11,TXO,201907  ,9200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/11,TXO,201907  ,9200.0000,賣權,0.2,0.2,0.2,0.2,253,0.2,1200,0.1,0.3,66,0.2,,一般,
2019/07/11,TXO,201907  ,9200.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/11,TXO,201907  ,9300.0000,買權,-,-,-,-,0,1510,20,-,-,-,-,,一般,
2019/07/11,TXO,201907  ,9300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
