交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/06/12,TXO,201906W2,9600.0000,買權,-,-,-,-,0,0,1,-,-,-,-,,一般,
2019/06/12,TXO,201906W2,9600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/12,TXO,201906W2,9600.0000,賣權,0.1,0.1,0.1,0.1,3,0,1099,-,39,1.3,0.1,,一般,
2019/06/12,TXO,201906W2,9600.0000,賣權,0.1,0.1,0.1,0.1,110,-,-,0.1,0.2,1.3,0.1,,盤後,
2019/06/12,TXO,201906W2,9700.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,
2019/06/12,TXO,201906W2,9700.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/12,TXO,201906W2,9700.0000,賣權,-,-,-,-,0,0,1033,-,-,-,-,,一般,
2019/06/12,TXO,201906W2,9700.0000,賣權,0.1,0.1,0.1,0.1,204,-,-,-,1.8,1.4,0.1,,盤後,
2019/06/12,TXO,201906W2,9800.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,
2019/06/12,TXO,201906W2,9800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/12,TXO,201906W2,9800.0000,賣權,-,-,-,-,0,0,1983,-,-,-,-,,一般,
2019/06/12,TXO,201906W2,9800.0000,賣權,0.1,0.1,0.1,0.1,86,-,-,0.1,0.3,2.1,0.1,,盤後,
2019/06/12,TXO,201906W2,9900.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,
2019/06/12,TXO,201906W2,9900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/12,TXO,201906W2,9900.0000,賣權,0.1,0.1,0.1,0.1,56,0,4942,-,0.4,3.1,0.1,,一般,
2019/06/12,TXO,201906W2,9900.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/12,TXO,201906W2,10000.0000,買權,-,-,-,-,0,0,2,-,-,-,-,,一般,
2019/06/12,TXO,201906W2,10000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/12,TXO,201906W2,10000.0000,賣權,0.1,0.1,0.1,0.1,688,0,5223,-,0.4,5.5,0.1,,一般,
2019/06/12,TXO,201906W2,10000.0000,賣權,0.3,0.3,0.1,0.3,18,-,-,0.2,0.4,5.5,0.1,,盤後,
2019/06/12,TXO,201906W2,10100.0000,買權,510,510,510,510,1,0,3,390,605,510,275,,一般,
2019/06/12,TXO,201906W2,10100.0000,買權,490,490,490,490,1,-,-,206,-,493,275,,盤後,
2019/06/12,TXO,201906W2,10100.0000,賣權,0.1,0.3,0.1,0.1,286,0,5993,-,0.4,9,0.1,,一般,
2019/06/12,TXO,201906W2,10100.0000,賣權,0.4,0.5,0.1,0.1,36,-,-,0.1,0.5,9,0.1,,盤後,
2019/06/12,TXO,201906W2,10150.0000,買權,-,-,-,-,0,0,32,-,-,-,-,,一般,
2019/06/12,TXO,201906W2,10150.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/12,TXO,201906W2,10150.0000,賣權,0.1,0.3,0.1,0.2,86,0,3963,-,0.3,13.5,0.1,,一般,
2019/06/12,TXO,201906W2,10150.0000,賣權,0.4,0.5,0.2,0.2,14,-,-,0.2,0.4,13.5,0.1,,盤後,
2019/06/12,TXO,201906W2,10200.0000,買權,396,419,391,418,126,0,343,420,424,419,175,,一般,
2019/06/12,TXO,201906W2,10200.0000,買權,414,414,378,378,22,-,-,180,1450,414,175,,盤後,
2019/06/12,TXO,201906W2,10200.0000,賣權,0.4,0.4,0.1,0.1,325,0,6548,-,0.1,19.5,0.1,,一般,
2019/06/12,TXO,201906W2,10200.0000,賣權,0.3,0.6,0.2,0.2,188,-,-,0.2,0.4,19.5,0.1,,盤後,
2019/06/12,TXO,201906W2,10250.0000,買權,337,369,337,369,23,0,879,369,370,370,135,,一般,
2019/06/12,TXO,201906W2,10250.0000,買權,350,370,330,330,32,-,-,300,486,370,135,,盤後,
2019/06/12,TXO,201906W2,10250.0000,賣權,0.2,1.2,0.1,0.1,600,0,6383,-,0.6,28.5,0.1,,一般,
2019/06/12,TXO,201906W2,10250.0000,賣權,0.5,0.6,0.2,0.3,245,-,-,0.3,0.4,28.5,0.2,,盤後,
2019/06/12,TXO,201906W2,10300.0000,買權,294,320,288,320,43,0,1487,320,324,323,95,,一般,
2019/06/12,TXO,201906W2,10300.0000,買權,315,320,158,158,92,-,-,128,387,323,95,,盤後,
2019/06/12,TXO,201906W2,10300.0000,賣權,0.2,0.4,0.1,0.1,319,0,8653,-,0.3,41,0.1,,一般,
2019/06/12,TXO,201906W2,10300.0000,賣權,0.7,0.7,0.1,0.5,268,-,-,0.2,0.5,41,0.1,,盤後,
2019/06/12,TXO,201906W2,10350.0000,買權,244,270,225,270,119,0,2752,269,270,275,64,,一般,
2019/06/12,TXO,201906W2,10350.0000,買權,251,270,227,231,98,-,-,212,294,275,64,,盤後,
2019/06/12,TXO,201906W2,10350.0000,賣權,0.5,0.5,0.1,0.1,1081,0,11361,-,0.2,59,0.1,,一般,
2019/06/12,TXO,201906W2,10350.0000,賣權,0.8,1.1,0.3,0.4,456,-,-,0.3,0.4,59,0.3,,盤後,
2019/06/12,TXO,201906W2,10400.0000,買權,197,221,172,220,1208,0,4061,219,220,227,39.5,,一般,
2019/06/12,TXO,201906W2,10400.0000,買權,201,220,178,189,271,-,-,173,199,227,39.5,,盤後,
