交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/07/03,TXO,201907W1,9900.0000,買權,645,905,645,905,2,0,7,151,850,905,645,,一般,
2019/07/03,TXO,201907W1,9900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/03,TXO,201907W1,9900.0000,賣權,-,-,-,-,0,0,1818,-,-,-,-,,一般,
2019/07/03,TXO,201907W1,9900.0000,賣權,0.1,0.3,0.1,0.3,30,-,-,0.1,0.3,4.9,0.1,,盤後,
2019/07/03,TXO,201907W1,10000.0000,買權,545,805,545,805,10,0,9,151,750,805,545,,一般,
2019/07/03,TXO,201907W1,10000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/03,TXO,201907W1,10000.0000,賣權,0.1,0.1,0.1,0.1,41,0,1999,-,0.1,3.2,0.1,,一般,
2019/07/03,TXO,201907W1,10000.0000,賣權,0.1,0.1,0.1,0.1,3,-,-,0.1,0.2,3.2,0.1,,盤後,
2019/07/03,TXO,201907W1,10100.0000,買權,448,705,448,705,2,0,3,151,645,705,448,,一般,
2019/07/03,TXO,201907W1,10100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/03,TXO,201907W1,10100.0000,賣權,0.1,0.2,0.1,0.1,49,0,3417,-,0.1,4.8,0.1,,一般,
2019/07/03,TXO,201907W1,10100.0000,賣權,0.1,0.1,0.1,0.1,6,-,-,0.2,0.5,4.8,0.1,,盤後,
2019/07/03,TXO,201907W1,10200.0000,買權,348,600,348,600,2,0,1,151,550,600,348,,一般,
2019/07/03,TXO,201907W1,10200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/03,TXO,201907W1,10200.0000,賣權,0.1,0.2,0.1,0.1,112,0,4940,-,0.1,7.5,0.1,,一般,
