交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/07/22,TXO,201907W4,10000.0000,買權,-,-,-,-,0,935,0,-,-,-,-,,一般,
2019/07/22,TXO,201907W4,10000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/22,TXO,201907W4,10000.0000,賣權,0.7,0.7,0.2,0.2,126,0.2,294,-,0.7,0.9,0.2,,一般,
2019/07/22,TXO,201907W4,10000.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/22,TXO,201907W4,10100.0000,買權,-,-,-,-,0,835,0,-,-,-,-,,一般,
2019/07/22,TXO,201907W4,10100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/22,TXO,201907W4,10100.0000,賣權,0.3,0.3,0.2,0.3,781,0.3,1429,0.1,0.3,1.2,0.2,,一般,
2019/07/22,TXO,201907W4,10100.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/22,TXO,201907W4,10200.0000,買權,-,-,-,-,0,735,0,-,-,-,-,,一般,
2019/07/22,TXO,201907W4,10200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/22,TXO,201907W4,10200.0000,賣權,0.5,0.5,0.1,0.2,409,0.3,850,0.2,0.4,1.6,0.1,,一般,
2019/07/22,TXO,201907W4,10200.0000,賣權,0.4,0.7,0.4,0.7,10,-,-,0.4,0.9,1.6,0.1,,盤後,
2019/07/22,TXO,201907W4,10300.0000,買權,-,-,-,-,0,635,2,-,-,-,-,,一般,
2019/07/22,TXO,201907W4,10300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/22,TXO,201907W4,10300.0000,賣權,0.4,0.4,0.2,0.4,622,0.4,5988,0.3,0.5,2.6,0.2,,一般,
2019/07/22,TXO,201907W4,10300.0000,賣權,0.9,0.9,0.5,0.8,22,-,-,0.5,1,2.6,0.5,,盤後,
2019/07/22,TXO,201907W4,10400.0000,買權,-,-,-,-,0,535,2,-,-,-,-,,一般,
2019/07/22,TXO,201907W4,10400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/22,TXO,201907W4,10400.0000,賣權,0.6,0.6,0.3,0.6,1341,0.6,5362,0.4,0.6,4.4,0.3,,一般,
2019/07/22,TXO,201907W4,10400.0000,賣權,1,1.1,0.7,1.1,170,-,-,0.8,1.1,4.4,0.6,,盤後,
2019/07/22,TXO,201907W4,10500.0000,買權,371,423,371,423,2,436,50,431,441,423,290,,一般,
2019/07/22,TXO,201907W4,10500.0000,買權,365,365,365,365,1,-,-,333,-,408,290,,盤後,
2019/07/22,TXO,201907W4,10500.0000,賣權,1.6,1.6,0.5,0.8,2906,0.8,9118,0.6,0.8,8.6,0.5,,一般,
2019/07/22,TXO,201907W4,10500.0000,賣權,1.4,1.7,0.9,1,642,-,-,0.9,1.4,8.6,0.9,,盤後,
2019/07/22,TXO,201907W4,10550.0000,買權,338,379,338,379,31,386,33,383,391,379,228,,一般,
2019/07/22,TXO,201907W4,10550.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/22,TXO,201907W4,10550.0000,賣權,1.2,1.3,0.7,1.1,4792,1.1,5056,0.9,1.1,11.5,0.7,,一般,
2019/07/22,TXO,201907W4,10550.0000,賣權,1.8,2.2,1.4,1.7,595,-,-,1.4,1.7,11.5,1.1,,盤後,
2019/07/22,TXO,201907W4,10600.0000,買權,289,325,289,325,108,336,197,333,341,325,179,,一般,
2019/07/22,TXO,201907W4,10600.0000,買權,278,279,264,266,17,-,-,125,285,311,179,,盤後,
2019/07/22,TXO,201907W4,10600.0000,賣權,2.8,2.8,0.9,1.4,5698,1.4,12392,1,1.4,18,0.9,,一般,
2019/07/22,TXO,201907W4,10600.0000,賣權,2.5,3.2,1.8,3.1,1422,-,-,2.8,3,18,1.5,,盤後,
2019/07/22,TXO,201907W4,10650.0000,買權,221,281,221,279,338,286,390,283,290,281,135,,一般,
2019/07/22,TXO,201907W4,10650.0000,買權,229,231,212,212,76,-,-,167,235,265,135,,盤後,
2019/07/22,TXO,201907W4,10650.0000,賣權,3.5,3.5,1.2,1.3,9562,1.5,10894,1.3,1.7,26,1.2,,一般,
2019/07/22,TXO,201907W4,10650.0000,賣權,3.8,4.8,2.1,3.8,1208,-,-,3.7,3.8,26,2.1,,盤後,
2019/07/22,TXO,201907W4,10700.0000,買權,167,236,166,236,1007,236,1009,236,240,236,97,,一般,
2019/07/22,TXO,201907W4,10700.0000,買權,176,188,156,156,181,-,-,146,188,216,97,,盤後,
2019/07/22,TXO,201907W4,10700.0000,賣權,6,6,1.8,2,8358,2,15244,2,2.5,38,1.8,,一般,
2019/07/22,TXO,201907W4,10700.0000,賣權,6,8,4,7.4,2250,-,-,7,7.3,38,3.6,,盤後,
2019/07/22,TXO,201907W4,10750.0000,買權,118,190,118,188,2613,188,3336,188,193,190,64,,一般,
2019/07/22,TXO,201907W4,10750.0000,買權,123,142,104,104,1103,-,-,103,110,169,64,,盤後,
2019/07/22,TXO,201907W4,10750.0000,賣權,10.5,10.5,2.9,3.5,14762,3.5,16601,3.5,3.7,60,2.9,,一般,
2019/07/22,TXO,201907W4,10750.0000,賣權,10,13.5,7.4,11.5,4521,-,-,12,12.5,60,6.3,,盤後,
2019/07/22,TXO,201907W4,10800.0000,買權,82,142,79,141,8475,141,4888,140,142,142,40,,一般,
2019/07/22,TXO,201907W4,10800.0000,買權,90,98,68,69,3618,-,-,68,70,125,40,,盤後,
2019/07/22,TXO,201907W4,10800.0000,賣權,18,18.5,5.2,6.2,28065,6.2,20660,6.2,6.3,82,5.2,,一般,
2019/07/22,TXO,201907W4,10800.0000,賣權,19.5,24,13.5,22.5,7250,-,-,22,22.5,82,11.5,,盤後,
2019/07/22,TXO,201907W4,10850.0000,買權,41.5,98,41.5,98,34608,98,17422,95,99,98,22,,一般,
2019/07/22,TXO,201907W4,10850.0000,買權,53,61,32,33.5,10064,-,-,32,33.5,85,22,,盤後,
2019/07/22,TXO,201907W4,10850.0000,賣權,31,33.5,10,11.5,35388,11.5,20368,10.5,12,113,10,,一般,
2019/07/22,TXO,201907W4,10850.0000,賣權,28.5,41,25.5,40,11051,-,-,39.5,40,113,21.5,,盤後,
2019/07/22,TXO,201907W4,10900.0000,買權,19,56,16.5,56,44829,56,17358,56,57,56,11,,一般,
2019/07/22,TXO,201907W4,10900.0000,買權,26,32.5,14.5,15,10956,-,-,15,15.5,51,11,,盤後,
2019/07/22,TXO,201907W4,10900.0000,賣權,57,59,20.5,21,38266,21,19178,20.5,21,152,20.5,,一般,
2019/07/22,TXO,201907W4,10900.0000,賣權,50,69,48,68,7064,-,-,68,69,152,38,,盤後,
2019/07/22,TXO,201907W4,10950.0000,買權,6.9,26,6.9,26,32878,26,18895,25.5,26,27.5,5,,一般,
2019/07/22,TXO,201907W4,10950.0000,買權,10.5,14.5,5,5.1,6320,-,-,5,6.3,27.5,5,,盤後,
2019/07/22,TXO,201907W4,10950.0000,賣權,100,100,40,40.5,31748,40.5,11648,40.5,41,196,40,,一般,
2019/07/22,TXO,201907W4,10950.0000,賣權,89,109,81,109,3189,-,-,102,109,196,64,,盤後,
2019/07/22,TXO,201907W4,11000.0000,買權,2.3,9.4,2.3,8.9,18777,8.9,21241,8.9,9,12.5,2.2,,一般,
2019/07/22,TXO,201907W4,11000.0000,買權,3.6,5.1,2.2,2.3,3140,-,-,2.2,2.6,12.5,2.2,,盤後,
2019/07/22,TXO,201907W4,11000.0000,賣權,139,141,73,74,6371,74,3061,73,74,241,73,,一般,
2019/07/22,TXO,201907W4,11000.0000,賣權,133,155,123,155,536,-,-,152,156,241,99,,盤後,
2019/07/22,TXO,201907W4,11050.0000,買權,0.7,2.5,0.7,2.5,4847,2.5,10798,2.4,2.5,4.9,0.6,,一般,
2019/07/22,TXO,201907W4,11050.0000,買權,1.7,1.8,0.6,0.7,1038,-,-,0.7,1,4.9,0.6,,盤後,
2019/07/22,TXO,201907W4,11050.0000,賣權,183,185,117,117,887,117,540,115,118,259,117,,一般,
