交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/07/18,TXO,201907W4,10000.0000,買權,-,-,-,-,0,785,0,-,-,-,-,,一般,
2019/07/18,TXO,201907W4,10000.0000,賣權,0.6,0.8,0.5,0.8,298,0.8,298,-,0.8,0.8,0.5,,一般,
2019/07/18,TXO,201907W4,10100.0000,買權,-,-,-,-,0,685,0,-,-,-,-,,一般,
2019/07/18,TXO,201907W4,10100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/18,TXO,201907W4,10100.0000,賣權,0.8,1,0.7,1,605,1,771,0.6,1,1.2,0.7,,一般,
2019/07/18,TXO,201907W4,10100.0000,賣權,1,1,1,1,2,-,-,0.1,1,1.2,0.9,,盤後,
2019/07/18,TXO,201907W4,10200.0000,買權,-,-,-,-,0,585,0,-,-,-,-,,一般,
2019/07/18,TXO,201907W4,10200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/18,TXO,201907W4,10200.0000,賣權,1.1,1.4,0.9,1.3,910,1.3,887,1,1.3,1.6,0.1,,一般,
2019/07/18,TXO,201907W4,10200.0000,賣權,1.3,1.4,0.1,1,134,-,-,0.7,1.2,1.6,0.1,,盤後,
2019/07/18,TXO,201907W4,10300.0000,買權,505,505,505,505,1,488,2,430,540,520,505,,一般,
2019/07/18,TXO,201907W4,10300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/18,TXO,201907W4,10300.0000,賣權,2.2,2.2,1.3,1.9,4955,1.9,6249,1.7,1.9,2.6,1.3,,一般,
2019/07/18,TXO,201907W4,10300.0000,賣權,2.6,2.6,1.3,1.9,406,-,-,1.4,2,2.6,1.3,,盤後,
2019/07/18,TXO,201907W4,10400.0000,買權,407,407,407,407,1,389,2,382,392,415,398,,一般,
2019/07/18,TXO,201907W4,10400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/18,TXO,201907W4,10400.0000,賣權,3.4,3.6,2.1,3.1,5063,3.1,4686,3,3.1,4.4,1.9,,一般,
2019/07/18,TXO,201907W4,10400.0000,賣權,1.9,3.8,1.9,3,918,-,-,2.6,3,4.4,1.9,,盤後,
2019/07/18,TXO,201907W4,10500.0000,買權,301,310,290,295,35,295,54,285,295,328,290,,一般,
2019/07/18,TXO,201907W4,10500.0000,買權,303,310,298,300,43,-,-,204,375,328,298,,盤後,
2019/07/18,TXO,201907W4,10500.0000,賣權,6.8,7.6,4.4,5.9,9168,5.9,9697,5.2,5.9,8.6,4.4,,一般,
2019/07/18,TXO,201907W4,10500.0000,賣權,6.3,6.3,5,6.1,1830,-,-,5.1,6.2,8.6,5,,盤後,
2019/07/18,TXO,201907W4,10550.0000,買權,228,264,228,244,125,247,57,239,247,264,228,,一般,
