交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/06/24,TXO,201906W4,9800.0000,買權,-,-,-,-,0,970,0,-,-,-,-,,一般,
2019/06/24,TXO,201906W4,9800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/24,TXO,201906W4,9800.0000,賣權,0.3,0.3,0.1,0.1,689,0.1,2405,-,0.2,1.2,0.1,,一般,
2019/06/24,TXO,201906W4,9800.0000,賣權,0.3,0.5,0.3,0.5,53,-,-,0.4,0.6,1.2,0.2,,盤後,
2019/06/24,TXO,201906W4,9900.0000,買權,-,-,-,-,0,870,0,-,-,-,-,,一般,
2019/06/24,TXO,201906W4,9900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/24,TXO,201906W4,9900.0000,賣權,0.3,0.3,0.1,0.2,392,0.2,433,0.1,0.2,1.6,0.1,,一般,
2019/06/24,TXO,201906W4,9900.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/24,TXO,201906W4,10000.0000,買權,-,-,-,-,0,770,17,-,-,-,-,,一般,
2019/06/24,TXO,201906W4,10000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/24,TXO,201906W4,10000.0000,賣權,0.4,0.4,0.1,0.3,922,0.3,2307,0.2,0.3,2.1,0.1,,一般,
2019/06/24,TXO,201906W4,10000.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/24,TXO,201906W4,10100.0000,買權,-,-,-,-,0,670,3,-,-,-,-,,一般,
2019/06/24,TXO,201906W4,10100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/24,TXO,201906W4,10100.0000,賣權,0.5,0.6,0.2,0.3,462,0.3,2249,0.3,0.4,3,0.2,,一般,
