交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/07/19,TXO,201907W4,10000.0000,買權,-,-,-,-,0,870,0,-,-,-,-,,一般,
2019/07/19,TXO,201907W4,10000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/19,TXO,201907W4,10000.0000,賣權,0.3,0.3,0.3,0.3,986,0.3,168,0.2,0.3,0.9,0.3,,一般,
2019/07/19,TXO,201907W4,10000.0000,賣權,0.8,0.9,0.8,0.9,19,-,-,-,0.7,0.9,0.5,,盤後,
2019/07/19,TXO,201907W4,10100.0000,買權,-,-,-,-,0,770,0,-,-,-,-,,一般,
2019/07/19,TXO,201907W4,10100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/19,TXO,201907W4,10100.0000,賣權,0.4,0.4,0.3,0.3,1667,0.3,801,0.2,0.4,1.2,0.3,,一般,
2019/07/19,TXO,201907W4,10100.0000,賣權,1,1,1,1,27,-,-,0.5,0.9,1.2,0.7,,盤後,
2019/07/19,TXO,201907W4,10200.0000,買權,-,-,-,-,0,670,0,-,-,-,-,,一般,
2019/07/19,TXO,201907W4,10200.0000,買權,600,610,600,610,2,-,-,585,1650,610,600,,盤後,
2019/07/19,TXO,201907W4,10200.0000,賣權,0.5,0.5,0.3,0.4,1264,0.4,890,0.2,0.5,1.6,0.1,,一般,
2019/07/19,TXO,201907W4,10200.0000,賣權,1.4,1.4,0.8,1.1,37,-,-,0.2,1.1,1.6,0.1,,盤後,
2019/07/19,TXO,201907W4,10300.0000,買權,-,-,-,-,0,570,2,-,-,-,-,,一般,
2019/07/19,TXO,201907W4,10300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/19,TXO,201907W4,10300.0000,賣權,0.6,1,0.5,0.6,1278,0.6,6239,0.5,0.7,2.6,0.5,,一般,
2019/07/19,TXO,201907W4,10300.0000,賣權,1.7,1.7,1.1,1.1,293,-,-,1,1.4,2.6,1.1,,盤後,
2019/07/19,TXO,201907W4,10400.0000,買權,-,-,-,-,0,470,2,-,-,-,-,,一般,
2019/07/19,TXO,201907W4,10400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/19,TXO,201907W4,10400.0000,賣權,0.8,1.1,0.6,1,3165,1,5612,0.7,1,4.4,0.6,,一般,
2019/07/19,TXO,201907W4,10400.0000,賣權,2.7,2.8,1,1.1,899,-,-,1,1.9,4.4,1,,盤後,
2019/07/19,TXO,201907W4,10500.0000,買權,398,408,378,378,5,370,50,370,377,408,290,,一般,
2019/07/19,TXO,201907W4,10500.0000,買權,302,324,302,306,14,-,-,295,990,328,290,,盤後,
2019/07/19,TXO,201907W4,10500.0000,賣權,2,2,0.9,1.4,5885,1.4,9243,1.3,1.4,8.6,0.9,,一般,
