交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/07/01,TXO,201907W1,9900.0000,買權,-,-,-,-,0,975,6,-,-,-,-,,一般,
2019/07/01,TXO,201907W1,9900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/01,TXO,201907W1,9900.0000,賣權,0.8,0.8,0.1,0.2,304,0.2,1816,0.1,0.8,4.9,0.1,,一般,
2019/07/01,TXO,201907W1,9900.0000,賣權,0.9,1.3,0.9,1.3,201,-,-,1,1.3,4.9,0.5,,盤後,
2019/07/01,TXO,201907W1,10000.0000,買權,-,-,-,-,0,875,0,-,-,-,-,,一般,
2019/07/01,TXO,201907W1,10000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/01,TXO,201907W1,10000.0000,賣權,0.1,0.3,0.1,0.3,432,0.3,2089,0.2,0.8,3.2,0.1,,一般,
2019/07/01,TXO,201907W1,10000.0000,賣權,1.6,2.1,1.2,2.1,200,-,-,2.1,97,3.2,0.7,,盤後,
2019/07/01,TXO,201907W1,10100.0000,買權,-,-,-,-,0,775,2,-,-,-,-,,一般,
2019/07/01,TXO,201907W1,10100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/01,TXO,201907W1,10100.0000,賣權,0.6,0.6,0.2,0.4,1002,0.4,3451,0.2,0.8,4.8,0.2,,一般,
2019/07/01,TXO,201907W1,10100.0000,賣權,2.7,2.7,2,2.5,155,-,-,2.3,2.7,4.8,1,,盤後,
2019/07/01,TXO,201907W1,10200.0000,買權,-,-,-,-,0,675,0,-,-,-,-,,一般,
2019/07/01,TXO,201907W1,10200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/01,TXO,201907W1,10200.0000,賣權,0.8,0.8,0.1,0.5,1344,0.5,5424,0.4,0.5,7.5,0.1,,一般,
2019/07/01,TXO,201907W1,10200.0000,賣權,3.9,4,3.2,4,611,-,-,4,4.3,7.5,1.7,,盤後,
2019/07/01,TXO,201907W1,10300.0000,買權,575,575,575,575,1,575,4,520,625,575,324,,一般,
2019/07/01,TXO,201907W1,10300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/01,TXO,201907W1,10300.0000,賣權,1,1,0.3,0.7,2461,0.7,6918,0.4,0.7,13,0.3,,一般,
2019/07/01,TXO,201907W1,10300.0000,賣權,6.3,7.2,5.7,7.1,516,-,-,6.2,7.2,13,3.1,,盤後,
2019/07/01,TXO,201907W1,10350.0000,買權,-,-,-,-,0,525,70,-,-,-,-,,一般,
2019/07/01,TXO,201907W1,10350.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
