交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/06/11,TXO,201906W2,9600.0000,買權,-,-,-,-,0,1000,1,-,-,-,-,,一般,
2019/06/11,TXO,201906W2,9600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/11,TXO,201906W2,9600.0000,賣權,0.1,0.1,0.1,0.1,38,0.1,1074,0.1,0.2,1.3,0.1,,一般,
2019/06/11,TXO,201906W2,9600.0000,賣權,0.2,0.2,0.1,0.1,30,-,-,0.1,0.3,1.3,0.1,,盤後,
2019/06/11,TXO,201906W2,9700.0000,買權,-,-,-,-,0,905,0,-,-,-,-,,一般,
2019/06/11,TXO,201906W2,9700.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/11,TXO,201906W2,9700.0000,賣權,0.1,0.1,0.1,0.1,93,0.1,891,0.1,0.2,1.4,0.1,,一般,
2019/06/11,TXO,201906W2,9700.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/11,TXO,201906W2,9800.0000,買權,-,-,-,-,0,805,0,-,-,-,-,,一般,
2019/06/11,TXO,201906W2,9800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/11,TXO,201906W2,9800.0000,賣權,0.2,0.2,0.2,0.2,199,0.2,1967,0.1,9,2.1,0.2,,一般,
2019/06/11,TXO,201906W2,9800.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/11,TXO,201906W2,9900.0000,買權,-,-,-,-,0,705,0,-,-,-,-,,一般,
2019/06/11,TXO,201906W2,9900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/11,TXO,201906W2,9900.0000,賣權,0.2,0.3,0.1,0.2,431,0.2,4944,0.1,0.3,3.1,0.1,,一般,
2019/06/11,TXO,201906W2,9900.0000,賣權,0.4,0.4,0.4,0.4,3,-,-,0.1,0.4,3.1,0.2,,盤後,
2019/06/11,TXO,201906W2,10000.0000,買權,-,-,-,-,0,605,2,-,-,-,-,,一般,
2019/06/11,TXO,201906W2,10000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/11,TXO,201906W2,10000.0000,賣權,0.2,0.2,0.1,0.2,620,0.2,5223,0.1,0.3,5.5,0.1,,一般,
2019/06/11,TXO,201906W2,10000.0000,賣權,0.3,0.6,0.2,0.4,102,-,-,0.2,0.4,5.5,0.2,,盤後,
2019/06/11,TXO,201906W2,10100.0000,買權,493,493,493,493,1,505,3,447,555,493,275,,一般,
2019/06/11,TXO,201906W2,10100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/11,TXO,201906W2,10100.0000,賣權,0.3,0.3,0.1,0.2,442,0.2,6140,0.2,0.3,9,0.1,,一般,
2019/06/11,TXO,201906W2,10100.0000,賣權,0.4,0.6,0.4,0.5,81,-,-,0.3,0.5,9,0.4,,盤後,
2019/06/11,TXO,201906W2,10150.0000,買權,-,-,-,-,0,455,32,-,-,-,-,,一般,
2019/06/11,TXO,201906W2,10150.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/11,TXO,201906W2,10150.0000,賣權,0.4,0.4,0.1,0.4,826,0.4,3965,0.3,0.4,13.5,0.1,,一般,
2019/06/11,TXO,201906W2,10150.0000,賣權,0.6,0.8,0.4,0.4,144,-,-,0.5,0.7,13.5,0.4,,盤後,
2019/06/11,TXO,201906W2,10200.0000,買權,399,409,392,409,4,405,325,399,457,409,175,,一般,
2019/06/11,TXO,201906W2,10200.0000,買權,378,381,378,381,5,-,-,362,995,381,175,,盤後,
2019/06/11,TXO,201906W2,10200.0000,賣權,0.5,0.5,0.1,0.4,2552,0.4,6544,0.3,0.5,19.5,0.1,,一般,
2019/06/11,TXO,201906W2,10200.0000,賣權,1,1.1,0.3,0.7,472,-,-,0.3,0.7,19.5,0.3,,盤後,
2019/06/11,TXO,201906W2,10250.0000,買權,313,332,311,332,3,355,974,333,407,337,135,,一般,
2019/06/11,TXO,201906W2,10250.0000,買權,300,337,300,318,92,-,-,310,995,337,135,,盤後,
2019/06/11,TXO,201906W2,10250.0000,賣權,0.6,0.7,0.2,0.5,2092,0.5,6565,0.2,0.7,28.5,0.2,,一般,
2019/06/11,TXO,201906W2,10250.0000,賣權,1.1,1.4,0.3,1.2,510,-,-,0.4,1,28.5,0.3,,盤後,
2019/06/11,TXO,201906W2,10300.0000,買權,261,323,261,301,43,305,1823,299,324,323,95,,一般,
2019/06/11,TXO,201906W2,10300.0000,買權,255,293,255,288,107,-,-,262,288,293,95,,盤後,
2019/06/11,TXO,201906W2,10300.0000,賣權,0.9,0.9,0.3,0.6,2869,0.6,9048,0.6,0.7,41,0.3,,一般,
2019/06/11,TXO,201906W2,10300.0000,賣權,1.7,1.8,0.7,0.7,1509,-,-,0.7,1.1,41,0.7,,盤後,
2019/06/11,TXO,201906W2,10350.0000,買權,207,275,203,253,655,255,3438,241,259,275,64,,一般,
2019/06/11,TXO,201906W2,10350.0000,買權,205,244,205,237,195,-,-,212,240,244,64,,盤後,
