交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/06/25,TXO,201906W4,9800.0000,買權,-,-,-,-,0,895,0,-,-,-,-,,一般,
2019/06/25,TXO,201906W4,9800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/25,TXO,201906W4,9800.0000,賣權,0.1,0.1,0.1,0.1,26,0.1,2388,-,0.1,1.2,0.1,,一般,
2019/06/25,TXO,201906W4,9800.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/25,TXO,201906W4,9900.0000,買權,-,-,-,-,0,795,0,-,-,-,-,,一般,
2019/06/25,TXO,201906W4,9900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/25,TXO,201906W4,9900.0000,賣權,0.1,0.1,0.1,0.1,32,0.1,433,-,0.1,1.6,0.1,,一般,
2019/06/25,TXO,201906W4,9900.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/25,TXO,201906W4,10000.0000,買權,-,-,-,-,0,695,17,-,-,-,-,,一般,
2019/06/25,TXO,201906W4,10000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/25,TXO,201906W4,10000.0000,賣權,0.2,0.2,0.1,0.1,186,0.1,2292,-,0.1,2.1,0.1,,一般,
2019/06/25,TXO,201906W4,10000.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/25,TXO,201906W4,10100.0000,買權,-,-,-,-,0,595,3,-,-,-,-,,一般,
2019/06/25,TXO,201906W4,10100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/25,TXO,201906W4,10100.0000,賣權,0.3,0.3,0.1,0.1,7846,0.1,2362,0.1,0.2,3,0.1,,一般,
2019/06/25,TXO,201906W4,10100.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/25,TXO,201906W4,10200.0000,買權,-,-,-,-,0,495,1,-,-,-,-,,一般,
2019/06/25,TXO,201906W4,10200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/25,TXO,201906W4,10200.0000,賣權,0.3,0.3,0.1,0.2,300,0.2,3561,0.1,0.2,5.1,0.1,,一般,
2019/06/25,TXO,201906W4,10200.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/25,TXO,201906W4,10250.0000,買權,-,-,-,-,0,445,9,-,-,-,-,,一般,
