交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/07/02,TXO,201907W1,9900.0000,買權,-,-,-,-,0,950,6,-,-,-,-,,一般,
2019/07/02,TXO,201907W1,9900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/02,TXO,201907W1,9900.0000,賣權,0.2,0.2,0.1,0.1,160,0.1,1816,-,0.2,4.9,0.1,,一般,
2019/07/02,TXO,201907W1,9900.0000,賣權,0.3,0.3,0.2,0.2,115,-,-,0.2,0.5,4.9,0.1,,盤後,
2019/07/02,TXO,201907W1,10000.0000,買權,-,-,-,-,0,850,0,-,-,-,-,,一般,
2019/07/02,TXO,201907W1,10000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/02,TXO,201907W1,10000.0000,賣權,0.2,0.2,0.2,0.2,349,0.2,2010,0.1,0.2,3.2,0.1,,一般,
2019/07/02,TXO,201907W1,10000.0000,賣權,0.3,0.3,0.1,0.1,11,-,-,0.1,1.1,3.2,0.1,,盤後,
2019/07/02,TXO,201907W1,10100.0000,買權,-,-,-,-,0,750,2,-,-,-,-,,一般,
2019/07/02,TXO,201907W1,10100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/02,TXO,201907W1,10100.0000,賣權,0.2,0.2,0.1,0.2,260,0.2,3423,0.1,0.2,4.8,0.1,,一般,
2019/07/02,TXO,201907W1,10100.0000,賣權,0.4,0.4,0.2,0.2,76,-,-,0.2,1.4,4.8,0.2,,盤後,
2019/07/02,TXO,201907W1,10200.0000,買權,-,-,-,-,0,650,0,-,-,-,-,,一般,
2019/07/02,TXO,201907W1,10200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/02,TXO,201907W1,10200.0000,賣權,0.3,0.3,0.1,0.2,500,0.2,4945,0.1,0.2,7.5,0.1,,一般,
2019/07/02,TXO,201907W1,10200.0000,賣權,0.5,0.5,0.3,0.4,158,-,-,0.3,0.5,7.5,0.1,,盤後,
2019/07/02,TXO,201907W1,10300.0000,買權,-,-,-,-,0,550,4,-,-,-,-,,一般,
2019/07/02,TXO,201907W1,10300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/02,TXO,201907W1,10300.0000,賣權,0.3,0.3,0.1,0.2,438,0.2,6641,0.1,0.2,13,0.1,,一般,
2019/07/02,TXO,201907W1,10300.0000,賣權,0.6,0.7,0.3,0.7,85,-,-,0.4,0.6,13,0.3,,盤後,
2019/07/02,TXO,201907W1,10350.0000,買權,-,-,-,-,0,500,44,-,-,-,-,,一般,
2019/07/02,TXO,201907W1,10350.0000,買權,535,535,515,515,27,-,-,226,-,535,313,,盤後,
2019/07/02,TXO,201907W1,10350.0000,賣權,0.5,0.5,0.1,0.2,667,0.2,2151,0.1,0.4,10.5,0.1,,一般,
2019/07/02,TXO,201907W1,10350.0000,賣權,0.7,0.8,0.7,0.8,69,-,-,0.6,0.7,10.5,0.4,,盤後,
2019/07/02,TXO,201907W1,10400.0000,買權,-,-,-,-,0,450,182,-,-,-,-,,一般,
2019/07/02,TXO,201907W1,10400.0000,買權,473,475,454,454,23,-,-,371,475,480,230,,盤後,
2019/07/02,TXO,201907W1,10400.0000,賣權,0.5,0.6,0.2,0.3,900,0.3,5962,0.2,0.3,24.5,0.2,,一般,
2019/07/02,TXO,201907W1,10400.0000,賣權,0.8,1.1,0.7,0.8,118,-,-,0.7,0.9,24.5,0.6,,盤後,
2019/07/02,TXO,201907W1,10450.0000,買權,412,412,397,397,7,400,388,344,455,430,189,,一般,
2019/07/02,TXO,201907W1,10450.0000,買權,430,430,395,395,12,-,-,391,995,430,189,,盤後,
2019/07/02,TXO,201907W1,10450.0000,賣權,0.9,0.9,0.2,0.4,995,0.4,5386,0.3,0.4,34.5,0.2,,一般,
2019/07/02,TXO,201907W1,10450.0000,賣權,1,1.3,0.7,0.7,117,-,-,0.7,1.2,34.5,0.7,,盤後,
2019/07/02,TXO,201907W1,10500.0000,買權,350,350,341,350,12,350,435,294,405,384,125,,一般,
2019/07/02,TXO,201907W1,10500.0000,買權,360,377,354,360,74,-,-,169,995,384,125,,盤後,
2019/07/02,TXO,201907W1,10500.0000,賣權,1.3,1.3,0.3,0.5,1028,0.5,9197,0.3,0.5,47.5,0.3,,一般,
2019/07/02,TXO,201907W1,10500.0000,賣權,1.2,2,0.6,0.6,957,-,-,0.7,1.5,47.5,0.6,,盤後,
2019/07/02,TXO,201907W1,10550.0000,買權,298,319,289,291,132,300,726,295,301,331,118,,一般,
2019/07/02,TXO,201907W1,10550.0000,買權,324,325,225,225,56,-,-,257,350,331,118,,盤後,
2019/07/02,TXO,201907W1,10550.0000,賣權,1.8,1.8,0.4,0.6,2430,0.6,9096,0.4,0.6,64,0.4,,一般,
2019/07/02,TXO,201907W1,10550.0000,賣權,1.7,1.9,1.1,1.6,371,-,-,1.2,1.6,64,1.1,,盤後,
2019/07/02,TXO,201907W1,10600.0000,買權,246,269,240,245,361,250,1743,246,251,300,70,,一般,
2019/07/02,TXO,201907W1,10600.0000,買權,276,300,168,300,159,-,-,220,346,300,70,,盤後,
2019/07/02,TXO,201907W1,10600.0000,賣權,2.1,2.1,0.5,0.7,4702,0.7,10497,0.5,0.8,90,0.5,,一般,
2019/07/02,TXO,201907W1,10600.0000,賣權,2.1,2.5,1,1,1381,-,-,1.5,1.7,90,1,,盤後,
2019/07/02,TXO,201907W1,10650.0000,買權,197,218,188,197,1333,200,4002,197,201,238,63,,一般,
2019/07/02,TXO,201907W1,10650.0000,買權,225,238,192,213,306,-,-,178,230,238,63,,盤後,
2019/07/02,TXO,201907W1,10650.0000,賣權,2.1,2.5,0.7,0.9,4791,0.9,10603,0.7,1,111,0.7,,一般,
2019/07/02,TXO,201907W1,10650.0000,賣權,3.1,3.7,2,2.6,2027,-,-,2.3,2.7,111,2,,盤後,
2019/07/02,TXO,201907W1,10700.0000,買權,153,169,138,152,2834,152,5208,149,152,189,44.5,,一般,
2019/07/02,TXO,201907W1,10700.0000,買權,178,188,147,157,740,-,-,153,166,189,44.5,,盤後,
2019/07/02,TXO,201907W1,10700.0000,賣權,4.3,4.3,1.2,1.5,8238,1.5,14035,1.3,1.5,143,1.2,,一般,
2019/07/02,TXO,201907W1,10700.0000,賣權,4.6,5.7,3.2,3.2,2471,-,-,3.6,4.6,143,3.2,,盤後,
2019/07/02,TXO,201907W1,10750.0000,買權,110,122,92,102,5775,102,5625,101,103,141,30,,一般,
2019/07/02,TXO,201907W1,10750.0000,買權,132,141,101,113,1984,-,-,111,113,141,30,,盤後,
2019/07/02,TXO,201907W1,10750.0000,賣權,6.8,8.1,2.6,2.9,22204,2.9,16471,2.5,2.9,177,2.6,,一般,
2019/07/02,TXO,201907W1,10750.0000,賣權,7.6,11.5,6.1,6.3,3904,-,-,6.3,6.6,177,6.1,,盤後,
2019/07/02,TXO,201907W1,10800.0000,買權,72,75,48.5,57,21214,57,10746,56,57,98,18,,一般,
2019/07/02,TXO,201907W1,10800.0000,買權,91,97,51,70,6529,-,-,70,71,98,18,,盤後,
2019/07/02,TXO,201907W1,10800.0000,賣權,14.5,18.5,6.8,8.5,30468,8.5,24180,8.4,8.5,216,6.8,,一般,
2019/07/02,TXO,201907W1,10800.0000,賣權,15,20.5,11,14,9495,-,-,14,15,216,11,,盤後,
2019/07/02,TXO,201907W1,10850.0000,買權,33,39,18.5,24,31987,24,17234,23.5,24,62,10,,一般,
2019/07/02,TXO,201907W1,10850.0000,買權,56,59,32,38.5,12176,-,-,38.5,39,62,10,,盤後,
2019/07/02,TXO,201907W1,10850.0000,賣權,32,37.5,18.5,23.5,33472,23.5,18699,23.5,24.5,253,18.5,,一般,
2019/07/02,TXO,201907W1,10850.0000,賣權,28,41,23.5,32.5,10835,-,-,32,33.5,253,23.5,,盤後,
2019/07/02,TXO,201907W1,10900.0000,買權,16,18,5.5,8,28406,8,23591,7.9,8.1,37,2.1,,一般,
2019/07/02,TXO,201907W1,10900.0000,買權,30,32,14,18,12529,-,-,17.5,19,37,2.1,,盤後,
2019/07/02,TXO,201907W1,10900.0000,賣權,62,71,45,58,19978,58,15095,58,60,300,45,,一般,
2019/07/02,TXO,201907W1,10900.0000,賣權,55,73,46.5,60,8111,-,-,59,61,300,46.5,,盤後,
2019/07/02,TXO,201907W1,10950.0000,買權,6.2,6.2,1.5,2.5,18885,2.5,16574,2.2,2.5,20.5,0.2,,一般,
2019/07/02,TXO,201907W1,10950.0000,買權,12.5,15,6.2,6.7,9378,-,-,6.7,7.2,20.5,0.2,,盤後,
2019/07/02,TXO,201907W1,10950.0000,賣權,101,114,86,103,6810,103,1768,103,105,295,79,,一般,
2019/07/02,TXO,201907W1,10950.0000,賣權,89,115,79,98,2529,-,-,94,102,295,79,,盤後,
2019/07/02,TXO,201907W1,11000.0000,買權,2.6,2.6,0.6,0.8,9516,0.8,14246,0.8,0.9,10,0.6,,一般,
2019/07/02,TXO,201907W1,11000.0000,買權,6,7,2.7,2.8,3318,-,-,2.8,3.6,10,2.3,,盤後,
2019/07/02,TXO,201907W1,11000.0000,賣權,157,163,132,151,850,151,530,150,155,406,122,,一般,
2019/07/02,TXO,201907W1,11000.0000,賣權,131,160,122,142,410,-,-,140,150,406,122,,盤後,
2019/07/02,TXO,201907W1,11050.0000,買權,0.7,1,0.3,0.5,3403,0.5,5647,0.3,0.5,5,0.3,,一般,
2019/07/02,TXO,201907W1,11050.0000,買權,3.1,3.3,0.6,1.3,1246,-,-,1.2,1.3,5,0.6,,盤後,
2019/07/02,TXO,201907W1,11050.0000,賣權,200,212,184,204,184,201,135,199,205,227,170,,一般,
2019/07/02,TXO,201907W1,11050.0000,賣權,182,201,174,201,62,-,-,165,299,227,170,,盤後,
2019/07/02,TXO,201907W1,11100.0000,買權,0.5,0.5,0.2,0.3,1546,0.3,9441,0.2,0.3,3.5,0.2,,一般,
2019/07/02,TXO,201907W1,11100.0000,買權,1.6,1.9,0.3,1.1,695,-,-,0.7,1.1,3.5,0.3,,盤後,
2019/07/02,TXO,201907W1,11100.0000,賣權,259,259,230,230,2,251,6,196,307,443,218,,一般,
2019/07/02,TXO,201907W1,11100.0000,賣權,226,259,226,259,4,-,-,211,990,443,218,,盤後,
2019/07/02,TXO,201907W1,11150.0000,買權,0.3,0.4,0.2,0.2,1032,0.2,426,0.1,0.3,0.4,0.2,,一般,
2019/07/02,TXO,201907W1,11150.0000,賣權,-,-,-,-,0,301,0,-,-,-,-,,一般,
2019/07/02,TXO,201907W1,11200.0000,買權,0.3,0.3,0.1,0.2,555,0.2,2673,0.1,0.2,1.3,0.1,,一般,
2019/07/02,TXO,201907W1,11200.0000,買權,0.6,0.6,0.5,0.6,225,-,-,0.5,0.7,1.3,0.4,,盤後,
2019/07/02,TXO,201907W1,11200.0000,賣權,-,-,-,-,0,351,0,-,-,-,-,,一般,
2019/07/02,TXO,201907W1,11200.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/02,TXO,201907W1,11300.0000,買權,0.1,0.1,0.1,0.1,120,0.1,1363,-,0.2,0.9,0.1,,一般,
2019/07/02,TXO,201907W1,11300.0000,買權,0.3,0.3,0.3,0.3,50,-,-,0.2,0.7,0.9,0.2,,盤後,
2019/07/02,TXO,201907W1,11300.0000,賣權,-,-,-,-,0,451,0,-,-,-,-,,一般,
2019/07/02,TXO,201907W1,11300.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/02,TXO,201907W1,11400.0000,買權,0.1,0.1,0.1,0.1,20,0.1,812,-,0.2,105,0.1,,一般,
2019/07/02,TXO,201907W1,11400.0000,買權,0.3,0.3,0.3,0.3,5,-,-,-,0.3,105,0.1,,盤後,
2019/07/02,TXO,201907W1,11400.0000,賣權,-,-,-,-,0,550,0,-,-,-,-,,一般,
2019/07/02,TXO,201907W1,11400.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/02,TXO,201907W1,11500.0000,買權,0.1,0.1,0.1,0.1,20,0.1,150,-,0.2,0.4,0.1,,一般,
2019/07/02,TXO,201907W1,11500.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/02,TXO,201907W1,11500.0000,賣權,-,-,-,-,0,650,0,-,-,-,-,,一般,
2019/07/02,TXO,201907W1,11500.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/02,TXO,201907W1,11600.0000,買權,0.1,0.2,0.1,0.1,62,0.1,32,-,0.1,0.2,0.1,,一般,
2019/07/02,TXO,201907W1,11600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/02,TXO,201907W1,11600.0000,賣權,-,-,-,-,0,750,0,-,-,-,-,,一般,
2019/07/02,TXO,201907W1,11600.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/02,TXO,201907W1,11700.0000,買權,0.1,0.1,0.1,0.1,20,0.1,20,-,0.1,0.1,0.1,,一般,
2019/07/02,TXO,201907W1,11700.0000,賣權,-,-,-,-,0,850,0,-,-,-,-,,一般,
2019/07/02,TXO,201907  ,8700.0000,買權,-,-,-,-,0,2050,0,-,-,-,-,,一般,
2019/07/02,TXO,201907  ,8700.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/02,TXO,201907  ,8700.0000,賣權,0.8,1,0.8,1,8,1,1727,0.9,1.2,15.5,0.8,,一般,
2019/07/02,TXO,201907  ,8700.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
