交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/06/06,TXO,201906W2,9600.0000,買權,-,-,-,-,0,785,1,-,-,-,-,,一般,
2019/06/06,TXO,201906W2,9600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/06,TXO,201906W2,9600.0000,賣權,1.1,1.1,0.6,0.7,429,0.7,771,0.5,0.8,1.3,0.6,,一般,
2019/06/06,TXO,201906W2,9600.0000,賣權,1,1.3,0.8,1,249,-,-,1,1.2,1.3,0.8,,盤後,
2019/06/06,TXO,201906W2,9700.0000,買權,-,-,-,-,0,685,0,-,-,-,-,,一般,
2019/06/06,TXO,201906W2,9700.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/06,TXO,201906W2,9700.0000,賣權,1.1,1.3,0.9,0.9,393,0.9,780,0.8,1,1.4,0.9,,一般,
2019/06/06,TXO,201906W2,9700.0000,賣權,1.3,1.4,1,1.4,59,-,-,1.2,1.5,1.4,1,,盤後,
2019/06/06,TXO,201906W2,9800.0000,買權,-,-,-,-,0,585,0,-,-,-,-,,一般,
2019/06/06,TXO,201906W2,9800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/06,TXO,201906W2,9800.0000,賣權,1.7,1.7,1.2,1.3,1398,1.3,1887,1,1.3,2.1,1.2,,一般,
2019/06/06,TXO,201906W2,9800.0000,賣權,2,2.1,1.4,1.8,107,-,-,1.6,1.9,2.1,1.4,,盤後,
2019/06/06,TXO,201906W2,9900.0000,買權,-,-,-,-,0,489,0,-,-,-,-,,一般,
2019/06/06,TXO,201906W2,9900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/06,TXO,201906W2,9900.0000,賣權,2.2,2.6,1.6,1.8,4743,1.8,4693,1.8,1.9,2.7,1.6,,一般,
2019/06/06,TXO,201906W2,9900.0000,賣權,2.6,2.6,1.9,2.4,212,-,-,2.1,2.5,2.7,1.9,,盤後,
2019/06/06,TXO,201906W2,10000.0000,買權,-,-,-,-,0,390,0,-,-,-,-,,一般,
2019/06/06,TXO,201906W2,10000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/06,TXO,201906W2,10000.0000,賣權,3.2,4.6,2.4,3.1,5490,3.1,5277,2.9,3.2,4.9,2.4,,一般,
2019/06/06,TXO,201906W2,10000.0000,賣權,3.8,4.9,2.9,4.1,698,-,-,4,4.3,4.9,2.9,,盤後,
2019/06/06,TXO,201906W2,10100.0000,買權,300,322,290,290,10,290,5,267,343,358,290,,一般,
2019/06/06,TXO,201906W2,10100.0000,買權,336,358,336,358,3,-,-,107,388,358,336,,盤後,
2019/06/06,TXO,201906W2,10100.0000,賣權,5.2,9,4.6,6.3,8200,6.3,6687,5.7,6.8,9,4,,一般,
2019/06/06,TXO,201906W2,10100.0000,賣權,6.2,6.4,4.4,5,1114,-,-,4.9,5.7,6.4,4,,盤後,
2019/06/06,TXO,201906W2,10150.0000,買權,264,275,233,238,44,242,31,182,272,292,233,,一般,
2019/06/06,TXO,201906W2,10150.0000,買權,284,292,284,292,3,-,-,274,1360,292,284,,盤後,
2019/06/06,TXO,201906W2,10150.0000,賣權,7.4,13.5,6.7,9.7,6518,9.7,3694,8.9,10,13.5,5.8,,一般,
2019/06/06,TXO,201906W2,10150.0000,賣權,8.5,9,6.4,6.7,808,-,-,6.5,7.8,9,5.8,,盤後,
2019/06/06,TXO,201906W2,10200.0000,買權,222,234,185,192,622,192,317,189,194,292,185,,一般,
2019/06/06,TXO,201906W2,10200.0000,買權,272,278,243,245,10,-,-,238,278,292,243,,盤後,
2019/06/06,TXO,201906W2,10200.0000,賣權,11,19,10,14.5,9068,14.5,6960,14,14.5,19,8,,一般,
2019/06/06,TXO,201906W2,10200.0000,賣權,11.5,13.5,9,11,3450,-,-,11,12,13.5,8,,盤後,
2019/06/06,TXO,201906W2,10250.0000,買權,210,210,143,152,1919,152,945,148,152,267,143,,一般,
2019/06/06,TXO,201906W2,10250.0000,買權,222,243,179,219,36,-,-,177,236,267,179,,盤後,
2019/06/06,TXO,201906W2,10250.0000,賣權,16,28.5,15,22,13543,22,7730,21.5,22,28.5,10.5,,一般,
2019/06/06,TXO,201906W2,10250.0000,賣權,15.5,20.5,13,18,2431,-,-,16.5,18,20.5,10.5,,盤後,
2019/06/06,TXO,201906W2,10300.0000,買權,166,166,105,110,4780,110,1989,108,112,227,105,,一般,
