交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/07/24,TXO,201907W4,10000.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,
2019/07/24,TXO,201907W4,10000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/24,TXO,201907W4,10000.0000,賣權,0.1,0.1,0.1,0.1,2,0,294,-,0.1,0.9,0.1,,一般,
2019/07/24,TXO,201907W4,10000.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/24,TXO,201907W4,10100.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,
2019/07/24,TXO,201907W4,10100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/24,TXO,201907W4,10100.0000,賣權,0.1,0.1,0.1,0.1,11,0,1411,-,0.1,1.2,0.1,,一般,
2019/07/24,TXO,201907W4,10100.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/24,TXO,201907W4,10200.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,
2019/07/24,TXO,201907W4,10200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/24,TXO,201907W4,10200.0000,賣權,0.1,0.1,0.1,0.1,8,0,753,-,0.1,1.6,0.1,,一般,
2019/07/24,TXO,201907W4,10200.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/24,TXO,201907W4,10300.0000,買權,-,-,-,-,0,0,2,-,-,-,-,,一般,
2019/07/24,TXO,201907W4,10300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/24,TXO,201907W4,10300.0000,賣權,0.1,0.1,0.1,0.1,66,0,5971,-,0.1,2.6,0.1,,一般,
2019/07/24,TXO,201907W4,10300.0000,賣權,0.2,0.2,0.2,0.2,2,-,-,0.1,0.2,2.6,0.2,,盤後,
2019/07/24,TXO,201907W4,10400.0000,買權,575,575,575,575,1,0,2,520,680,575,398,,一般,
2019/07/24,TXO,201907W4,10400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/24,TXO,201907W4,10400.0000,賣權,0.1,0.1,0.1,0.1,874,0,5349,-,0.1,4.4,0.1,,一般,
2019/07/24,TXO,201907W4,10400.0000,賣權,0.3,0.3,0.1,0.1,19,-,-,0.1,0.3,4.4,0.1,,盤後,
2019/07/24,TXO,201907W4,10500.0000,買權,451,451,430,430,10,0,37,421,424,456,290,,一般,
2019/07/24,TXO,201907W4,10500.0000,買權,456,456,456,456,4,-,-,251,1520,456,290,,盤後,
2019/07/24,TXO,201907W4,10500.0000,賣權,0.2,0.2,0.1,0.1,621,0,8765,-,0.1,8.6,0.1,,一般,
2019/07/24,TXO,201907W4,10500.0000,賣權,0.2,0.4,0.1,0.3,23,-,-,0.2,0.3,8.6,0.1,,盤後,
2019/07/24,TXO,201907W4,10550.0000,買權,-,-,-,-,0,0,33,-,-,-,-,,一般,
2019/07/24,TXO,201907W4,10550.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/24,TXO,201907W4,10550.0000,賣權,0.1,0.2,0.1,0.1,50,0,4337,-,0.1,11.5,0.1,,一般,
2019/07/24,TXO,201907W4,10550.0000,賣權,0.2,0.3,0.1,0.2,41,-,-,0.2,0.4,11.5,0.1,,盤後,
2019/07/24,TXO,201907W4,10600.0000,買權,371,373,325,325,35,0,156,318,329,373,179,,一般,
2019/07/24,TXO,201907W4,10600.0000,買權,349,353,349,352,26,-,-,92,980,353,179,,盤後,
2019/07/24,TXO,201907W4,10600.0000,賣權,0.3,0.3,0.1,0.1,674,0,12055,-,0.1,18,0.1,,一般,
2019/07/24,TXO,201907W4,10600.0000,賣權,0.2,0.6,0.2,0.2,146,-,-,0.2,0.4,18,0.2,,盤後,
2019/07/24,TXO,201907W4,10650.0000,買權,314,314,285,285,8,0,326,271,274,325,135,,一般,
2019/07/24,TXO,201907W4,10650.0000,買權,322,322,298,307,3,-,-,126,322,325,135,,盤後,
2019/07/24,TXO,201907W4,10650.0000,賣權,0.2,0.2,0.1,0.2,385,0,10330,-,0.1,26,0.1,,一般,
2019/07/24,TXO,201907W4,10650.0000,賣權,0.4,0.5,0.2,0.2,298,-,-,0.2,0.4,26,0.2,,盤後,
2019/07/24,TXO,201907W4,10700.0000,買權,263,275,223,223,562,0,780,223,227,276,97,,一般,
2019/07/24,TXO,201907W4,10700.0000,買權,250,275,249,250,244,-,-,150,272,276,97,,盤後,
2019/07/24,TXO,201907W4,10700.0000,賣權,0.2,0.2,0.1,0.1,352,0,12695,-,0.1,38,0.1,,一般,
2019/07/24,TXO,201907W4,10700.0000,賣權,0.5,0.7,0.3,0.3,346,-,-,0.2,0.4,38,0.3,,盤後,
2019/07/24,TXO,201907W4,10750.0000,買權,213,225,173,173,992,0,2218,173,174,226,64,,一般,
2019/07/24,TXO,201907W4,10750.0000,買權,198,226,198,209,445,-,-,210,219,226,64,,盤後,
2019/07/24,TXO,201907W4,10750.0000,賣權,0.2,0.3,0.1,0.1,696,0,14728,-,0.1,60,0.1,,一般,
2019/07/24,TXO,201907W4,10750.0000,賣權,0.9,1.1,0.3,0.7,1145,-,-,0.3,0.6,60,0.3,,盤後,
2019/07/24,TXO,201907W4,10800.0000,買權,167,177,122,125,3055,0,3308,124,125,179,40,,一般,
2019/07/24,TXO,201907W4,10800.0000,買權,148,179,147,167,697,-,-,162,171,179,40,,盤後,
2019/07/24,TXO,201907W4,10800.0000,賣權,0.7,0.7,0.1,0.1,4241,0,19385,-,0.1,82,0.1,,一般,
2019/07/24,TXO,201907W4,10800.0000,賣權,1.9,1.9,0.4,0.7,4375,-,-,0.4,0.7,82,0.4,,盤後,
2019/07/24,TXO,201907W4,10850.0000,買權,106,127,72,73,7966,0,5628,73,74,131,22,,一般,
2019/07/24,TXO,201907W4,10850.0000,買權,100,129,98,119,2726,-,-,118,120,131,22,,盤後,
2019/07/24,TXO,201907W4,10850.0000,賣權,0.9,0.9,0.1,0.2,10047,0,19279,-,0.2,113,0.1,,一般,
2019/07/24,TXO,201907W4,10850.0000,賣權,3.6,4,1.2,1.3,5513,-,-,1.2,1.3,113,1.2,,盤後,
2019/07/24,TXO,201907W4,10900.0000,買權,65,79,21.5,23.5,55942,0,10146,23.5,24,85,11,,一般,
2019/07/24,TXO,201907W4,10900.0000,買權,54,82,54,70,12182,-,-,70,71,85,11,,盤後,
2019/07/24,TXO,201907W4,10900.0000,賣權,3.4,3.4,0.1,0.2,38534,0,34081,0.1,0.2,152,0.1,,一般,
2019/07/24,TXO,201907W4,10900.0000,賣權,9.8,10,2.9,3.7,14036,-,-,3.1,3.7,152,2.9,,盤後,
2019/07/24,TXO,201907W4,10950.0000,買權,21.5,33.5,0.1,0.2,105850,0,46706,0.1,0.2,45,0.1,,一般,
2019/07/24,TXO,201907W4,10950.0000,買權,20,39,18,27.5,30417,-,-,27,27.5,45,5,,盤後,
2019/07/24,TXO,201907W4,10950.0000,賣權,12,27.5,5,26.5,107049,0,11623,26,26.5,196,5,,一般,
2019/07/24,TXO,201907W4,10950.0000,賣權,24,25.5,10,12.5,23246,-,-,12.5,13,196,10,,盤後,
2019/07/24,TXO,201907W4,11000.0000,買權,4.6,7.3,0.1,0.1,38722,0,36854,-,0.1,18,0.1,,一般,
2019/07/24,TXO,201907W4,11000.0000,買權,5,11.5,3.7,5.5,18450,-,-,5.5,7,18,2.2,,盤後,
2019/07/24,TXO,201907W4,11000.0000,賣權,39,78,30,76,36174,0,5442,76,77,241,30,,一般,
2019/07/24,TXO,201907W4,11000.0000,賣權,60,60,33.5,37.5,13580,-,-,36.5,37.5,241,33.5,,盤後,
2019/07/24,TXO,201907W4,11050.0000,買權,1,1,0.1,0.1,5779,0,14301,-,0.1,4.9,0.1,,一般,
2019/07/24,TXO,201907W4,11050.0000,買權,1,2.9,0.4,0.8,3453,-,-,0.9,1.2,4.9,0.4,,盤後,
2019/07/24,TXO,201907W4,11050.0000,賣權,89,127,74,126,5235,0,2254,126,127,259,74,,一般,
2019/07/24,TXO,201907W4,11050.0000,賣權,105,106,75,83,2826,-,-,81,84,259,75,,盤後,
2019/07/24,TXO,201907W4,11100.0000,買權,0.3,0.3,0.1,0.2,857,0,8605,-,0.1,2.3,0.1,,一般,
2019/07/24,TXO,201907W4,11100.0000,買權,0.2,0.8,0.1,0.6,169,-,-,0.2,0.5,2.3,0.1,,盤後,
2019/07/24,TXO,201907W4,11100.0000,賣權,137,177,124,177,319,0,287,176,177,324,123,,一般,
2019/07/24,TXO,201907W4,11100.0000,賣權,148,155,123,130,187,-,-,129,147,324,123,,盤後,
2019/07/24,TXO,201907W4,11150.0000,買權,0.2,0.2,0.1,0.1,285,0,4226,-,0.1,1.4,0.1,,一般,
2019/07/24,TXO,201907W4,11150.0000,買權,0.3,0.5,0.1,0.5,8,-,-,-,0.5,1.4,0.1,,盤後,
2019/07/24,TXO,201907W4,11150.0000,賣權,197,225,173,225,219,0,174,225,227,255,173,,一般,
2019/07/24,TXO,201907W4,11150.0000,賣權,190,207,176,198,40,-,-,66,250,255,175,,盤後,
