交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/06/27,TXO,201907W1,9900.0000,買權,-,-,-,-,0,825,6,-,-,-,-,,一般,
2019/06/27,TXO,201907W1,9900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/27,TXO,201907W1,9900.0000,賣權,0.8,1.1,0.5,1,501,1,1350,0.2,1,4.9,0.5,,一般,
2019/06/27,TXO,201907W1,9900.0000,賣權,1.3,1.4,0.9,1,161,-,-,1,1.2,4.9,0.9,,盤後,
2019/06/27,TXO,201907W1,10000.0000,買權,-,-,-,-,0,725,0,-,-,-,-,,一般,
2019/06/27,TXO,201907W1,10000.0000,買權,670,670,670,670,20,-,-,316,1650,670,670,,盤後,
2019/06/27,TXO,201907W1,10000.0000,賣權,1.2,1.5,0.7,1.5,890,1.5,1838,1,1.5,3.2,0.7,,一般,
2019/06/27,TXO,201907W1,10000.0000,賣權,1.9,2.3,1.5,1.7,399,-,-,1.4,1.7,3.2,1.5,,盤後,
2019/06/27,TXO,201907W1,10100.0000,買權,-,-,-,-,0,625,0,-,-,-,-,,一般,
2019/06/27,TXO,201907W1,10100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/27,TXO,201907W1,10100.0000,賣權,2,2.2,1,2.1,2106,2.1,3470,1.4,2.1,4.8,1,,一般,
2019/06/27,TXO,201907W1,10100.0000,賣權,3.5,3.5,2.3,2.7,692,-,-,2.7,2.8,4.8,2.3,,盤後,
2019/06/27,TXO,201907W1,10200.0000,買權,-,-,-,-,0,525,0,-,-,-,-,,一般,
2019/06/27,TXO,201907W1,10200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/27,TXO,201907W1,10200.0000,賣權,4.8,4.8,1.7,3.3,3852,3.3,4741,2.8,3.4,7.5,1.7,,一般,
2019/06/27,TXO,201907W1,10200.0000,賣權,5.4,6,3.7,4.5,1534,-,-,4.3,4.5,7.5,2.6,,盤後,
2019/06/27,TXO,201907W1,10300.0000,買權,-,-,-,-,0,425,4,-,-,-,-,,一般,
2019/06/27,TXO,201907W1,10300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/27,TXO,201907W1,10300.0000,賣權,8.2,8.2,3.1,5.1,6823,5.1,5582,5,5.1,13,3.1,,一般,
2019/06/27,TXO,201907W1,10300.0000,賣權,11,11.5,7.1,8.1,1940,-,-,7.5,8.3,13,6.6,,盤後,
2019/06/27,TXO,201907W1,10350.0000,買權,313,393,313,379,130,379,70,327,438,393,313,,一般,
2019/06/27,TXO,201907W1,10350.0000,賣權,9.8,9.9,4.6,6.5,3901,6.5,1745,6.5,6.9,9.9,4.6,,一般,
2019/06/27,TXO,201907W1,10400.0000,買權,270,345,267,342,186,331,222,280,342,345,230,,一般,
2019/06/27,TXO,201907W1,10400.0000,買權,237,281,237,275,69,-,-,248,272,281,230,,盤後,
2019/06/27,TXO,201907W1,10400.0000,賣權,17.5,17.5,6.5,9.3,10296,9.1,6515,9,9.1,24.5,6.5,,一般,
2019/06/27,TXO,201907W1,10400.0000,賣權,20,23,14,16,4143,-,-,15.5,16.5,24.5,14,,盤後,
2019/06/27,TXO,201907W1,10450.0000,買權,227,303,223,287,514,287,378,286,289,303,189,,一般,
2019/06/27,TXO,201907W1,10450.0000,買權,198,239,195,225,124,-,-,211,234,239,189,,盤後,
2019/06/27,TXO,201907W1,10450.0000,賣權,21,22.5,9.6,12.5,10633,12.5,5362,11.5,12.5,34.5,9.6,,一般,
2019/06/27,TXO,201907W1,10450.0000,賣權,28.5,32,20,22,3230,-,-,22,23,34.5,16.5,,盤後,
2019/06/27,TXO,201907W1,10500.0000,買權,175,258,175,240,987,240,409,241,245,258,125,,一般,
2019/06/27,TXO,201907W1,10500.0000,買權,158,196,156,175,339,-,-,174,194,196,125,,盤後,
2019/06/27,TXO,201907W1,10500.0000,賣權,29,32,14,17.5,12133,17.5,7374,17,17.5,47.5,14,,一般,
2019/06/27,TXO,201907W1,10500.0000,賣權,42,44.5,27,30,4593,-,-,30,32.5,47.5,26,,盤後,
2019/06/27,TXO,201907W1,10550.0000,買權,141,214,141,200,1426,200,852,198,202,214,118,,一般,
2019/06/27,TXO,201907W1,10550.0000,買權,123,159,121,139,767,-,-,139,146,159,118,,盤後,
2019/06/27,TXO,201907W1,10550.0000,賣權,44,45.5,20,23.5,12381,23.5,6847,23.5,24,64,20,,一般,
2019/06/27,TXO,201907W1,10550.0000,賣權,56,60,40,44.5,3211,-,-,43.5,44.5,64,40,,盤後,
2019/06/27,TXO,201907W1,10600.0000,買權,109,174,109,156,4250,156,1954,157,161,174,70,,一般,
2019/06/27,TXO,201907W1,10600.0000,買權,92,124,91,109,2252,-,-,108,110,124,70,,盤後,
2019/06/27,TXO,201907W1,10600.0000,賣權,60,63,29,33.5,17514,33.5,7251,33,33.5,90,29,,一般,
2019/06/27,TXO,201907W1,10600.0000,賣權,75,80,54,63,5465,-,-,62,63,90,51,,盤後,
2019/06/27,TXO,201907W1,10650.0000,買權,81,136,78,123,8166,123,3367,122,124,136,63,,一般,
2019/06/27,TXO,201907W1,10650.0000,買權,66,94,66,78,5102,-,-,75,79,94,63,,盤後,
2019/06/27,TXO,201907W1,10650.0000,賣權,82,84,41,46.5,16467,46.5,7192,46,46.5,111,41,,一般,
2019/06/27,TXO,201907W1,10650.0000,賣權,104,105,74,84,4068,-,-,82,84,111,74,,盤後,
2019/06/27,TXO,201907W1,10700.0000,買權,55,101,55,91,19860,91,6400,90,92,101,44.5,,一般,
2019/06/27,TXO,201907W1,10700.0000,買權,46,68,46,54,7022,-,-,53,56,68,44.5,,盤後,
2019/06/27,TXO,201907W1,10700.0000,賣權,110,110,57,64,19784,64,7202,63,64,143,57,,一般,
2019/06/27,TXO,201907W1,10700.0000,賣權,129,136,98,112,2190,-,-,110,114,143,98,,盤後,
2019/06/27,TXO,201907W1,10750.0000,買權,40,73,38.5,64,19333,64,7058,63,64,73,30,,一般,
2019/06/27,TXO,201907W1,10750.0000,買權,31.5,46.5,31,38,6709,-,-,38,38.5,46.5,30,,盤後,
2019/06/27,TXO,201907W1,10750.0000,賣權,140,141,78,86,14080,87,6476,86,87,177,78,,一般,
2019/06/27,TXO,201907W1,10750.0000,賣權,164,170,127,140,1196,-,-,139,155,177,127,,盤後,
