交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/06/05,TXO,201906W1,9500.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,
2019/06/05,TXO,201906W1,9500.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/05,TXO,201906W1,9500.0000,賣權,0.1,0.1,0.1,0.1,240,0,1813,-,0.1,2.6,0.1,,一般,
2019/06/05,TXO,201906W1,9500.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/05,TXO,201906W1,9600.0000,買權,-,-,-,-,0,0,1,-,-,-,-,,一般,
2019/06/05,TXO,201906W1,9600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/05,TXO,201906W1,9600.0000,賣權,0.1,0.1,0.1,0.1,2,0,3853,-,0.1,3.9,0.1,,一般,
2019/06/05,TXO,201906W1,9600.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/05,TXO,201906W1,9700.0000,買權,-,-,-,-,0,0,13,-,-,-,-,,一般,
2019/06/05,TXO,201906W1,9700.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/05,TXO,201906W1,9700.0000,賣權,-,-,-,-,0,0,5339,-,-,-,-,,一般,
2019/06/05,TXO,201906W1,9700.0000,賣權,0.2,0.4,0.2,0.4,22,-,-,0.1,0.4,5.6,0.1,,盤後,
2019/06/05,TXO,201906W1,9800.0000,買權,-,-,-,-,0,0,1,-,-,-,-,,一般,
2019/06/05,TXO,201906W1,9800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/05,TXO,201906W1,9800.0000,賣權,0.1,0.4,0.1,0.1,37,0,6492,-,0.1,9.3,0.1,,一般,
2019/06/05,TXO,201906W1,9800.0000,賣權,0.4,0.4,0.3,0.4,21,-,-,0.1,0.6,9.3,0.2,,盤後,
2019/06/05,TXO,201906W1,9900.0000,買權,-,-,-,-,0,0,57,-,-,-,-,,一般,
2019/06/05,TXO,201906W1,9900.0000,買權,555,555,550,550,20,-,-,289,1550,595,360,,盤後,
2019/06/05,TXO,201906W1,9900.0000,賣權,0.2,0.3,0.1,0.1,14,0,8550,-,0.1,55,0.1,,一般,
2019/06/05,TXO,201906W1,9900.0000,賣權,0.3,0.4,0.1,0.1,12,-,-,0.2,0.3,55,0.1,,盤後,
2019/06/05,TXO,201906W1,10000.0000,買權,498,515,455,455,4,0,75,366,580,515,262,,一般,
2019/06/05,TXO,201906W1,10000.0000,買權,456,467,456,467,3,-,-,352,1450,495,262,,盤後,
2019/06/05,TXO,201906W1,10000.0000,賣權,0.2,0.4,0.1,0.1,636,0,7974,-,0.1,26.5,0.1,,一般,
2019/06/05,TXO,201906W1,10000.0000,賣權,0.2,0.4,0.1,0.4,64,-,-,0.2,3.9,26.5,0.1,,盤後,
2019/06/05,TXO,201906W1,10050.0000,買權,-,-,-,-,0,0,33,-,-,-,-,,一般,
2019/06/05,TXO,201906W1,10050.0000,買權,401,414,401,414,4,-,-,320,995,456,220,,盤後,
2019/06/05,TXO,201906W1,10050.0000,賣權,0.2,0.5,0.1,0.1,452,0,6716,-,0.1,34.5,0.1,,一般,
2019/06/05,TXO,201906W1,10050.0000,賣權,0.3,0.5,0.1,0.5,111,-,-,0.3,4.9,34.5,0.1,,盤後,
2019/06/05,TXO,201906W1,10100.0000,買權,407,417,380,380,19,0,146,352,366,417,178,,一般,
2019/06/05,TXO,201906W1,10100.0000,買權,349,373,349,373,11,-,-,308,995,410,178,,盤後,
2019/06/05,TXO,201906W1,10100.0000,賣權,0.2,0.3,0.1,0.1,315,0,9623,-,0.1,46,0.1,,一般,
2019/06/05,TXO,201906W1,10100.0000,賣權,0.6,0.8,0.2,0.4,450,-,-,0.4,0.6,46,0.2,,盤後,
2019/06/05,TXO,201906W1,10150.0000,買權,352,368,311,311,50,0,395,311,317,368,139,,一般,
2019/06/05,TXO,201906W1,10150.0000,買權,309,309,304,304,4,-,-,330,995,366,139,,盤後,
2019/06/05,TXO,201906W1,10150.0000,賣權,0.5,0.5,0.1,0.1,378,0,7585,-,0.1,59,0.1,,一般,
2019/06/05,TXO,201906W1,10150.0000,賣權,0.7,0.8,0.2,0.7,302,-,-,0.2,0.7,59,0.2,,盤後,
2019/06/05,TXO,201906W1,10200.0000,買權,308,325,256,262,100,0,1429,261,262,325,101,,一般,
2019/06/05,TXO,201906W1,10200.0000,買權,244,299,238,299,183,-,-,292,995,313,101,,盤後,
2019/06/05,TXO,201906W1,10200.0000,賣權,0.2,0.5,0.1,0.1,1616,0,12080,-,0.2,77,0.1,,一般,
