交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/07/09,TXO,201907W2,9900.0000,買權,-,-,-,-,0,800,0,-,-,-,-,,一般,
2019/07/09,TXO,201907W2,9900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/09,TXO,201907W2,9900.0000,賣權,0.2,0.2,0.2,0.2,19,0.2,575,0.1,0.2,0.7,0.2,,一般,
2019/07/09,TXO,201907W2,9900.0000,賣權,0.5,0.5,0.5,0.5,1,-,-,0.2,0.5,0.7,0.3,,盤後,
2019/07/09,TXO,201907W2,10000.0000,買權,-,-,-,-,0,700,0,-,-,-,-,,一般,
2019/07/09,TXO,201907W2,10000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/09,TXO,201907W2,10000.0000,賣權,-,-,-,-,0,0.2,583,-,-,-,-,,一般,
2019/07/09,TXO,201907W2,10000.0000,賣權,0.4,0.4,0.4,0.4,3,-,-,0.3,0.6,1,0.3,,盤後,
2019/07/09,TXO,201907W2,10100.0000,買權,-,-,-,-,0,600,1,-,-,-,-,,一般,
2019/07/09,TXO,201907W2,10100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/09,TXO,201907W2,10100.0000,賣權,0.3,0.3,0.1,0.2,294,0.2,2603,0.1,0.2,3.1,0.1,,一般,
2019/07/09,TXO,201907W2,10100.0000,賣權,0.6,0.7,0.5,0.5,62,-,-,0.4,0.6,3.1,0.4,,盤後,
2019/07/09,TXO,201907W2,10200.0000,買權,-,-,-,-,0,500,0,-,-,-,-,,一般,
2019/07/09,TXO,201907W2,10200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/09,TXO,201907W2,10200.0000,賣權,0.5,0.5,0.2,0.2,576,0.2,3955,0.2,0.3,5,0.2,,一般,
2019/07/09,TXO,201907W2,10200.0000,賣權,1.1,1.1,0.6,0.8,60,-,-,0.7,0.8,5,0.6,,盤後,
2019/07/09,TXO,201907W2,10300.0000,買權,-,-,-,-,0,400,1,-,-,-,-,,一般,
2019/07/09,TXO,201907W2,10300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/09,TXO,201907W2,10300.0000,賣權,0.5,0.5,0.3,0.3,822,0.3,7690,0.2,0.4,6.3,0.3,,一般,
2019/07/09,TXO,201907W2,10300.0000,賣權,1.3,1.3,0.8,1.1,240,-,-,0.9,1.2,6.3,0.8,,盤後,
2019/07/09,TXO,201907W2,10400.0000,買權,308,308,308,308,3,300,17,278,303,379,282,,一般,
2019/07/09,TXO,201907W2,10400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/09,TXO,201907W2,10400.0000,賣權,0.7,0.8,0.3,0.5,1658,0.5,7770,0.4,0.7,11,0.3,,一般,
2019/07/09,TXO,201907W2,10400.0000,賣權,1.8,2,1.2,1.5,866,-,-,1.4,2,11,1.2,,盤後,
2019/07/09,TXO,201907W2,10450.0000,買權,247,247,232,232,7,250,45,228,253,293,232,,一般,
2019/07/09,TXO,201907W2,10450.0000,買權,267,267,265,265,16,-,-,49,-,293,243,,盤後,
2019/07/09,TXO,201907W2,10450.0000,賣權,2,2,0.5,0.6,2137,0.6,5017,0.5,0.8,6.8,0.5,,一般,
2019/07/09,TXO,201907W2,10450.0000,賣權,2.4,2.5,1.5,2.2,685,-,-,1.7,2.2,6.8,1.5,,盤後,
2019/07/09,TXO,201907W2,10500.0000,買權,238,242,183,200,232,200,168,198,203,278,181,,一般,
2019/07/09,TXO,201907W2,10500.0000,買權,213,224,202,216,77,-,-,188,217,278,181,,盤後,
2019/07/09,TXO,201907W2,10500.0000,賣權,1.2,2,0.8,1,3111,1,7473,0.9,1.1,21,0.8,,一般,
2019/07/09,TXO,201907W2,10500.0000,賣權,3.8,3.9,2,2,902,-,-,1.9,2.5,21,2,,盤後,
2019/07/09,TXO,201907W2,10550.0000,買權,166,196,131,150,1030,150,476,150,153,242,131,,一般,
2019/07/09,TXO,201907W2,10550.0000,買權,164,180,151,170,229,-,-,160,172,242,136,,盤後,
2019/07/09,TXO,201907W2,10550.0000,賣權,2.1,3.7,1.4,1.7,10091,1.7,14012,1.4,1.7,29.5,1.4,,一般,
2019/07/09,TXO,201907W2,10550.0000,賣權,6,6,3.6,3.6,1761,-,-,3.6,3.8,29.5,3.4,,盤後,
2019/07/09,TXO,201907W2,10600.0000,買權,129,146,84,103,5502,103,2281,101,103,195,84,,一般,
2019/07/09,TXO,201907W2,10600.0000,買權,119,134,108,122,451,-,-,118,122,195,94,,盤後,
2019/07/09,TXO,201907W2,10600.0000,賣權,4.9,8.1,3.1,4.3,19254,4.3,18876,3.8,4.4,42.5,3.1,,一般,
2019/07/09,TXO,201907W2,10600.0000,賣權,11,11.5,6,6.8,2860,-,-,6.1,7.5,42.5,5.8,,盤後,
2019/07/09,TXO,201907W2,10650.0000,買權,89,101,44,59,23222,59,7036,59,60,150,31.5,,一般,
2019/07/09,TXO,201907W2,10650.0000,買權,77,91,68,81,2179,-,-,81,82,150,31.5,,盤後,
2019/07/09,TXO,201907W2,10650.0000,賣權,8.8,18.5,6.7,11,30336,11,19907,10,10.5,60,6.7,,一般,
2019/07/09,TXO,201907W2,10650.0000,賣權,18.5,21.5,13,14,6691,-,-,14,14.5,60,10,,盤後,
2019/07/09,TXO,201907W2,10700.0000,買權,48.5,61,16.5,25.5,43971,25.5,17815,25.5,26,107,16.5,,一般,
2019/07/09,TXO,201907W2,10700.0000,買權,40,54,36,44,7778,-,-,43.5,44,107,18,,盤後,
2019/07/09,TXO,201907W2,10700.0000,賣權,24,39.5,15.5,25.5,43631,25.5,14995,25.5,26.5,288,15.5,,一般,
2019/07/09,TXO,201907W2,10700.0000,賣權,34.5,40,26,29,9500,-,-,28.5,29,288,17.5,,盤後,
2019/07/09,TXO,201907W2,10750.0000,買權,24,28.5,4.9,7.6,43193,7.6,21277,7.6,7.8,73,4.9,,一般,
2019/07/09,TXO,201907W2,10750.0000,買權,18,27,16.5,20.5,7654,-,-,20,20.5,73,14.5,,盤後,
2019/07/09,TXO,201907W2,10750.0000,賣權,49.5,77,34,58,26154,58,8989,57,58,333,30.5,,一般,
2019/07/09,TXO,201907W2,10750.0000,賣權,64,71,49.5,54,8347,-,-,53,54,333,30.5,,盤後,
2019/07/09,TXO,201907W2,10800.0000,買權,10.5,11,1.6,2.5,29761,2.5,20600,2.4,2.7,78,1.6,,一般,
2019/07/09,TXO,201907W2,10800.0000,買權,9,11.5,7,8.9,4148,-,-,8.7,8.9,78,5.8,,盤後,
2019/07/09,TXO,201907W2,10800.0000,賣權,85,124,66,104,8897,105,4898,103,105,399,51,,一般,
2019/07/09,TXO,201907W2,10800.0000,賣權,103,111,84,93,2118,-,-,92,93,399,51,,盤後,
2019/07/09,TXO,201907W2,10850.0000,買權,3.1,4,0.8,1,14539,1,18104,0.9,1.2,58,0.8,,一般,
2019/07/09,TXO,201907W2,10850.0000,買權,3.8,4.7,3,3.4,1861,-,-,3,3.4,58,2.5,,盤後,
2019/07/09,TXO,201907W2,10850.0000,賣權,118,172,110,150,2171,155,1884,149,154,444,81,,一般,
2019/07/09,TXO,201907W2,10850.0000,賣權,145,156,129,135,462,-,-,132,142,444,81,,盤後,
2019/07/09,TXO,201907W2,10900.0000,買權,1.1,1.5,0.4,0.6,3693,0.6,10790,0.5,0.6,31,0.4,,一般,
2019/07/09,TXO,201907W2,10900.0000,買權,2,2.2,0.5,0.5,788,-,-,0.6,1.5,31,0.5,,盤後,
2019/07/09,TXO,201907W2,10900.0000,賣權,170,220,161,205,182,205,472,199,203,233,121,,一般,
