交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/07/15,TXO,201907  ,8700.0000,買權,-,-,-,-,0,2150,0,-,-,-,-,,一般,
2019/07/15,TXO,201907  ,8700.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/15,TXO,201907  ,8700.0000,賣權,-,-,-,-,0,0.1,1801,-,-,-,-,,一般,
2019/07/15,TXO,201907  ,8700.0000,賣權,0.1,0.1,0.1,0.1,203,-,-,-,0.1,15.5,0.1,,盤後,
2019/07/15,TXO,201907  ,8800.0000,買權,-,-,-,-,0,2050,0,-,-,-,-,,一般,
2019/07/15,TXO,201907  ,8800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/15,TXO,201907  ,8800.0000,賣權,0.1,0.1,0.1,0.1,1,0.1,1372,-,0.1,23,0.1,,一般,
2019/07/15,TXO,201907  ,8800.0000,賣權,0.1,0.1,0.1,0.1,200,-,-,-,0.1,23,0.1,,盤後,
2019/07/15,TXO,201907  ,8900.0000,買權,-,-,-,-,0,1950,0,-,-,-,-,,一般,
2019/07/15,TXO,201907  ,8900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/15,TXO,201907  ,8900.0000,賣權,0.1,0.1,0.1,0.1,4,0.1,1147,-,0.1,39,0.1,,一般,
2019/07/15,TXO,201907  ,8900.0000,賣權,0.1,0.1,0.1,0.1,200,-,-,-,0.1,39,0.1,,盤後,
2019/07/15,TXO,201907  ,9000.0000,買權,-,-,-,-,0,1850,0,-,-,-,-,,一般,
2019/07/15,TXO,201907  ,9000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/15,TXO,201907  ,9000.0000,賣權,-,-,-,-,0,0.1,1140,-,-,-,-,,一般,
2019/07/15,TXO,201907  ,9000.0000,賣權,0.1,0.1,0.1,0.1,200,-,-,-,0.1,44,0.1,,盤後,
2019/07/15,TXO,201907  ,9100.0000,買權,-,-,-,-,0,1750,0,-,-,-,-,,一般,
2019/07/15,TXO,201907  ,9100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/15,TXO,201907  ,9100.0000,賣權,-,-,-,-,0,0.1,1333,-,-,-,-,,一般,
2019/07/15,TXO,201907  ,9100.0000,賣權,0.1,0.1,0.1,0.1,200,-,-,-,0.1,48,0.1,,盤後,
2019/07/15,TXO,201907  ,9200.0000,買權,1660,1660,1660,1660,1,1650,0,1600,1660,1660,1110,,一般,
2019/07/15,TXO,201907  ,9200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/15,TXO,201907  ,9200.0000,賣權,0.2,0.2,0.2,0.2,1,0.1,1140,-,0.1,66,0.1,,一般,
2019/07/15,TXO,201907  ,9200.0000,賣權,0.1,0.1,0.1,0.1,200,-,-,-,0.2,66,0.1,,盤後,
2019/07/15,TXO,201907  ,9300.0000,買權,-,-,-,-,0,1550,20,-,-,-,-,,一般,
2019/07/15,TXO,201907  ,9300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/15,TXO,201907  ,9300.0000,賣權,0.1,0.1,0.1,0.1,38,0.1,3169,-,0.1,70,0.1,,一般,
2019/07/15,TXO,201907  ,9300.0000,賣權,0.2,0.2,0.2,0.2,20,-,-,0.2,0.5,70,0.2,,盤後,
2019/07/15,TXO,201907  ,9400.0000,買權,-,-,-,-,0,1450,0,-,-,-,-,,一般,
2019/07/15,TXO,201907  ,9400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/15,TXO,201907  ,9400.0000,賣權,0.2,0.2,0.1,0.1,2,0.1,3202,-,0.2,73,0.1,,一般,
2019/07/15,TXO,201907  ,9400.0000,賣權,6.2,6.2,6.2,6.2,6,-,-,-,0.4,73,0.1,,盤後,
2019/07/15,TXO,201907  ,9500.0000,買權,-,-,-,-,0,1350,4,-,-,-,-,,一般,
2019/07/15,TXO,201907  ,9500.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/15,TXO,201907  ,9500.0000,賣權,0.5,0.5,0.1,0.2,15,0.2,2321,0.1,0.2,95,0.1,,一般,
2019/07/15,TXO,201907  ,9500.0000,賣權,3.7,3.7,3.7,3.7,11,-,-,0.1,0.4,95,0.1,,盤後,
2019/07/15,TXO,201907  ,9600.0000,買權,-,-,-,-,0,1250,34,-,-,-,-,,一般,
2019/07/15,TXO,201907  ,9600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/15,TXO,201907  ,9600.0000,賣權,0.2,0.2,0.2,0.2,39,0.2,3163,0.1,0.2,114,0.2,,一般,
2019/07/15,TXO,201907  ,9600.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/15,TXO,201907  ,9700.0000,買權,-,-,-,-,0,1150,53,-,-,-,-,,一般,
2019/07/15,TXO,201907  ,9700.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/15,TXO,201907  ,9700.0000,賣權,0.2,0.3,0.1,0.2,270,0.2,4306,0.1,0.2,131,0.1,,一般,
2019/07/15,TXO,201907  ,9700.0000,賣權,1,1,1,1,1,-,-,0.2,1,131,0.2,,盤後,
2019/07/15,TXO,201907  ,9800.0000,買權,-,-,-,-,0,1050,137,-,-,-,-,,一般,
2019/07/15,TXO,201907  ,9800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/15,TXO,201907  ,9800.0000,賣權,0.2,0.6,0.2,0.2,156,0.2,10394,0.1,0.2,158,0.2,,一般,
2019/07/15,TXO,201907  ,9800.0000,賣權,0.2,0.2,0.2,0.2,1,-,-,0.2,4.2,158,0.2,,盤後,
2019/07/15,TXO,201907  ,9900.0000,買權,-,-,-,-,0,950,129,-,-,-,-,,一般,
2019/07/15,TXO,201907  ,9900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/15,TXO,201907  ,9900.0000,賣權,0.2,0.3,0.2,0.2,418,0.2,8630,0.1,0.3,187,0.2,,一般,
2019/07/15,TXO,201907  ,9900.0000,賣權,0.3,0.3,0.3,0.3,4,-,-,0.3,6,187,0.3,,盤後,
2019/07/15,TXO,201907  ,10000.0000,買權,-,-,-,-,0,850,590,-,-,-,-,,一般,
2019/07/15,TXO,201907  ,10000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/15,TXO,201907  ,10000.0000,賣權,0.3,0.4,0.1,0.3,1434,0.3,13260,0.1,0.4,230,0.1,,一般,
2019/07/15,TXO,201907  ,10000.0000,賣權,0.5,0.5,0.5,0.5,1,-,-,0.7,1.7,230,0.4,,盤後,
2019/07/15,TXO,201907  ,10100.0000,買權,755,755,755,755,1,750,622,745,805,755,169,,一般,
2019/07/15,TXO,201907  ,10100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/15,TXO,201907  ,10100.0000,賣權,0.3,0.5,0.2,0.4,1328,0.4,11938,0.2,0.5,273,0.2,,一般,
2019/07/15,TXO,201907  ,10100.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/15,TXO,201907  ,10200.0000,買權,555,625,555,625,18,650,969,645,705,635,127,,一般,
2019/07/15,TXO,201907  ,10200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/15,TXO,201907  ,10200.0000,賣權,0.3,0.9,0.3,0.5,1078,0.5,28346,0.4,0.6,328,0.3,,一般,
2019/07/15,TXO,201907  ,10200.0000,賣權,1.2,1.4,0.8,0.9,54,-,-,0.7,0.9,328,0.7,,盤後,
2019/07/15,TXO,201907  ,10300.0000,買權,445,555,445,550,14,550,2305,545,555,600,84,,一般,
2019/07/15,TXO,201907  ,10300.0000,買權,505,510,490,510,11,-,-,360,1580,600,84,,盤後,
2019/07/15,TXO,201907  ,10300.0000,賣權,0.8,1.1,0.4,0.6,1922,0.6,17320,0.5,0.7,386,0.4,,一般,
2019/07/15,TXO,201907  ,10300.0000,賣權,1.5,1.5,1,1.1,196,-,-,1,1.1,386,1,,盤後,
2019/07/15,TXO,201907  ,10400.0000,買權,410,457,335,455,180,450,3894,394,454,540,56,,一般,
2019/07/15,TXO,201907  ,10400.0000,買權,405,431,388,431,17,-,-,357,469,540,56,,盤後,
2019/07/15,TXO,201907  ,10400.0000,賣權,0.9,1.8,0.5,0.8,3588,0.8,15953,0.6,0.8,451,0.2,,一般,
2019/07/15,TXO,201907  ,10400.0000,賣權,2,2,0.2,1.8,299,-,-,0.1,1.8,451,0.2,,盤後,
2019/07/15,TXO,201907  ,10450.0000,買權,-,-,-,-,0,400,9,-,-,-,-,,一般,
2019/07/15,TXO,201907  ,10450.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/15,TXO,201907  ,10450.0000,賣權,1.4,2.4,0.6,1.1,4014,1.1,5279,0.9,1.1,12,0.6,,一般,
2019/07/15,TXO,201907  ,10450.0000,賣權,1.9,2,1.5,2,441,-,-,1.5,2,12,1.5,,盤後,
2019/07/15,TXO,201907  ,10500.0000,買權,309,356,235,353,162,351,5254,349,353,435,30.5,,一般,
2019/07/15,TXO,201907  ,10500.0000,買權,300,321,289,321,49,-,-,294,334,435,30.5,,盤後,
2019/07/15,TXO,201907  ,10500.0000,賣權,2.7,4,0.8,1.2,8767,1.2,24580,1.2,1.3,520,0.8,,一般,
2019/07/15,TXO,201907  ,10500.0000,賣權,3,3,1.7,1.7,1944,-,-,1.7,2.2,520,1.7,,盤後,
2019/07/15,TXO,201907  ,10550.0000,買權,261,277,201,277,116,301,415,299,305,288,167,,一般,
2019/07/15,TXO,201907  ,10550.0000,買權,252,253,245,245,14,-,-,245,288,288,167,,盤後,
2019/07/15,TXO,201907  ,10550.0000,賣權,3.2,6.2,0.9,1.6,12115,1.6,8968,1.5,1.6,24,0.9,,一般,
2019/07/15,TXO,201907  ,10550.0000,賣權,3.9,4.4,3.1,3.7,621,-,-,3,3.8,24,3.1,,盤後,
2019/07/15,TXO,201907  ,10600.0000,買權,210,260,141,252,1808,252,6165,252,254,379,7.3,,一般,
2019/07/15,TXO,201907  ,10600.0000,買權,210,226,188,226,258,-,-,216,234,379,7.3,,盤後,
2019/07/15,TXO,201907  ,10600.0000,賣權,3.6,11,1.2,1.9,22620,1.9,24472,1.9,2,600,1.2,,一般,
2019/07/15,TXO,201907  ,10600.0000,賣權,6.2,6.7,3.1,4,2051,-,-,4.1,4.7,600,3.1,,盤後,
2019/07/15,TXO,201907  ,10650.0000,買權,168,211,100,203,3040,203,1307,199,204,211,86,,一般,
2019/07/15,TXO,201907  ,10650.0000,買權,161,180,143,180,225,-,-,173,186,193,86,,盤後,
2019/07/15,TXO,201907  ,10650.0000,賣權,6,19.5,1.8,2.9,27154,2.9,18324,2.6,2.9,47,1.8,,一般,
2019/07/15,TXO,201907  ,10650.0000,賣權,9.7,11.5,6,6.5,2236,-,-,6,6.4,47,6,,盤後,
2019/07/15,TXO,201907  ,10700.0000,買權,122,163,64,155,21536,155,11854,154,155,357,3.3,,一般,
2019/07/15,TXO,201907  ,10700.0000,買權,119,139,101,139,1883,-,-,138,140,357,3.3,,盤後,
2019/07/15,TXO,201907  ,10700.0000,賣權,11,34.5,3.3,4.7,48993,4.7,27678,4.5,4.7,720,3.3,,一般,
2019/07/15,TXO,201907  ,10700.0000,賣權,16.5,19.5,11,11,7105,-,-,11,12,720,11,,盤後,
2019/07/15,TXO,201907  ,10750.0000,買權,85,117,37.5,107,55066,107,9181,107,109,117,35.5,,一般,
2019/07/15,TXO,201907  ,10750.0000,買權,82,95,65,94,3306,-,-,94,95,108,35.5,,盤後,
2019/07/15,TXO,201907  ,10750.0000,賣權,20,58,6.7,8.8,60335,8.8,22248,8.7,8.8,95,6.7,,一般,
2019/07/15,TXO,201907  ,10750.0000,賣權,28,34,18,18,6968,-,-,17.5,18,95,18,,盤後,
2019/07/15,TXO,201907  ,10800.0000,買權,51,75,17.5,66,74985,66,34078,66,67,295,3,,一般,
2019/07/15,TXO,201907  ,10800.0000,買權,50,59,37,59,10601,-,-,58,59,295,3,,盤後,
2019/07/15,TXO,201907  ,10800.0000,賣權,35.5,88,14.5,17,61848,17,27523,16.5,17.5,815,14.5,,一般,
2019/07/15,TXO,201907  ,10800.0000,賣權,43.5,56,30,31,10227,-,-,30.5,31.5,815,30,,盤後,
2019/07/15,TXO,201907  ,10850.0000,買權,27,40.5,7.8,34,67311,34,17287,34,34.5,45,7.8,,一般,
2019/07/15,TXO,201907  ,10850.0000,買權,27.5,36.5,18,36,7636,-,-,35.5,36,45,11,,盤後,
2019/07/15,TXO,201907  ,10850.0000,賣權,63,128,30.5,34.5,37172,34.5,18522,34,34.5,171,30.5,,一般,
2019/07/15,TXO,201907  ,10850.0000,賣權,71,87,59,60,3510,-,-,59,60,171,55,,盤後,
2019/07/15,TXO,201907  ,10900.0000,買權,13,19,3.5,14.5,52595,14.5,39261,14,14.5,240,3.5,,一般,
2019/07/15,TXO,201907  ,10900.0000,買權,13,22.5,8.3,21,8968,-,-,20,21,240,5.8,,盤後,
2019/07/15,TXO,201907  ,10900.0000,賣權,100,173,59,65,17308,65,11038,64,65,730,59,,一般,
2019/07/15,TXO,201907  ,10900.0000,賣權,104,127,92,92,1814,-,-,92,98,730,88,,盤後,
2019/07/15,TXO,201907  ,10950.0000,買權,6,7.7,1.8,5.6,18144,5.6,14682,5.5,5.7,15.5,1.8,,一般,
2019/07/15,TXO,201907  ,10950.0000,買權,5.4,12,3.6,10,1795,-,-,9,10,15.5,3.5,,盤後,
2019/07/15,TXO,201907  ,10950.0000,賣權,140,218,98,106,3710,106,1453,105,106,258,98,,一般,
2019/07/15,TXO,201907  ,10950.0000,賣權,152,172,134,134,332,-,-,135,141,258,128,,盤後,
2019/07/15,TXO,201907  ,11000.0000,買權,2.6,3.4,1.1,2.5,10876,2.5,32785,2.5,2.7,188,1.1,,一般,
2019/07/15,TXO,201907  ,11000.0000,買權,2.2,5.4,1.9,5.1,876,-,-,4.1,5.2,188,1.9,,盤後,
2019/07/15,TXO,201907  ,11000.0000,賣權,194,268,145,152,1918,152,1249,151,153,980,145,,一般,
2019/07/15,TXO,201907  ,11000.0000,賣權,203,220,181,181,231,-,-,174,209,980,174,,盤後,
2019/07/15,TXO,201907  ,11050.0000,買權,0.7,1.4,0.6,1,5295,1,6257,0.9,1.2,4.1,0.6,,一般,
2019/07/15,TXO,201907  ,11050.0000,買權,0.8,1.3,0.6,1.3,310,-,-,1,1.3,4.1,0.6,,盤後,
2019/07/15,TXO,201907  ,11050.0000,賣權,279,315,195,198,356,202,244,199,206,315,195,,一般,
2019/07/15,TXO,201907  ,11050.0000,賣權,245,245,245,245,1,-,-,73,1310,259,224,,盤後,
2019/07/15,TXO,201907  ,11100.0000,買權,0.6,0.8,0.4,0.6,3149,0.6,25501,0.5,0.7,144,0.4,,一般,
2019/07/15,TXO,201907  ,11100.0000,買權,0.5,0.8,0.4,0.8,132,-,-,0.6,0.8,144,0.4,,盤後,
2019/07/15,TXO,201907  ,11100.0000,賣權,298,355,250,250,16,252,260,238,254,855,250,,一般,
2019/07/15,TXO,201907  ,11100.0000,賣權,298,311,298,301,4,-,-,110,320,855,270,,盤後,
2019/07/15,TXO,201907  ,11150.0000,買權,0.5,0.5,0.3,0.3,850,0.3,795,0.2,0.5,0.6,0.2,,一般,
2019/07/15,TXO,201907  ,11150.0000,買權,0.3,0.4,0.2,0.4,407,-,-,0.3,0.4,0.6,0.2,,盤後,
2019/07/15,TXO,201907  ,11150.0000,賣權,-,-,-,-,0,301,0,-,-,-,-,,一般,
2019/07/15,TXO,201907  ,11150.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/15,TXO,201907  ,11200.0000,買權,0.2,0.5,0.2,0.3,879,0.3,7087,0.2,0.3,101,0.2,,一般,
2019/07/15,TXO,201907  ,11200.0000,買權,0.2,0.2,0.2,0.2,62,-,-,0.2,1.1,101,0.2,,盤後,
