交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/06/26,TXO,201906W4,9800.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,
2019/06/26,TXO,201906W4,9800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/26,TXO,201906W4,9800.0000,賣權,0.1,0.1,0.1,0.1,1,0,2388,-,0.1,1.2,0.1,,一般,
2019/06/26,TXO,201906W4,9800.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/26,TXO,201906W4,9900.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,
2019/06/26,TXO,201906W4,9900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/26,TXO,201906W4,9900.0000,賣權,-,-,-,-,0,0,433,-,-,-,-,,一般,
2019/06/26,TXO,201906W4,9900.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/26,TXO,201906W4,10000.0000,買權,-,-,-,-,0,0,17,-,-,-,-,,一般,
2019/06/26,TXO,201906W4,10000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/26,TXO,201906W4,10000.0000,賣權,-,-,-,-,0,0,2292,-,-,-,-,,一般,
2019/06/26,TXO,201906W4,10000.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/26,TXO,201906W4,10100.0000,買權,-,-,-,-,0,0,3,-,-,-,-,,一般,
2019/06/26,TXO,201906W4,10100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/26,TXO,201906W4,10100.0000,賣權,0.1,0.1,0.1,0.1,1,0,2363,-,0.1,3,0.1,,一般,
2019/06/26,TXO,201906W4,10100.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/26,TXO,201906W4,10200.0000,買權,-,-,-,-,0,0,1,-,-,-,-,,一般,
2019/06/26,TXO,201906W4,10200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/26,TXO,201906W4,10200.0000,賣權,0.2,0.2,0.1,0.1,224,0,3562,-,0.1,5.1,0.1,,一般,
2019/06/26,TXO,201906W4,10200.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/26,TXO,201906W4,10250.0000,買權,-,-,-,-,0,0,9,-,-,-,-,,一般,
2019/06/26,TXO,201906W4,10250.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/26,TXO,201906W4,10250.0000,賣權,0.1,0.1,0.1,0.1,227,0,2282,-,0.1,6.8,0.1,,一般,
2019/06/26,TXO,201906W4,10250.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/26,TXO,201906W4,10300.0000,買權,-,-,-,-,0,0,34,-,-,-,-,,一般,
2019/06/26,TXO,201906W4,10300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/26,TXO,201906W4,10300.0000,賣權,0.2,0.2,0.1,0.1,173,0,4981,-,0.1,9.5,0.1,,一般,
2019/06/26,TXO,201906W4,10300.0000,賣權,0.3,0.4,0.2,0.4,30,-,-,0.3,0.5,9.5,0.1,,盤後,
2019/06/26,TXO,201906W4,10350.0000,買權,333,333,301,301,21,0,47,311,320,447,218,,一般,
2019/06/26,TXO,201906W4,10350.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/26,TXO,201906W4,10350.0000,賣權,0.4,0.4,0.1,0.1,406,0,3403,-,0.1,13.5,0.1,,一般,
2019/06/26,TXO,201906W4,10350.0000,賣權,0.5,0.5,0.4,0.5,53,-,-,0.3,0.5,13.5,0.3,,盤後,
2019/06/26,TXO,201906W4,10400.0000,買權,271,283,261,276,131,0,97,261,269,397,215,,一般,
2019/06/26,TXO,201906W4,10400.0000,買權,304,304,268,268,47,-,-,178,1350,397,215,,盤後,
2019/06/26,TXO,201906W4,10400.0000,賣權,0.2,0.3,0.1,0.1,1412,0,5592,-,0.1,20,0.1,,一般,
2019/06/26,TXO,201906W4,10400.0000,賣權,0.3,0.7,0.3,0.4,170,-,-,0.4,0.5,20,0.3,,盤後,
2019/06/26,TXO,201906W4,10450.0000,買權,234,236,202,215,218,0,109,215,216,355,177,,一般,
2019/06/26,TXO,201906W4,10450.0000,買權,248,253,218,218,116,-,-,136,-,355,177,,盤後,
2019/06/26,TXO,201906W4,10450.0000,賣權,0.5,0.5,0.1,0.1,12488,0,7572,-,0.1,29,0.1,,一般,
