交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/06/10,TXO,201906W2,9600.0000,買權,-,-,-,-,0,950,1,-,-,-,-,,一般,
2019/06/10,TXO,201906W2,9600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/10,TXO,201906W2,9600.0000,賣權,0.4,0.4,0.1,0.2,144,0.2,1074,0.1,0.2,1.3,0.1,,一般,
2019/06/10,TXO,201906W2,9600.0000,賣權,0.9,1.2,0.7,0.7,197,-,-,0.6,0.9,1.3,0.6,,盤後,
2019/06/10,TXO,201906W2,9700.0000,買權,-,-,-,-,0,850,0,-,-,-,-,,一般,
2019/06/10,TXO,201906W2,9700.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/10,TXO,201906W2,9700.0000,賣權,0.8,0.8,0.2,0.2,35,0.2,906,0.1,0.2,1.4,0.2,,一般,
2019/06/10,TXO,201906W2,9700.0000,賣權,1.1,1.4,1,1,134,-,-,0.9,1,1.4,0.9,,盤後,
2019/06/10,TXO,201906W2,9800.0000,買權,-,-,-,-,0,750,0,-,-,-,-,,一般,
2019/06/10,TXO,201906W2,9800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/10,TXO,201906W2,9800.0000,賣權,0.5,0.5,0.2,0.2,116,0.2,2061,0.1,0.2,2.1,0.2,,一般,
2019/06/10,TXO,201906W2,9800.0000,賣權,1.4,2,1.2,1.5,155,-,-,1.2,1.8,2.1,1.2,,盤後,
2019/06/10,TXO,201906W2,9900.0000,買權,-,-,-,-,0,650,0,-,-,-,-,,一般,
2019/06/10,TXO,201906W2,9900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/10,TXO,201906W2,9900.0000,賣權,1.1,1.1,0.2,0.3,711,0.3,5011,-,0.4,3.1,0.2,,一般,
2019/06/10,TXO,201906W2,9900.0000,賣權,1.5,3.1,1.5,1.9,643,-,-,1.8,2.7,3.1,1.5,,盤後,
2019/06/10,TXO,201906W2,10000.0000,買權,540,540,540,540,2,550,2,500,605,540,372,,一般,
2019/06/10,TXO,201906W2,10000.0000,買權,384,384,372,372,4,-,-,113,430,384,372,,盤後,
2019/06/10,TXO,201906W2,10000.0000,賣權,1.5,1.5,0.3,0.3,1680,0.3,5364,-,0.4,5.5,0.3,,一般,
2019/06/10,TXO,201906W2,10000.0000,賣權,3.7,5.5,3,3.9,956,-,-,3,3.8,5.5,2.4,,盤後,
2019/06/10,TXO,201906W2,10100.0000,買權,374,422,374,422,3,451,4,396,505,422,275,,一般,
2019/06/10,TXO,201906W2,10100.0000,買權,283,283,275,275,2,-,-,51,460,358,275,,盤後,
2019/06/10,TXO,201906W2,10100.0000,賣權,2,2,0.4,0.6,2006,0.6,6398,0.4,0.6,9,0.4,,一般,
2019/06/10,TXO,201906W2,10100.0000,賣權,6.3,9,4.1,5,853,-,-,4.5,5.5,9,4,,盤後,
2019/06/10,TXO,201906W2,10150.0000,買權,324,389,322,386,13,401,32,346,457,389,227,,一般,
2019/06/10,TXO,201906W2,10150.0000,買權,232,258,227,257,9,-,-,66,285,292,227,,盤後,
2019/06/10,TXO,201906W2,10150.0000,賣權,1.6,2.3,0.5,0.7,4552,0.7,4548,0.6,0.8,13.5,0.5,,一般,
2019/06/10,TXO,201906W2,10150.0000,賣權,9.7,13,5.1,7,1864,-,-,6.1,7.7,13.5,5.1,,盤後,
2019/06/10,TXO,201906W2,10200.0000,買權,289,341,270,340,90,351,331,326,353,341,175,,一般,
2019/06/10,TXO,201906W2,10200.0000,買權,202,205,175,205,107,-,-,173,229,292,175,,盤後,
2019/06/10,TXO,201906W2,10200.0000,賣權,2.6,2.7,0.7,0.9,8130,0.9,6225,0.8,1,19.5,0.7,,一般,
2019/06/10,TXO,201906W2,10200.0000,賣權,14.5,19.5,9.9,11,2988,-,-,10.5,11.5,19.5,8,,盤後,
2019/06/10,TXO,201906W2,10250.0000,買權,246,302,216,302,414,301,981,280,305,302,135,,一般,
2019/06/10,TXO,201906W2,10250.0000,買權,150,179,135,171,321,-,-,163,178,267,135,,盤後,
2019/06/10,TXO,201906W2,10250.0000,賣權,5,5,1,1.2,12669,1.2,7828,1.1,1.3,28.5,1,,一般,
2019/06/10,TXO,201906W2,10250.0000,賣權,24,28,12,17,3915,-,-,16.5,17.5,28.5,10.5,,盤後,
2019/06/10,TXO,201906W2,10300.0000,買權,177,254,167,251,2442,251,1900,251,254,254,95,,一般,
2019/06/10,TXO,201906W2,10300.0000,買權,110,138,95,124,1252,-,-,120,131,227,95,,盤後,
2019/06/10,TXO,201906W2,10300.0000,賣權,7,7.4,1.5,1.8,18321,1.8,9989,1.7,1.8,41,1.5,,一般,
2019/06/10,TXO,201906W2,10300.0000,賣權,32.5,40.5,20,23.5,6116,-,-,23,23.5,41,15,,盤後,
2019/06/10,TXO,201906W2,10350.0000,買權,130,205,123,203,10141,203,3732,202,204,205,64,,一般,
2019/06/10,TXO,201906W2,10350.0000,買權,79,98,64,88,4339,-,-,88,89,197,64,,盤後,
2019/06/10,TXO,201906W2,10350.0000,賣權,11.5,13.5,2.4,2.9,28439,2.9,13255,2.6,2.9,59,2.4,,一般,
2019/06/10,TXO,201906W2,10350.0000,賣權,50,59,28,36,9179,-,-,35.5,36,59,21,,盤後,
2019/06/10,TXO,201906W2,10400.0000,買權,92,158,84,155,17864,155,6437,154,155,158,39.5,,一般,
2019/06/10,TXO,201906W2,10400.0000,買權,47.5,63,39.5,54,7358,-,-,54,56,155,39.5,,盤後,
2019/06/10,TXO,201906W2,10400.0000,賣權,19,23.5,4.4,5.1,36798,5.1,15452,4.9,5.1,84,4.4,,一般,
2019/06/10,TXO,201906W2,10400.0000,賣權,70,84,45.5,56,6829,-,-,54,57,84,30.5,,盤後,
2019/06/10,TXO,201906W2,10450.0000,買權,59,113,50,110,29537,110,6985,109,111,118,22,,一般,
2019/06/10,TXO,201906W2,10450.0000,買權,30,39,22,33.5,7165,-,-,34,35,118,22,,盤後,
2019/06/10,TXO,201906W2,10450.0000,賣權,41.5,41.5,8.9,9.8,38497,9.8,13421,9.5,9.6,118,8.9,,一般,
2019/06/10,TXO,201906W2,10450.0000,賣權,100,118,70,81,2856,-,-,80,82,118,43.5,,盤後,
2019/06/10,TXO,201906W2,10500.0000,買權,35,72,26.5,70,51003,70,12912,69,70,87,10,,一般,
2019/06/10,TXO,201906W2,10500.0000,買權,17,20.5,10,17,7463,-,-,16.5,18,87,10,,盤後,
2019/06/10,TXO,201906W2,10500.0000,賣權,61,67,18.5,19.5,44514,19.5,14818,19.5,20,158,18.5,,一般,
2019/06/10,TXO,201906W2,10500.0000,賣權,140,158,103,119,1203,-,-,117,123,158,60,,盤後,
2019/06/10,TXO,201906W2,10550.0000,買權,18,39,11.5,38,54588,38,16990,37.5,38,59,4.7,,一般,
2019/06/10,TXO,201906W2,10550.0000,買權,8.3,9.9,4.7,8.8,3554,-,-,8.6,9.2,59,4.7,,盤後,
