交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/07/04,TXO,201907W2,9900.0000,買權,-,-,-,-,0,855,0,-,-,-,-,,一般,
2019/07/04,TXO,201907W2,9900.0000,賣權,0.7,0.7,0.6,0.6,297,0.6,297,0.4,0.7,0.7,0.6,,一般,
2019/07/04,TXO,201907W2,10000.0000,買權,-,-,-,-,0,755,0,-,-,-,-,,一般,
2019/07/04,TXO,201907W2,10000.0000,賣權,0.8,0.9,0.7,0.8,227,0.8,226,0.7,0.9,0.9,0.7,,一般,
2019/07/04,TXO,201907W2,10100.0000,買權,-,-,-,-,0,655,1,-,-,-,-,,一般,
2019/07/04,TXO,201907W2,10100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/04,TXO,201907W2,10100.0000,賣權,1.3,1.3,1,1,522,1,2617,0.8,1.1,3.1,1,,一般,
2019/07/04,TXO,201907W2,10100.0000,賣權,2.1,2.2,1.5,1.7,873,-,-,1.6,1.9,3.1,1.4,,盤後,
2019/07/04,TXO,201907W2,10200.0000,買權,-,-,-,-,0,555,0,-,-,-,-,,一般,
2019/07/04,TXO,201907W2,10200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/04,TXO,201907W2,10200.0000,賣權,1.7,1.7,1.3,1.3,1169,1.3,3281,1.2,1.4,5,1.3,,一般,
2019/07/04,TXO,201907W2,10200.0000,賣權,3.1,3.3,2.4,2.5,747,-,-,2.4,2.7,5,1.9,,盤後,
2019/07/04,TXO,201907W2,10300.0000,買權,-,-,-,-,0,456,0,-,-,-,-,,一般,
2019/07/04,TXO,201907W2,10300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/04,TXO,201907W2,10300.0000,賣權,2.5,2.7,1.8,2,4875,2,5853,1.8,2,6.3,1.8,,一般,
2019/07/04,TXO,201907W2,10300.0000,賣權,5.4,5.4,3.7,4.1,1237,-,-,4.1,4.3,6.3,2.5,,盤後,
2019/07/04,TXO,201907W2,10400.0000,買權,349,369,328,344,5,356,5,299,378,369,307,,一般,
2019/07/04,TXO,201907W2,10400.0000,買權,335,335,335,335,1,-,-,294,341,335,307,,盤後,
2019/07/04,TXO,201907W2,10400.0000,賣權,6,6,2.8,2.9,5487,2.9,5823,2.8,2.9,11,1.8,,一般,
2019/07/04,TXO,201907W2,10400.0000,賣權,9.1,9.1,6.4,6.7,2105,-,-,6.4,6.7,11,1.8,,盤後,
2019/07/04,TXO,201907W2,10450.0000,買權,-,-,-,-,0,306,0,-,-,-,-,,一般,
2019/07/04,TXO,201907W2,10450.0000,賣權,6.6,6.8,3.7,3.9,2653,3.9,1273,3.8,4,6.8,3.7,,一般,
2019/07/04,TXO,201907W2,10500.0000,買權,247,276,233,257,677,257,239,256,260,276,197,,一般,
2019/07/04,TXO,201907W2,10500.0000,買權,216,243,214,243,31,-,-,196,243,243,197,,盤後,
2019/07/04,TXO,201907W2,10500.0000,賣權,9.9,9.9,5.1,5.4,6234,5.4,4679,5.2,5.5,21,5.1,,一般,
2019/07/04,TXO,201907W2,10500.0000,賣權,16.5,17.5,10,11,2833,-,-,10.5,11,21,8.5,,盤後,
2019/07/04,TXO,201907W2,10550.0000,買權,201,228,187,209,869,209,455,209,210,228,153,,一般,
2019/07/04,TXO,201907W2,10550.0000,買權,166,196,165,193,282,-,-,193,985,199,153,,盤後,
2019/07/04,TXO,201907W2,10550.0000,賣權,16,16,7.5,7.9,8577,7.9,5611,7.6,8,29.5,7.5,,一般,
