交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/07/17,TXO,201907  ,8700.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,
2019/07/17,TXO,201907  ,8700.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/17,TXO,201907  ,8700.0000,賣權,0.1,0.1,0.1,0.1,319,0,1801,-,0.1,15.5,0.1,,一般,
2019/07/17,TXO,201907  ,8700.0000,賣權,0.1,0.1,0.1,0.1,20,-,-,-,0.2,15.5,0.1,,盤後,
2019/07/17,TXO,201907  ,8800.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,
2019/07/17,TXO,201907  ,8800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/17,TXO,201907  ,8800.0000,賣權,0.1,0.1,0.1,0.1,170,0,1372,-,0.1,23,0.1,,一般,
2019/07/17,TXO,201907  ,8800.0000,賣權,0.1,0.1,0.1,0.1,20,-,-,-,0.2,23,0.1,,盤後,
2019/07/17,TXO,201907  ,8900.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,
2019/07/17,TXO,201907  ,8900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/17,TXO,201907  ,8900.0000,賣權,0.1,0.1,0.1,0.1,188,0,1147,-,0.1,39,0.1,,一般,
2019/07/17,TXO,201907  ,8900.0000,賣權,0.1,0.1,0.1,0.1,20,-,-,-,0.2,39,0.1,,盤後,
2019/07/17,TXO,201907  ,9000.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,
2019/07/17,TXO,201907  ,9000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/17,TXO,201907  ,9000.0000,賣權,-,-,-,-,0,0,1140,-,-,-,-,,一般,
2019/07/17,TXO,201907  ,9000.0000,賣權,0.1,0.1,0.1,0.1,20,-,-,-,0.2,44,0.1,,盤後,
2019/07/17,TXO,201907  ,9100.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,
2019/07/17,TXO,201907  ,9100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/17,TXO,201907  ,9100.0000,賣權,0.1,0.1,0.1,0.1,2,0,1333,-,0.1,48,0.1,,一般,
2019/07/17,TXO,201907  ,9100.0000,賣權,0.1,0.1,0.1,0.1,20,-,-,-,0.2,48,0.1,,盤後,
2019/07/17,TXO,201907  ,9200.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,
2019/07/17,TXO,201907  ,9200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/17,TXO,201907  ,9200.0000,賣權,0.1,0.1,0.1,0.1,10,0,1140,-,0.1,66,0.1,,一般,
2019/07/17,TXO,201907  ,9200.0000,賣權,0.1,0.1,0.1,0.1,20,-,-,-,0.2,66,0.1,,盤後,
2019/07/17,TXO,201907  ,9300.0000,買權,-,-,-,-,0,0,20,-,-,-,-,,一般,
2019/07/17,TXO,201907  ,9300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/17,TXO,201907  ,9300.0000,賣權,0.1,0.1,0.1,0.1,1,0,3169,-,0.1,70,0.1,,一般,
2019/07/17,TXO,201907  ,9300.0000,賣權,0.1,0.1,0.1,0.1,20,-,-,-,0.2,70,0.1,,盤後,
2019/07/17,TXO,201907  ,9400.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,
2019/07/17,TXO,201907  ,9400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/17,TXO,201907  ,9400.0000,賣權,-,-,-,-,0,0,3201,-,-,-,-,,一般,
2019/07/17,TXO,201907  ,9400.0000,賣權,0.1,0.1,0.1,0.1,20,-,-,-,0.2,73,0.1,,盤後,
2019/07/17,TXO,201907  ,9500.0000,買權,1340,1340,1340,1340,3,0,4,1230,1460,1340,635,,一般,
2019/07/17,TXO,201907  ,9500.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/17,TXO,201907  ,9500.0000,賣權,-,-,-,-,0,0,2320,-,-,-,-,,一般,
2019/07/17,TXO,201907  ,9500.0000,賣權,0.1,0.1,0.1,0.1,20,-,-,-,0.2,95,0.1,,盤後,
2019/07/17,TXO,201907  ,9600.0000,買權,-,-,-,-,0,0,34,-,-,-,-,,一般,
2019/07/17,TXO,201907  ,9600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/17,TXO,201907  ,9600.0000,賣權,0.1,0.1,0.1,0.1,11,0,3162,-,0.1,114,0.1,,一般,
2019/07/17,TXO,201907  ,9600.0000,賣權,0.1,0.1,0.1,0.1,20,-,-,-,0.2,114,0.1,,盤後,
2019/07/17,TXO,201907  ,9700.0000,買權,-,-,-,-,0,0,53,-,-,-,-,,一般,
2019/07/17,TXO,201907  ,9700.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/17,TXO,201907  ,9700.0000,賣權,0.1,0.1,0.1,0.1,25,0,4368,-,0.1,131,0.1,,一般,
2019/07/17,TXO,201907  ,9700.0000,賣權,0.1,0.1,0.1,0.1,20,-,-,-,0.2,131,0.1,,盤後,
2019/07/17,TXO,201907  ,9800.0000,買權,-,-,-,-,0,0,131,-,-,-,-,,一般,
2019/07/17,TXO,201907  ,9800.0000,買權,1050,1050,1050,1050,3,-,-,205,-,1050,378,,盤後,
2019/07/17,TXO,201907  ,9800.0000,賣權,0.1,0.1,0.1,0.1,13,0,10526,-,0.1,158,0.1,,一般,
2019/07/17,TXO,201907  ,9800.0000,賣權,0.1,0.1,0.1,0.1,20,-,-,0.1,0.2,158,0.1,,盤後,
2019/07/17,TXO,201907  ,9900.0000,買權,955,955,935,935,7,0,128,830,1060,965,284,,一般,
2019/07/17,TXO,201907  ,9900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/17,TXO,201907  ,9900.0000,賣權,0.1,0.1,0.1,0.1,52,0,8729,-,0.1,187,0.1,,一般,
2019/07/17,TXO,201907  ,9900.0000,賣權,0.1,0.2,0.1,0.2,24,-,-,0.1,0.2,187,0.1,,盤後,
2019/07/17,TXO,201907  ,10000.0000,買權,835,845,810,830,14,0,557,820,955,885,231,,一般,
2019/07/17,TXO,201907  ,10000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/17,TXO,201907  ,10000.0000,賣權,0.1,0.1,0.1,0.1,94,0,13217,-,0.1,230,0.1,,一般,
