交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/07/05,TXO,201907W2,9900.0000,買權,-,-,-,-,0,860,0,-,-,-,-,,一般,
2019/07/05,TXO,201907W2,9900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/05,TXO,201907W2,9900.0000,賣權,0.5,0.5,0.4,0.5,225,0.5,561,0.3,0.5,0.7,0.4,,一般,
2019/07/05,TXO,201907W2,9900.0000,賣權,0.6,0.6,0.6,0.6,267,-,-,0.6,0.8,0.7,0.6,,盤後,
2019/07/05,TXO,201907W2,10000.0000,買權,-,-,-,-,0,760,0,-,-,-,-,,一般,
2019/07/05,TXO,201907W2,10000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/05,TXO,201907W2,10000.0000,賣權,0.6,0.7,0.5,0.6,463,0.6,365,0.4,0.6,1,0.5,,一般,
2019/07/05,TXO,201907W2,10000.0000,賣權,0.8,1,0.8,1,85,-,-,0.2,1,1,0.7,,盤後,
2019/07/05,TXO,201907W2,10100.0000,買權,-,-,-,-,0,660,1,-,-,-,-,,一般,
2019/07/05,TXO,201907W2,10100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/05,TXO,201907W2,10100.0000,賣權,0.9,0.9,0.6,0.8,607,0.8,2655,0.6,0.8,3.1,0.6,,一般,
2019/07/05,TXO,201907W2,10100.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/05,TXO,201907W2,10200.0000,買權,-,-,-,-,0,560,0,-,-,-,-,,一般,
2019/07/05,TXO,201907W2,10200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/05,TXO,201907W2,10200.0000,賣權,1.1,1.2,0.8,0.9,762,0.9,3574,0.9,1.2,5,0.8,,一般,
2019/07/05,TXO,201907W2,10200.0000,賣權,1.4,1.4,1,1.3,16,-,-,1.1,1.3,5,1,,盤後,
2019/07/05,TXO,201907W2,10300.0000,買權,-,-,-,-,0,462,0,-,-,-,-,,一般,
2019/07/05,TXO,201907W2,10300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/05,TXO,201907W2,10300.0000,賣權,1.9,1.9,1.2,1.4,2401,1.4,6640,1.2,1.4,6.3,1.2,,一般,
2019/07/05,TXO,201907W2,10300.0000,賣權,2,2.3,1.2,1.3,237,-,-,1.3,2.1,6.3,1.2,,盤後,
2019/07/05,TXO,201907W2,10400.0000,買權,379,379,379,379,1,362,6,255,471,379,307,,一般,
2019/07/05,TXO,201907W2,10400.0000,買權,357,357,357,357,1,-,-,352,1420,369,307,,盤後,
2019/07/05,TXO,201907W2,10400.0000,賣權,2.5,2.6,1.7,1.9,3578,1.9,7131,1.7,2,11,1.7,,一般,
2019/07/05,TXO,201907W2,10400.0000,賣權,3,5.1,2.2,3,405,-,-,2.4,3.7,11,1.8,,盤後,
2019/07/05,TXO,201907W2,10450.0000,買權,-,-,-,-,0,312,0,-,-,-,-,,一般,
2019/07/05,TXO,201907W2,10450.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
