交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/06/11,TXO,201906W2,9600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/11,TXO,201906W2,9600.0000,賣權,0.2,0.2,0.1,0.1,30,-,-,0.1,0.3,1.3,0.1,,盤後,
2019/06/11,TXO,201906W2,9700.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/11,TXO,201906W2,9700.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/11,TXO,201906W2,9800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/11,TXO,201906W2,9800.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/11,TXO,201906W2,9900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/11,TXO,201906W2,9900.0000,賣權,0.4,0.4,0.4,0.4,3,-,-,0.1,0.4,3.1,0.2,,盤後,
2019/06/11,TXO,201906W2,10000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/11,TXO,201906W2,10000.0000,賣權,0.3,0.6,0.2,0.4,102,-,-,0.2,0.4,5.5,0.2,,盤後,
2019/06/11,TXO,201906W2,10100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/11,TXO,201906W2,10100.0000,賣權,0.4,0.6,0.4,0.5,81,-,-,0.3,0.5,9,0.4,,盤後,
2019/06/11,TXO,201906W2,10150.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/11,TXO,201906W2,10150.0000,賣權,0.6,0.8,0.4,0.4,144,-,-,0.5,0.7,13.5,0.4,,盤後,
2019/06/11,TXO,201906W2,10200.0000,買權,378,381,378,381,5,-,-,362,995,381,175,,盤後,
2019/06/11,TXO,201906W2,10200.0000,賣權,1,1.1,0.3,0.7,472,-,-,0.3,0.7,19.5,0.3,,盤後,
2019/06/11,TXO,201906W2,10250.0000,買權,300,337,300,318,92,-,-,310,995,337,135,,盤後,
2019/06/11,TXO,201906W2,10250.0000,賣權,1.1,1.4,0.3,1.2,510,-,-,0.4,1,28.5,0.3,,盤後,
2019/06/11,TXO,201906W2,10300.0000,買權,255,293,255,288,107,-,-,262,288,293,95,,盤後,
2019/06/11,TXO,201906W2,10300.0000,賣權,1.7,1.8,0.7,0.7,1509,-,-,0.7,1.1,41,0.7,,盤後,
2019/06/11,TXO,201906W2,10350.0000,買權,205,244,205,237,195,-,-,212,240,244,64,,盤後,
2019/06/11,TXO,201906W2,10350.0000,賣權,2.8,2.8,1.3,2,3243,-,-,1.8,2,59,1.3,,盤後,
2019/06/11,TXO,201906W2,10400.0000,買權,157,196,154,167,1007,-,-,164,181,196,39.5,,盤後,
2019/06/11,TXO,201906W2,10400.0000,賣權,5,5,2.5,3,3167,-,-,2.6,3,84,2.5,,盤後,
2019/06/11,TXO,201906W2,10450.0000,買權,115,148,109,128,2235,-,-,127,131,148,22,,盤後,
2019/06/11,TXO,201906W2,10450.0000,賣權,8.8,9.8,3.9,6,5826,-,-,5.4,5.9,118,3.9,,盤後,
2019/06/11,TXO,201906W2,10500.0000,買權,75,102,70,83,7479,-,-,83,84,102,10,,盤後,
2019/06/11,TXO,201906W2,10500.0000,賣權,18,20,8.3,11,10521,-,-,10.5,11,158,8.3,,盤後,
2019/06/11,TXO,201906W2,10550.0000,買權,41,63,37.5,45.5,14218,-,-,45,45.5,63,4.7,,盤後,
2019/06/11,TXO,201906W2,10550.0000,賣權,34,38,18,23,13482,-,-,23,24,200,18,,盤後,
2019/06/11,TXO,201906W2,10600.0000,買權,18.5,30.5,16.5,21.5,15062,-,-,21,21.5,38,2.4,,盤後,
2019/06/11,TXO,201906W2,10600.0000,賣權,60,67,37.5,52,9541,-,-,50,52,249,37.5,,盤後,
2019/06/11,TXO,201906W2,10650.0000,買權,7.6,13.5,6,8.1,7647,-,-,8.1,8.5,22.5,1.5,,盤後,
2019/06/11,TXO,201906W2,10650.0000,賣權,96,107,70,87,2870,-,-,86,87,289,70,,盤後,
2019/06/11,TXO,201906W2,10700.0000,買權,3.1,6.1,2.1,3.4,3687,-,-,3.4,4,13,0.5,,盤後,
2019/06/11,TXO,201906W2,10700.0000,賣權,148,152,113,132,375,-,-,130,133,318,113,,盤後,
2019/06/11,TXO,201906W2,10750.0000,買權,0.8,2.8,0.7,2.2,1164,-,-,1,2.2,2.8,0.5,,盤後,
2019/06/11,TXO,201906W2,10750.0000,賣權,178,180,160,167,29,-,-,144,195,282,160,,盤後,
2019/06/11,TXO,201906W2,10800.0000,買權,0.6,0.9,0.1,0.9,537,-,-,0.5,0.9,4.3,0.1,,盤後,
2019/06/11,TXO,201906W2,10800.0000,賣權,244,244,211,211,6,-,-,131,231,405,211,,盤後,
2019/06/11,TXO,201906W2,10900.0000,買權,0.2,0.3,0.1,0.3,25,-,-,0.1,0.3,2.2,0.1,,盤後,
2019/06/11,TXO,201906W2,10900.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/11,TXO,201906W2,11000.0000,買權,0.1,0.1,0.1,0.1,20,-,-,-,0.3,1.5,0.1,,盤後,
2019/06/11,TXO,201906W2,11000.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/11,TXO,201906W2,11100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/11,TXO,201906W2,11100.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/11,TXO,201906W2,11200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/11,TXO,201906W2,11200.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/11,TXO,201906  ,7400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/11,TXO,201906  ,7400.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/11,TXO,201906  ,7600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/11,TXO,201906  ,7600.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
