交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/07/25,TXO,201907W5,10100.0000,買權,-,-,-,-,0,810,4,-,-,-,-,,一般,
2019/07/25,TXO,201907W5,10100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/25,TXO,201907W5,10100.0000,賣權,0.5,0.6,0.3,0.5,331,0.5,550,0.4,0.5,0.9,0.3,,一般,
2019/07/25,TXO,201907W5,10100.0000,賣權,0.9,0.9,0.5,0.8,60,-,-,0.6,0.8,0.9,0.5,,盤後,
2019/07/25,TXO,201907W5,10200.0000,買權,-,-,-,-,0,710,3,-,-,-,-,,一般,
2019/07/25,TXO,201907W5,10200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/25,TXO,201907W5,10200.0000,賣權,0.7,0.8,0.5,0.6,350,0.6,628,0.6,0.7,1.3,0.5,,一般,
2019/07/25,TXO,201907W5,10200.0000,賣權,1.2,1.2,0.8,0.9,169,-,-,0.9,1,1.3,0.8,,盤後,
2019/07/25,TXO,201907W5,10300.0000,買權,-,-,-,-,0,610,1,-,-,-,-,,一般,
2019/07/25,TXO,201907W5,10300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/25,TXO,201907W5,10300.0000,賣權,1,1.3,0.7,0.9,602,0.9,1376,0.8,0.9,1.8,0.7,,一般,
2019/07/25,TXO,201907W5,10300.0000,賣權,1.5,1.7,1,1,234,-,-,-,1.1,1.8,1,,盤後,
2019/07/25,TXO,201907W5,10400.0000,買權,-,-,-,-,0,510,20,-,-,-,-,,一般,
2019/07/25,TXO,201907W5,10400.0000,買權,491,491,491,491,20,-,-,190,-,491,491,,盤後,
2019/07/25,TXO,201907W5,10400.0000,賣權,1.4,1.9,1,1.3,2599,1.3,6566,1.2,1.4,2.4,1,,一般,
2019/07/25,TXO,201907W5,10400.0000,賣權,2.1,2.4,1.3,1.3,640,-,-,1.3,1.7,2.4,1.3,,盤後,
2019/07/25,TXO,201907W5,10500.0000,買權,-,-,-,-,0,410,8,-,-,-,-,,一般,
2019/07/25,TXO,201907W5,10500.0000,買權,369,387,369,387,5,-,-,370,-,413,369,,盤後,
2019/07/25,TXO,201907W5,10500.0000,賣權,2.1,3.2,1.5,1.8,6473,1.8,7657,1.7,1.9,4,1.5,,一般,
2019/07/25,TXO,201907W5,10500.0000,賣權,3,4,2.1,2.1,1516,-,-,2.1,2.6,4,2.1,,盤後,
2019/07/25,TXO,201907W5,10600.0000,買權,306,311,292,311,51,311,61,305,312,311,271,,一般,
2019/07/25,TXO,201907W5,10600.0000,買權,286,294,271,294,14,-,-,270,-,303,271,,盤後,
2019/07/25,TXO,201907W5,10600.0000,賣權,4.7,6.3,2.6,3.6,7266,3.6,7156,3.1,3.6,7.5,2.6,,一般,
2019/07/25,TXO,201907W5,10600.0000,賣權,5.7,7.5,4.5,4.7,1783,-,-,4.7,5,7.5,4.5,,盤後,
2019/07/25,TXO,201907W5,10650.0000,買權,226,262,222,261,219,261,115,256,263,262,222,,一般,
2019/07/25,TXO,201907W5,10650.0000,買權,232,247,228,247,3,-,-,68,-,254,228,,盤後,
