交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/07/16,TXO,201907  ,8700.0000,買權,-,-,-,-,0,2180,0,-,-,-,-,,一般,
2019/07/16,TXO,201907  ,8700.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/16,TXO,201907  ,8700.0000,賣權,0.1,0.1,0.1,0.1,440,0.1,1801,-,0.1,15.5,0.1,,一般,
2019/07/16,TXO,201907  ,8700.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/16,TXO,201907  ,8800.0000,買權,-,-,-,-,0,2080,0,-,-,-,-,,一般,
2019/07/16,TXO,201907  ,8800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/16,TXO,201907  ,8800.0000,賣權,0.1,0.1,0.1,0.1,164,0.1,1372,-,0.1,23,0.1,,一般,
2019/07/16,TXO,201907  ,8800.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/16,TXO,201907  ,8900.0000,買權,-,-,-,-,0,1980,0,-,-,-,-,,一般,
2019/07/16,TXO,201907  ,8900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/16,TXO,201907  ,8900.0000,賣權,-,-,-,-,0,0.1,1147,-,-,-,-,,一般,
2019/07/16,TXO,201907  ,8900.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/16,TXO,201907  ,9000.0000,買權,-,-,-,-,0,1880,0,-,-,-,-,,一般,
2019/07/16,TXO,201907  ,9000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/16,TXO,201907  ,9000.0000,賣權,0.1,0.1,0.1,0.1,1,0.1,1140,-,0.1,44,0.1,,一般,
2019/07/16,TXO,201907  ,9000.0000,賣權,0.1,0.1,0.1,0.1,1,-,-,-,0.1,44,0.1,,盤後,
2019/07/16,TXO,201907  ,9100.0000,買權,-,-,-,-,0,1780,0,-,-,-,-,,一般,
2019/07/16,TXO,201907  ,9100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/16,TXO,201907  ,9100.0000,賣權,0.1,0.1,0.1,0.1,1,0.1,1333,-,0.1,48,0.1,,一般,
2019/07/16,TXO,201907  ,9100.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/16,TXO,201907  ,9200.0000,買權,-,-,-,-,0,1680,0,-,-,-,-,,一般,
2019/07/16,TXO,201907  ,9200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/16,TXO,201907  ,9200.0000,賣權,0.1,0.1,0.1,0.1,1,0.1,1140,-,0.1,66,0.1,,一般,
2019/07/16,TXO,201907  ,9200.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/16,TXO,201907  ,9300.0000,買權,-,-,-,-,0,1580,20,-,-,-,-,,一般,
2019/07/16,TXO,201907  ,9300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/16,TXO,201907  ,9300.0000,賣權,0.1,0.1,0.1,0.1,23,0.1,3169,-,0.1,70,0.1,,一般,
2019/07/16,TXO,201907  ,9300.0000,賣權,0.1,0.1,0.1,0.1,3,-,-,-,0.1,70,0.1,,盤後,
2019/07/16,TXO,201907  ,9400.0000,買權,-,-,-,-,0,1480,0,-,-,-,-,,一般,
2019/07/16,TXO,201907  ,9400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/16,TXO,201907  ,9400.0000,賣權,0.1,0.1,0.1,0.1,25,0.1,3202,-,0.1,73,0.1,,一般,
2019/07/16,TXO,201907  ,9400.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/16,TXO,201907  ,9500.0000,買權,-,-,-,-,0,1380,4,-,-,-,-,,一般,
2019/07/16,TXO,201907  ,9500.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/16,TXO,201907  ,9500.0000,賣權,0.1,0.1,0.1,0.1,31,0.1,2321,-,0.1,95,0.1,,一般,
2019/07/16,TXO,201907  ,9500.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/16,TXO,201907  ,9600.0000,買權,1290,1290,1290,1290,11,1280,34,1210,1330,1290,530,,一般,
2019/07/16,TXO,201907  ,9600.0000,買權,1250,1250,1250,1250,2,-,-,300,-,1250,530,,盤後,
2019/07/16,TXO,201907  ,9600.0000,賣權,0.1,0.1,0.1,0.1,40,0.1,3163,-,0.1,114,0.1,,一般,
2019/07/16,TXO,201907  ,9600.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/16,TXO,201907  ,9700.0000,買權,-,-,-,-,0,1180,53,-,-,-,-,,一般,
2019/07/16,TXO,201907  ,9700.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/16,TXO,201907  ,9700.0000,賣權,0.2,0.2,0.1,0.1,236,0.1,4434,-,0.1,131,0.1,,一般,
2019/07/16,TXO,201907  ,9700.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/16,TXO,201907  ,9800.0000,買權,-,-,-,-,0,1080,136,-,-,-,-,,一般,
2019/07/16,TXO,201907  ,9800.0000,買權,1050,1050,1050,1050,1,-,-,95,-,1050,378,,盤後,
2019/07/16,TXO,201907  ,9800.0000,賣權,0.1,0.1,0.1,0.1,474,0.1,10529,-,0.1,158,0.1,,一般,
2019/07/16,TXO,201907  ,9800.0000,賣權,3.9,3.9,3.9,3.9,1,-,-,0.1,0.3,158,0.2,,盤後,
2019/07/16,TXO,201907  ,9900.0000,買權,-,-,-,-,0,980,128,-,-,-,-,,一般,
2019/07/16,TXO,201907  ,9900.0000,買權,965,965,965,965,1,-,-,165,-,965,284,,盤後,
2019/07/16,TXO,201907  ,9900.0000,賣權,0.2,0.2,0.1,0.1,278,0.1,8763,0.1,0.2,187,0.1,,一般,
2019/07/16,TXO,201907  ,9900.0000,賣權,0.3,0.3,0.2,0.2,17,-,-,0.2,0.5,187,0.2,,盤後,
2019/07/16,TXO,201907  ,10000.0000,買權,885,885,885,885,4,880,586,825,880,885,231,,一般,
2019/07/16,TXO,201907  ,10000.0000,買權,850,865,850,850,72,-,-,545,-,865,231,,盤後,
2019/07/16,TXO,201907  ,10000.0000,賣權,0.2,0.2,0.2,0.2,128,0.2,13239,0.1,0.2,230,0.1,,一般,
2019/07/16,TXO,201907  ,10000.0000,賣權,0.4,0.5,0.4,0.5,33,-,-,0.3,0.6,230,0.1,,盤後,
2019/07/16,TXO,201907  ,10100.0000,買權,775,775,775,775,2,780,622,770,830,775,169,,一般,
2019/07/16,TXO,201907  ,10100.0000,買權,765,765,750,750,52,-,-,448,-,765,169,,盤後,
2019/07/16,TXO,201907  ,10100.0000,賣權,0.2,0.3,0.1,0.1,285,0.2,11725,0.1,0.3,273,0.1,,一般,
2019/07/16,TXO,201907  ,10100.0000,賣權,0.5,0.8,0.3,0.8,34,-,-,0.3,1,273,0.2,,盤後,
2019/07/16,TXO,201907  ,10200.0000,買權,695,695,685,685,3,680,927,625,725,695,127,,一般,
2019/07/16,TXO,201907  ,10200.0000,買權,665,665,650,650,42,-,-,486,790,665,127,,盤後,
2019/07/16,TXO,201907  ,10200.0000,賣權,0.3,0.5,0.3,0.4,2832,0.4,27731,0.4,0.5,328,0.3,,一般,
2019/07/16,TXO,201907  ,10200.0000,賣權,0.6,0.7,0.4,0.7,137,-,-,0.4,0.7,328,0.3,,盤後,
2019/07/16,TXO,201907  ,10300.0000,買權,570,590,565,580,24,580,2238,575,590,600,84,,一般,
2019/07/16,TXO,201907  ,10300.0000,買權,560,565,545,550,62,-,-,535,-,600,84,,盤後,
2019/07/16,TXO,201907  ,10300.0000,賣權,0.4,0.6,0.3,0.5,1413,0.5,16551,0.3,0.6,386,0.3,,一般,
2019/07/16,TXO,201907  ,10300.0000,賣權,0.6,0.8,0.6,0.7,427,-,-,0.5,0.8,386,0.4,,盤後,
2019/07/16,TXO,201907  ,10400.0000,買權,455,488,455,479,128,480,3870,475,485,540,56,,一般,
2019/07/16,TXO,201907  ,10400.0000,買權,448,467,448,458,6,-,-,402,480,540,56,,盤後,
2019/07/16,TXO,201907  ,10400.0000,賣權,0.5,0.7,0.3,0.7,1601,0.7,15819,0.4,0.7,451,0.2,,一般,
2019/07/16,TXO,201907  ,10400.0000,賣權,0.8,1.5,0.7,1,477,-,-,0.8,0.9,451,0.2,,盤後,
2019/07/16,TXO,201907  ,10450.0000,買權,-,-,-,-,0,430,9,-,-,-,-,,一般,
2019/07/16,TXO,201907  ,10450.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/16,TXO,201907  ,10450.0000,賣權,0.6,0.9,0.5,0.8,1961,0.8,5581,0.7,0.8,12,0.5,,一般,
2019/07/16,TXO,201907  ,10450.0000,賣權,1,1.3,1,1,128,-,-,1,1.1,12,0.6,,盤後,
2019/07/16,TXO,201907  ,10500.0000,買權,365,390,361,379,172,380,5189,378,383,435,30.5,,一般,
2019/07/16,TXO,201907  ,10500.0000,買權,355,355,352,352,8,-,-,347,378,435,30.5,,盤後,
2019/07/16,TXO,201907  ,10500.0000,賣權,0.7,1.1,0.6,0.8,5313,0.8,23655,0.8,0.9,520,0.6,,一般,
2019/07/16,TXO,201907  ,10500.0000,賣權,1.2,1.6,1,1.3,278,-,-,1,1.2,520,0.8,,盤後,
2019/07/16,TXO,201907  ,10550.0000,買權,-,-,-,-,0,330,435,-,-,-,-,,一般,
2019/07/16,TXO,201907  ,10550.0000,買權,303,304,303,304,21,-,-,232,760,304,167,,盤後,
2019/07/16,TXO,201907  ,10550.0000,賣權,1,1.2,0.8,1.1,2246,1.1,9235,0.9,1.1,24,0.8,,一般,
2019/07/16,TXO,201907  ,10550.0000,賣權,1.5,1.8,1.3,1.4,577,-,-,1.4,1.6,24,0.9,,盤後,
2019/07/16,TXO,201907  ,10600.0000,買權,268,292,257,280,246,280,6038,276,281,379,7.3,,一般,
2019/07/16,TXO,201907  ,10600.0000,買權,254,270,245,254,121,-,-,248,260,379,7.3,,盤後,
2019/07/16,TXO,201907  ,10600.0000,賣權,1,1.5,0.9,1.3,5841,1.3,25051,1.2,1.3,600,0.9,,一般,
2019/07/16,TXO,201907  ,10600.0000,賣權,2.3,2.4,1.6,1.7,1411,-,-,1.6,1.7,600,1.2,,盤後,
2019/07/16,TXO,201907  ,10650.0000,買權,210,243,206,233,711,230,1181,225,233,243,86,,一般,
2019/07/16,TXO,201907  ,10650.0000,買權,207,215,195,205,175,-,-,193,209,215,86,,盤後,
2019/07/16,TXO,201907  ,10650.0000,賣權,1.2,2.1,1,1.7,8872,1.7,17716,1.6,1.8,47,1,,一般,
2019/07/16,TXO,201907  ,10650.0000,賣權,2.6,3.6,2.3,2.5,1654,-,-,2.4,2.8,47,1.8,,盤後,
2019/07/16,TXO,201907  ,10700.0000,買權,161,193,156,178,4420,180,10472,176,182,357,3.3,,一般,
2019/07/16,TXO,201907  ,10700.0000,買權,156,172,147,160,1192,-,-,155,160,357,3.3,,盤後,
2019/07/16,TXO,201907  ,10700.0000,賣權,3,3.9,1.9,2.6,10324,2.6,27282,2.4,2.6,720,1.9,,一般,
2019/07/16,TXO,201907  ,10700.0000,賣權,5.3,5.6,3.7,3.8,2079,-,-,3.7,4.5,720,3.3,,盤後,
