交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/06/19,TXO,201906  ,7400.0000,買權,-,-,-,-,0,0,3,-,-,-,-,,一般,
2019/06/19,TXO,201906  ,7400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/19,TXO,201906  ,7400.0000,賣權,0.1,0.1,0.1,0.1,1,0,7112,-,0.1,113,0.1,,一般,
2019/06/19,TXO,201906  ,7400.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/19,TXO,201906  ,7600.0000,買權,-,-,-,-,0,0,8,-,-,-,-,,一般,
2019/06/19,TXO,201906  ,7600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/19,TXO,201906  ,7600.0000,賣權,0.1,0.1,0.1,0.1,2,0,3714,-,0.1,127,0.1,,一般,
2019/06/19,TXO,201906  ,7600.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/19,TXO,201906  ,7800.0000,買權,-,-,-,-,0,0,24,-,-,-,-,,一般,
2019/06/19,TXO,201906  ,7800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/19,TXO,201906  ,7800.0000,賣權,-,-,-,-,0,0,2966,-,-,-,-,,一般,
2019/06/19,TXO,201906  ,7800.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/19,TXO,201906  ,8000.0000,買權,-,-,-,-,0,0,17,-,-,-,-,,一般,
2019/06/19,TXO,201906  ,8000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/19,TXO,201906  ,8000.0000,賣權,-,-,-,-,0,0,4111,-,-,-,-,,一般,
2019/06/19,TXO,201906  ,8000.0000,賣權,0.2,0.2,0.2,0.2,3,-,-,-,0.2,177,0.1,,盤後,
2019/06/19,TXO,201906  ,8200.0000,買權,-,-,-,-,0,0,18,-,-,-,-,,一般,
2019/06/19,TXO,201906  ,8200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/19,TXO,201906  ,8200.0000,賣權,-,-,-,-,0,0,3064,-,-,-,-,,一般,
2019/06/19,TXO,201906  ,8200.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/19,TXO,201906  ,8400.0000,買權,-,-,-,-,0,0,19,-,-,-,-,,一般,
2019/06/19,TXO,201906  ,8400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/19,TXO,201906  ,8400.0000,賣權,-,-,-,-,0,0,2890,-,-,-,-,,一般,
2019/06/19,TXO,201906  ,8400.0000,賣權,0.2,0.2,0.1,0.1,29,-,-,-,0.2,299,0.1,,盤後,
2019/06/19,TXO,201906  ,8600.0000,買權,-,-,-,-,0,0,69,-,-,-,-,,一般,
2019/06/19,TXO,201906  ,8600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/19,TXO,201906  ,8600.0000,賣權,0.1,0.1,0.1,0.1,5,0,4048,-,0.1,381,0.1,,一般,
2019/06/19,TXO,201906  ,8600.0000,賣權,0.1,0.1,0.1,0.1,108,-,-,-,0.2,381,0.1,,盤後,
2019/06/19,TXO,201906  ,8700.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,
2019/06/19,TXO,201906  ,8700.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/19,TXO,201906  ,8700.0000,賣權,-,-,-,-,0,0,575,-,-,-,-,,一般,
2019/06/19,TXO,201906  ,8700.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/19,TXO,201906  ,8800.0000,買權,-,-,-,-,0,0,48,-,-,-,-,,一般,
2019/06/19,TXO,201906  ,8800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/19,TXO,201906  ,8800.0000,賣權,0.1,0.1,0.1,0.1,8,0,5273,-,0.1,361,0.1,,一般,
2019/06/19,TXO,201906  ,8800.0000,賣權,0.1,0.1,0.1,0.1,170,-,-,0.1,0.2,361,0.1,,盤後,
2019/06/19,TXO,201906  ,8900.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,
2019/06/19,TXO,201906  ,8900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/19,TXO,201906  ,8900.0000,賣權,0.1,0.1,0.1,0.1,7,0,1926,-,0.1,23,0.1,,一般,
2019/06/19,TXO,201906  ,8900.0000,賣權,0.1,0.1,0.1,0.1,130,-,-,0.1,0.2,23,0.1,,盤後,
2019/06/19,TXO,201906  ,9000.0000,買權,-,-,-,-,0,0,28,-,-,-,-,,一般,
2019/06/19,TXO,201906  ,9000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/19,TXO,201906  ,9000.0000,賣權,0.1,0.1,0.1,0.1,200,0,7974,-,0.1,431,0.1,,一般,
2019/06/19,TXO,201906  ,9000.0000,賣權,0.1,0.1,0.1,0.1,110,-,-,0.1,0.2,431,0.1,,盤後,
2019/06/19,TXO,201906  ,9100.0000,買權,-,-,-,-,0,0,22,-,-,-,-,,一般,
2019/06/19,TXO,201906  ,9100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/19,TXO,201906  ,9100.0000,賣權,0.1,0.1,0.1,0.1,150,0,1572,-,0.1,29,0.1,,一般,
2019/06/19,TXO,201906  ,9100.0000,賣權,0.2,0.2,0.2,0.2,9,-,-,0.1,0.2,29,0.1,,盤後,
2019/06/19,TXO,201906  ,9200.0000,買權,-,-,-,-,0,0,261,-,-,-,-,,一般,
2019/06/19,TXO,201906  ,9200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/19,TXO,201906  ,9200.0000,賣權,0.1,0.1,0.1,0.1,154,0,5682,-,0.1,470,0.1,,一般,
2019/06/19,TXO,201906  ,9200.0000,賣權,0.2,0.2,0.2,0.2,3,-,-,0.1,0.2,470,0.1,,盤後,
2019/06/19,TXO,201906  ,9300.0000,買權,-,-,-,-,0,0,17,-,-,-,-,,一般,
2019/06/19,TXO,201906  ,9300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/19,TXO,201906  ,9300.0000,賣權,0.1,0.1,0.1,0.1,121,0,4773,-,0.1,33,0.1,,一般,
2019/06/19,TXO,201906  ,9300.0000,賣權,0.2,0.2,0.2,0.2,19,-,-,0.1,0.2,33,0.1,,盤後,
2019/06/19,TXO,201906  ,9400.0000,買權,-,-,-,-,0,0,88,-,-,-,-,,一般,
2019/06/19,TXO,201906  ,9400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/19,TXO,201906  ,9400.0000,賣權,0.1,0.1,0.1,0.1,40,0,7194,-,0.1,580,0.1,,一般,
2019/06/19,TXO,201906  ,9400.0000,賣權,0.2,0.2,0.1,0.1,56,-,-,-,0.1,580,0.1,,盤後,
2019/06/19,TXO,201906  ,9500.0000,買權,-,-,-,-,0,0,51,-,-,-,-,,一般,
2019/06/19,TXO,201906  ,9500.0000,買權,1150,1150,1150,1150,2,-,-,52,-,1150,770,,盤後,
2019/06/19,TXO,201906  ,9500.0000,賣權,0.1,0.1,0.1,0.1,43,0,3723,-,0.1,48,0.1,,一般,
2019/06/19,TXO,201906  ,9500.0000,賣權,0.2,0.2,0.2,0.2,20,-,-,0.1,0.3,48,0.1,,盤後,
2019/06/19,TXO,201906  ,9600.0000,買權,-,-,-,-,0,0,209,-,-,-,-,,一般,
2019/06/19,TXO,201906  ,9600.0000,買權,1060,1060,1060,1060,12,-,-,54,-,1420,304,,盤後,
2019/06/19,TXO,201906  ,9600.0000,賣權,0.1,0.1,0.1,0.1,142,0,6421,-,0.1,680,0.1,,一般,
2019/06/19,TXO,201906  ,9600.0000,賣權,0.2,0.2,0.1,0.1,53,-,-,-,0.3,680,0.1,,盤後,
2019/06/19,TXO,201906  ,9700.0000,買權,-,-,-,-,0,0,78,-,-,-,-,,一般,
2019/06/19,TXO,201906  ,9700.0000,買權,930,930,930,930,6,-,-,555,-,930,585,,盤後,
2019/06/19,TXO,201906  ,9700.0000,賣權,0.1,0.1,0.1,0.1,61,0,7431,-,0.1,76,0.1,,一般,
2019/06/19,TXO,201906  ,9700.0000,賣權,0.2,0.2,0.2,0.2,29,-,-,0.1,0.3,76,0.1,,盤後,
2019/06/19,TXO,201906  ,9800.0000,買權,960,960,960,960,1,0,338,965,1060,1250,220,,一般,
2019/06/19,TXO,201906  ,9800.0000,買權,830,855,830,855,35,-,-,800,-,1250,220,,盤後,
2019/06/19,TXO,201906  ,9800.0000,賣權,0.1,0.3,0.1,0.1,383,0,16161,-,0.1,790,0.1,,一般,
2019/06/19,TXO,201906  ,9800.0000,賣權,0.2,0.4,0.1,0.2,116,-,-,0.1,0.5,790,0.1,,盤後,
2019/06/19,TXO,201906  ,9900.0000,買權,775,775,775,775,2,0,200,745,875,1090,389,,一般,
2019/06/19,TXO,201906  ,9900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/19,TXO,201906  ,9900.0000,賣權,0.2,0.2,0.1,0.1,320,0,12256,-,0.1,108,0.1,,一般,
2019/06/19,TXO,201906  ,9900.0000,賣權,0.2,0.6,0.2,0.2,180,-,-,0.1,0.5,108,0.2,,盤後,
2019/06/19,TXO,201906  ,10000.0000,買權,675,775,675,775,3,0,830,770,860,1140,160,,一般,
2019/06/19,TXO,201906  ,10000.0000,買權,630,650,630,650,10,-,-,253,-,1140,160,,盤後,
2019/06/19,TXO,201906  ,10000.0000,賣權,0.2,0.2,0.1,0.1,809,0,19933,-,0.1,925,0.1,,一般,
2019/06/19,TXO,201906  ,10000.0000,賣權,0.2,0.5,0.1,0.1,253,-,-,0.1,0.5,925,0.1,,盤後,
2019/06/19,TXO,201906  ,10100.0000,買權,570,670,570,670,11,0,1102,630,760,815,228,,一般,
2019/06/19,TXO,201906  ,10100.0000,買權,495,555,495,555,10,-,-,153,780,815,228,,盤後,
2019/06/19,TXO,201906  ,10100.0000,賣權,0.2,0.2,0.1,0.1,1030,0,22035,-,0.1,153,0.1,,一般,
2019/06/19,TXO,201906  ,10100.0000,賣權,0.5,0.5,0.2,0.2,370,-,-,0.3,0.4,153,0.2,,盤後,
2019/06/19,TXO,201906  ,10200.0000,買權,476,585,475,570,67,0,1283,515,570,930,118,,一般,
2019/06/19,TXO,201906  ,10200.0000,買權,371,455,371,450,45,-,-,414,995,930,118,,盤後,
2019/06/19,TXO,201906  ,10200.0000,賣權,0.1,0.2,0.1,0.1,1113,0,20942,-,0.1,980,0.1,,一般,
2019/06/19,TXO,201906  ,10200.0000,賣權,0.5,0.8,0.2,0.2,877,-,-,0.3,0.5,980,0.2,,盤後,
2019/06/19,TXO,201906  ,10250.0000,買權,432,515,432,515,8,0,53,398,610,515,219,,一般,
2019/06/19,TXO,201906  ,10250.0000,買權,303,411,303,308,25,-,-,309,995,411,219,,盤後,
2019/06/19,TXO,201906  ,10250.0000,賣權,0.4,0.5,0.1,0.1,520,0,4224,-,0.1,8.3,0.1,,一般,
2019/06/19,TXO,201906  ,10250.0000,賣權,0.5,1,0.2,0.4,400,-,-,0.2,0.5,8.3,0.2,,盤後,
2019/06/19,TXO,201906  ,10300.0000,買權,368,475,367,470,213,0,1677,470,473,670,104,,一般,
2019/06/19,TXO,201906  ,10300.0000,買權,250,366,250,366,232,-,-,338,368,670,104,,盤後,
2019/06/19,TXO,201906  ,10300.0000,賣權,0.3,0.4,0.1,0.1,1521,0,24195,-,0.1,210,0.1,,一般,
2019/06/19,TXO,201906  ,10300.0000,賣權,0.2,1,0.1,0.1,1228,-,-,0.2,0.6,210,0.1,,盤後,
2019/06/19,TXO,201906  ,10350.0000,買權,320,421,318,420,211,0,292,310,505,421,128,,一般,
2019/06/19,TXO,201906  ,10350.0000,買權,200,320,200,320,118,-,-,295,330,320,128,,盤後,
2019/06/19,TXO,201906  ,10350.0000,賣權,0.5,0.5,0.1,0.2,2444,0,9595,-,0.2,27,0.1,,一般,
2019/06/19,TXO,201906  ,10350.0000,賣權,0.5,1.1,0.1,0.4,1088,-,-,0.3,0.6,27,0.1,,盤後,
2019/06/19,TXO,201906  ,10400.0000,買權,271,382,270,371,1454,0,4240,370,374,770,69,,一般,
2019/06/19,TXO,201906  ,10400.0000,買權,161,268,150,251,1085,-,-,251,263,770,69,,盤後,
2019/06/19,TXO,201906  ,10400.0000,賣權,0.5,0.5,0.1,0.2,3360,0,24715,-,0.2,1130,0.1,,一般,
2019/06/19,TXO,201906  ,10400.0000,賣權,1.7,1.9,0.2,0.4,3158,-,-,0.5,0.7,1130,0.2,,盤後,
2019/06/19,TXO,201906  ,10450.0000,買權,220,327,220,320,1648,0,1492,316,320,327,55,,一般,
2019/06/19,TXO,201906  ,10450.0000,買權,109,217,101,211,2632,-,-,203,213,217,55,,盤後,
2019/06/19,TXO,201906  ,10450.0000,賣權,0.5,0.6,0.1,0.2,3634,0,16781,-,0.1,53,0.1,,一般,
2019/06/19,TXO,201906  ,10450.0000,賣權,2.8,3.5,0.7,0.7,5855,-,-,0.7,1,53,0.7,,盤後,
2019/06/19,TXO,201906  ,10500.0000,買權,170,286,169,270,7904,0,9453,270,271,660,31,,一般,
2019/06/19,TXO,201906  ,10500.0000,買權,63,169,57,155,11024,-,-,155,158,660,31,,盤後,
2019/06/19,TXO,201906  ,10500.0000,賣權,0.5,0.7,0.1,0.2,6679,0,30516,-,0.1,322,0.1,,一般,
2019/06/19,TXO,201906  ,10500.0000,賣權,6.3,9.4,0.7,0.7,15427,-,-,0.8,1,322,0.7,,盤後,
2019/06/19,TXO,201906  ,10550.0000,買權,120,249,119,221,8604,0,9981,220,221,249,15.5,,一般,
2019/06/19,TXO,201906  ,10550.0000,買權,29,119,23,107,28476,-,-,105,107,119,15.5,,盤後,
2019/06/19,TXO,201906  ,10550.0000,賣權,1,1,0.1,0.1,8874,0,20583,-,0.2,105,0.1,,一般,
2019/06/19,TXO,201906  ,10550.0000,賣權,20.5,25,1.3,1.5,29033,-,-,1.4,1.7,105,1.3,,盤後,
2019/06/19,TXO,201906  ,10600.0000,買權,75,198,70,170,41226,0,16405,169,170,645,4.8,,一般,
2019/06/19,TXO,201906  ,10600.0000,買權,7.5,70,6.6,58,48632,-,-,57,58,645,4.8,,盤後,
2019/06/19,TXO,201906  ,10600.0000,賣權,2.5,2.6,0.1,0.1,29748,0,33490,0.1,0.2,1320,0.1,,一般,
2019/06/19,TXO,201906  ,10600.0000,賣權,51,59,3.9,4.8,39746,-,-,4.1,4.7,1320,3.9,,盤後,
2019/06/19,TXO,201906  ,10650.0000,買權,31,150,29,120,73074,0,10978,120,121,150,1.3,,一般,
2019/06/19,TXO,201906  ,10650.0000,買權,1.9,30.5,1.5,21.5,32645,-,-,21.5,22,49.5,1.3,,盤後,
2019/06/19,TXO,201906  ,10650.0000,賣權,10.5,11.5,0.1,0.1,76166,0,32184,0.1,0.2,194,0.1,,一般,
2019/06/19,TXO,201906  ,10650.0000,賣權,93,103,12.5,16.5,27571,-,-,16,16.5,194,12.5,,盤後,
2019/06/19,TXO,201906  ,10700.0000,買權,7.3,100,6.5,71,131078,0,27423,70,71,467,0.6,,一般,
2019/06/19,TXO,201906  ,10700.0000,買權,0.9,9.7,0.6,7,16455,-,-,7,7.6,467,0.6,,盤後,
2019/06/19,TXO,201906  ,10700.0000,賣權,40,40,0.1,0.2,127499,0,33334,0.1,0.2,482,0.1,,一般,
2019/06/19,TXO,201906  ,10700.0000,賣權,143,153,43,55,8193,-,-,53,55,482,43,,盤後,
2019/06/19,TXO,201906  ,10750.0000,買權,1.9,51,0.6,20,105575,0,10607,20,20.5,51,0.1,,一般,
2019/06/19,TXO,201906  ,10750.0000,買權,0.4,3.2,0.1,1.7,4526,-,-,1.7,2,18,0.1,,盤後,
2019/06/19,TXO,201906  ,10750.0000,賣權,82,83,0.1,0.2,73416,0,20297,0.1,0.2,280,0.1,,一般,
2019/06/19,TXO,201906  ,10750.0000,賣權,192,201,88,98,955,-,-,95,98,280,88,,盤後,
