交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/07/12,TXO,201907  ,8700.0000,買權,-,-,-,-,0,2110,0,-,-,-,-,,一般,
2019/07/12,TXO,201907  ,8700.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,8700.0000,賣權,-,-,-,-,0,0.1,1801,-,-,-,-,,一般,
2019/07/12,TXO,201907  ,8700.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,8800.0000,買權,-,-,-,-,0,2010,0,-,-,-,-,,一般,
2019/07/12,TXO,201907  ,8800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,8800.0000,賣權,-,-,-,-,0,0.1,1371,-,-,-,-,,一般,
2019/07/12,TXO,201907  ,8800.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,8900.0000,買權,-,-,-,-,0,1910,0,-,-,-,-,,一般,
2019/07/12,TXO,201907  ,8900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,8900.0000,賣權,-,-,-,-,0,0.1,1147,-,-,-,-,,一般,
2019/07/12,TXO,201907  ,8900.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,9000.0000,買權,-,-,-,-,0,1810,0,-,-,-,-,,一般,
2019/07/12,TXO,201907  ,9000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,9000.0000,賣權,-,-,-,-,0,0.1,1140,-,-,-,-,,一般,
2019/07/12,TXO,201907  ,9000.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,9100.0000,買權,-,-,-,-,0,1710,0,-,-,-,-,,一般,
2019/07/12,TXO,201907  ,9100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,9100.0000,賣權,0.1,0.1,0.1,0.1,9,0.1,1333,-,0.2,48,0.1,,一般,
2019/07/12,TXO,201907  ,9100.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,9200.0000,買權,-,-,-,-,0,1610,1,-,-,-,-,,一般,
2019/07/12,TXO,201907  ,9200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,9200.0000,賣權,-,-,-,-,0,0.1,1140,-,-,-,-,,一般,
2019/07/12,TXO,201907  ,9200.0000,賣權,0.2,0.2,0.2,0.2,100,-,-,0.2,0.3,66,0.2,,盤後,
2019/07/12,TXO,201907  ,9300.0000,買權,-,-,-,-,0,1510,20,-,-,-,-,,一般,
2019/07/12,TXO,201907  ,9300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,9300.0000,賣權,-,-,-,-,0,0.1,3204,-,-,-,-,,一般,
2019/07/12,TXO,201907  ,9300.0000,賣權,0.2,0.2,0.2,0.2,51,-,-,0.3,0.5,70,0.2,,盤後,
2019/07/12,TXO,201907  ,9400.0000,買權,-,-,-,-,0,1410,0,-,-,-,-,,一般,
2019/07/12,TXO,201907  ,9400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,9400.0000,賣權,0.2,0.2,0.1,0.1,220,0.1,3201,0.1,0.2,73,0.1,,一般,
2019/07/12,TXO,201907  ,9400.0000,賣權,0.3,0.3,0.3,0.3,100,-,-,0.1,0.5,73,0.2,,盤後,
2019/07/12,TXO,201907  ,9500.0000,買權,-,-,-,-,0,1310,4,-,-,-,-,,一般,
2019/07/12,TXO,201907  ,9500.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,9500.0000,賣權,0.3,0.3,0.1,0.1,254,0.1,2322,0.1,0.2,95,0.1,,一般,
2019/07/12,TXO,201907  ,9500.0000,賣權,0.3,0.3,0.3,0.3,100,-,-,0.2,0.5,95,0.2,,盤後,
2019/07/12,TXO,201907  ,9600.0000,買權,-,-,-,-,0,1210,34,-,-,-,-,,一般,
2019/07/12,TXO,201907  ,9600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,9600.0000,賣權,0.3,0.4,0.2,0.2,425,0.2,3163,0.1,0.2,114,0.2,,一般,
2019/07/12,TXO,201907  ,9600.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,9700.0000,買權,-,-,-,-,0,1110,53,-,-,-,-,,一般,
2019/07/12,TXO,201907  ,9700.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,9700.0000,賣權,0.5,0.5,0.2,0.2,158,0.2,4277,0.1,0.2,131,0.2,,一般,
2019/07/12,TXO,201907  ,9700.0000,賣權,0.5,0.5,0.5,0.5,5,-,-,0.3,0.5,131,0.4,,盤後,
2019/07/12,TXO,201907  ,9800.0000,買權,1010,1010,1010,1010,6,1010,137,955,1060,1010,378,,一般,
2019/07/12,TXO,201907  ,9800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,9800.0000,賣權,0.3,0.5,0.2,0.2,134,0.2,10394,0.2,0.3,158,0.2,,一般,
2019/07/12,TXO,201907  ,9800.0000,賣權,0.5,0.5,0.3,0.4,11,-,-,0.3,0.7,158,0.3,,盤後,
2019/07/12,TXO,201907  ,9900.0000,買權,-,-,-,-,0,910,129,-,-,-,-,,一般,
2019/07/12,TXO,201907  ,9900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,9900.0000,賣權,0.6,0.6,0.3,0.3,234,0.3,8828,0.3,0.4,187,0.3,,一般,
2019/07/12,TXO,201907  ,9900.0000,賣權,1,1,0.4,0.4,182,-,-,0.4,0.6,187,0.4,,盤後,
2019/07/12,TXO,201907  ,10000.0000,買權,-,-,-,-,0,810,590,-,-,-,-,,一般,
2019/07/12,TXO,201907  ,10000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,10000.0000,賣權,0.7,0.8,0.4,0.4,784,0.4,13190,0.4,0.5,230,0.4,,一般,
2019/07/12,TXO,201907  ,10000.0000,賣權,1.1,1.2,0.8,1.1,67,-,-,0.9,1.1,230,0.7,,盤後,
2019/07/12,TXO,201907  ,10100.0000,買權,-,-,-,-,0,710,622,-,-,-,-,,一般,
2019/07/12,TXO,201907  ,10100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/12,TXO,201907  ,10100.0000,賣權,0.9,1.1,0.5,0.6,841,0.6,12785,0.5,0.7,273,0.4,,一般,
2019/07/12,TXO,201907  ,10100.0000,賣權,1.4,1.4,1.1,1.3,103,-,-,1.1,1.3,273,0.4,,盤後,
2019/07/12,TXO,201907  ,10200.0000,買權,600,600,600,600,2,610,970,605,645,635,127,,一般,
2019/07/12,TXO,201907  ,10200.0000,買權,625,625,615,615,2,-,-,318,1000,635,127,,盤後,
2019/07/12,TXO,201907  ,10200.0000,賣權,1.7,1.7,0.7,1,1270,1,28467,0.7,1,328,0.7,,一般,
2019/07/12,TXO,201907  ,10200.0000,賣權,1.5,2.2,1.4,1.4,216,-,-,1.4,1.7,328,1.3,,盤後,
2019/07/12,TXO,201907  ,10300.0000,買權,525,530,505,510,34,510,2306,510,515,600,84,,一般,
