交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/07/26,TXO,201907W5,10100.0000,買權,-,-,-,-,0,775,4,-,-,-,-,,一般,
2019/07/26,TXO,201907W5,10100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/26,TXO,201907W5,10100.0000,賣權,0.6,0.6,0.3,0.4,720,0.4,787,0.3,0.4,0.9,0.3,,一般,
2019/07/26,TXO,201907W5,10100.0000,賣權,0.9,0.9,0.9,0.9,3,-,-,-,1,0.9,0.3,,盤後,
2019/07/26,TXO,201907W5,10200.0000,買權,-,-,-,-,0,675,3,-,-,-,-,,一般,
2019/07/26,TXO,201907W5,10200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/26,TXO,201907W5,10200.0000,賣權,0.7,0.7,0.4,0.4,1175,0.4,727,0.4,0.5,1.3,0.4,,一般,
2019/07/26,TXO,201907W5,10200.0000,賣權,0.8,0.9,0.8,0.9,24,-,-,-,0.9,1.3,0.5,,盤後,
2019/07/26,TXO,201907W5,10300.0000,買權,-,-,-,-,0,575,1,-,-,-,-,,一般,
2019/07/26,TXO,201907W5,10300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/26,TXO,201907W5,10300.0000,賣權,1,1.1,0.5,0.6,299,0.6,1398,0.5,0.7,1.8,0.5,,一般,
2019/07/26,TXO,201907W5,10300.0000,賣權,1.2,1.2,1.2,1.2,2,-,-,0.6,1.2,1.8,0.7,,盤後,
2019/07/26,TXO,201907W5,10400.0000,買權,-,-,-,-,0,475,20,-,-,-,-,,一般,
2019/07/26,TXO,201907W5,10400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/07/26,TXO,201907W5,10400.0000,賣權,1.4,1.5,0.8,0.9,1339,0.9,6769,0.8,1,2.4,0.8,,一般,
2019/07/26,TXO,201907W5,10400.0000,賣權,1.2,2.1,1.2,2.1,126,-,-,1.2,2,2.4,1,,盤後,
2019/07/26,TXO,201907W5,10500.0000,買權,361,375,360,366,4,375,13,352,433,413,360,,一般,
2019/07/26,TXO,201907W5,10500.0000,買權,370,370,364,365,7,-,-,198,955,413,364,,盤後,
2019/07/26,TXO,201907W5,10500.0000,賣權,2.4,2.5,1.3,1.4,2842,1.4,8650,1.3,1.5,4,1.3,,一般,
2019/07/26,TXO,201907W5,10500.0000,賣權,1.8,2.8,1.5,2.1,403,-,-,2,2.6,4,1.5,,盤後,
2019/07/26,TXO,201907W5,10600.0000,買權,268,282,267,282,17,276,79,223,280,311,266,,一般,
2019/07/26,TXO,201907W5,10600.0000,買權,307,308,266,266,92,-,-,102,740,311,266,,盤後,
