交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/06/13,TXO,201906  ,7400.0000,買權,-,-,-,-,0,3130,3,-,-,-,-,,一般,
2019/06/13,TXO,201906  ,7400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/13,TXO,201906  ,7400.0000,賣權,0.9,0.9,0.9,0.9,3,0.1,7087,-,0.6,113,0.1,,一般,
2019/06/13,TXO,201906  ,7400.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/13,TXO,201906  ,7600.0000,買權,-,-,-,-,0,2930,8,-,-,-,-,,一般,
2019/06/13,TXO,201906  ,7600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/13,TXO,201906  ,7600.0000,賣權,-,-,-,-,0,0.1,3712,-,-,-,-,,一般,
2019/06/13,TXO,201906  ,7600.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/13,TXO,201906  ,7800.0000,買權,-,-,-,-,0,2730,24,-,-,-,-,,一般,
2019/06/13,TXO,201906  ,7800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/13,TXO,201906  ,7800.0000,賣權,-,-,-,-,0,0.1,2966,-,-,-,-,,一般,
2019/06/13,TXO,201906  ,7800.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/13,TXO,201906  ,8000.0000,買權,-,-,-,-,0,2530,17,-,-,-,-,,一般,
2019/06/13,TXO,201906  ,8000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/13,TXO,201906  ,8000.0000,賣權,0.1,0.1,0.1,0.1,1,0.1,4114,-,1,177,0.1,,一般,
2019/06/13,TXO,201906  ,8000.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/13,TXO,201906  ,8200.0000,買權,-,-,-,-,0,2330,18,-,-,-,-,,一般,
2019/06/13,TXO,201906  ,8200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/13,TXO,201906  ,8200.0000,賣權,0.1,0.1,0.1,0.1,20,0.1,3064,-,0.3,212,0.1,,一般,
2019/06/13,TXO,201906  ,8200.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/13,TXO,201906  ,8400.0000,買權,-,-,-,-,0,2130,19,-,-,-,-,,一般,
2019/06/13,TXO,201906  ,8400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/13,TXO,201906  ,8400.0000,賣權,0.2,0.2,0.2,0.2,150,0.2,2904,-,1.1,299,0.1,,一般,
2019/06/13,TXO,201906  ,8400.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/13,TXO,201906  ,8600.0000,買權,-,-,-,-,0,1930,93,-,-,-,-,,一般,
2019/06/13,TXO,201906  ,8600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/13,TXO,201906  ,8600.0000,賣權,0.1,0.2,0.1,0.2,218,0.2,4051,0.1,4,381,0.1,,一般,
2019/06/13,TXO,201906  ,8600.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/13,TXO,201906  ,8700.0000,買權,-,-,-,-,0,1830,0,-,-,-,-,,一般,
2019/06/13,TXO,201906  ,8700.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/13,TXO,201906  ,8700.0000,賣權,0.1,0.2,0.1,0.2,41,0.2,575,0.1,4.8,4.3,0.1,,一般,
2019/06/13,TXO,201906  ,8700.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/13,TXO,201906  ,8800.0000,買權,-,-,-,-,0,1730,58,-,-,-,-,,一般,
2019/06/13,TXO,201906  ,8800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/13,TXO,201906  ,8800.0000,賣權,-,-,-,-,0,0.2,5136,-,-,-,-,,一般,
2019/06/13,TXO,201906  ,8800.0000,賣權,0.2,0.3,0.2,0.3,6,-,-,-,0.4,361,0.2,,盤後,
2019/06/13,TXO,201906  ,8900.0000,買權,-,-,-,-,0,1630,0,-,-,-,-,,一般,
2019/06/13,TXO,201906  ,8900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/13,TXO,201906  ,8900.0000,賣權,0.3,0.3,0.3,0.3,1,0.3,1931,0.1,0.5,23,0.3,,一般,
2019/06/13,TXO,201906  ,8900.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/13,TXO,201906  ,9000.0000,買權,1540,1540,1540,1540,1,1530,48,1480,1540,1970,700,,一般,
2019/06/13,TXO,201906  ,9000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/13,TXO,201906  ,9000.0000,賣權,0.2,0.3,0.2,0.3,43,0.3,7986,-,0.6,431,0.2,,一般,
2019/06/13,TXO,201906  ,9000.0000,賣權,0.6,0.6,0.3,0.3,147,-,-,-,0.4,431,0.3,,盤後,
2019/06/13,TXO,201906  ,9100.0000,買權,-,-,-,-,0,1430,22,-,-,-,-,,一般,
2019/06/13,TXO,201906  ,9100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/13,TXO,201906  ,9100.0000,賣權,0.2,0.3,0.2,0.3,53,0.3,1631,0.1,0.6,29,0.2,,一般,
2019/06/13,TXO,201906  ,9100.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2019/06/13,TXO,201906  ,9200.0000,買權,1330,1330,1330,1330,1,1330,287,1320,1380,1840,106,,一般,
2019/06/13,TXO,201906  ,9200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
